"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"INDIGO","EQ","07-Mar-2025","4,762.40","4,796.00","4,815.65","4,645.95","4,650.00","4,657.55","4,708.50","8,43,155","3,96,99,93,539.30","77,954","4,54,661","53.92"
"INDIGO","EQ","10-Mar-2025","4,657.55","4,666.00","4,706.70","4,605.00","4,629.80","4,627.55","4,659.23","5,34,997","2,49,26,76,545.15","63,936","3,29,363","61.56"
"INDIGO","EQ","11-Mar-2025","4,627.55","4,602.30","4,675.00","4,567.80","4,668.00","4,651.45","4,625.28","8,12,720","3,75,90,56,278.25","66,091","5,41,393","66.61"
"INDIGO","EQ","12-Mar-2025","4,651.45","4,669.95","4,743.15","4,639.70","4,727.00","4,729.20","4,695.25","11,22,703","5,27,13,66,605.90","1,25,868","7,45,291","66.38"
"INDIGO","EQ","13-Mar-2025","4,729.20","4,740.00","4,744.55","4,670.85","4,694.50","4,700.85","4,704.03","5,53,796","2,60,50,70,745.00","1,07,249","3,79,571","68.54"
"INDIGO","EQ","17-Mar-2025","4,700.85","4,710.00","4,794.95","4,710.00","4,781.00","4,780.45","4,764.49","10,30,205","4,90,84,03,978.60","1,08,157","7,68,220","74.57"
"INDIGO","EQ","18-Mar-2025","4,780.45","4,792.45","4,824.80","4,717.25","4,819.00","4,806.25","4,774.20","7,79,629","3,72,21,07,643.05","1,08,641","4,60,066","59.01"
"INDIGO","EQ","19-Mar-2025","4,806.25","4,811.00","5,052.75","4,790.00","4,975.55","4,980.55","4,951.85","21,03,310","10,41,52,74,630.10","2,14,695","11,11,329","52.84"
"INDIGO","EQ","20-Mar-2025","4,980.55","5,040.00","5,190.35","5,005.45","5,090.00","5,086.75","5,092.69","18,25,431","9,29,63,56,415.45","1,46,425","8,98,643","49.23"
"INDIGO","EQ","21-Mar-2025","5,086.75","5,072.00","5,114.80","5,018.55","5,032.10","5,044.05","5,066.46","8,97,795","4,54,86,39,700.90","77,328","5,16,427","57.52"
"INDIGO","EQ","24-Mar-2025","5,044.05","5,055.30","5,077.45","4,956.30","5,000.00","4,970.35","5,000.97","7,66,222","3,83,18,51,418.40","97,143","5,00,529","65.32"
"INDIGO","EQ","25-Mar-2025","4,970.35","5,011.00","5,032.15","4,958.05","5,017.00","5,006.70","4,992.37","8,18,364","4,08,55,75,599.30","93,207","4,85,351","59.31"
"INDIGO","EQ","26-Mar-2025","5,006.70","5,020.00","5,075.00","4,975.00","5,024.40","5,025.15","5,034.98","7,36,014","3,70,58,16,238.45","72,894","3,57,850","48.62"
"INDIGO","EQ","27-Mar-2025","5,025.15","4,975.00","5,149.00","4,975.00","5,147.00","5,127.80","5,098.38","9,40,051","4,79,27,36,769.55","85,657","4,99,264","53.11"
"INDIGO","EQ","28-Mar-2025","5,127.80","5,149.90","5,176.80","5,051.80","5,100.00","5,115.35","5,118.40","9,51,945","4,87,24,39,948.80","68,964","5,78,006","60.72"
"INDIGO","EQ","01-Apr-2025","5,115.35","5,100.00","5,132.95","4,991.65","5,036.00","5,028.00","5,037.03","7,93,792","3,99,83,51,736.25","63,611","5,29,987","66.77"
"INDIGO","EQ","02-Apr-2025","5,028.00","5,028.00","5,082.75","5,000.00","5,071.00","5,068.25","5,052.77","4,18,272","2,11,34,30,771.10","46,672","2,55,145","61.00"
"INDIGO","EQ","03-Apr-2025","5,068.25","4,999.50","5,085.00","4,966.90","5,007.00","5,003.60","5,004.40","9,50,156","4,75,49,57,093.85","80,476","6,96,081","73.26"
"INDIGO","EQ","04-Apr-2025","5,003.60","5,055.95","5,150.00","5,045.00","5,099.00","5,098.90","5,099.56","14,13,600","7,20,87,39,420.45","1,40,035","5,30,473","37.53"
"INDIGO","EQ","07-Apr-2025","5,098.90","4,750.00","5,016.15","4,634.60","5,014.00","4,988.70","4,869.20","17,86,910","8,70,08,28,426.95","1,18,456","8,81,992","49.36"
"INDIGO","EQ","08-Apr-2025","4,988.70","5,108.00","5,201.00","5,026.30","5,156.00","5,157.05","5,131.33","12,32,399","6,32,38,40,922.15","90,724","5,91,161","47.97"
"INDIGO","EQ","09-Apr-2025","5,157.05","5,145.50","5,265.00","5,145.50","5,194.90","5,193.75","5,204.19","11,28,920","5,87,51,16,492.20","1,07,256","5,12,503","45.40"
"INDIGO","EQ","11-Apr-2025","5,193.75","5,214.90","5,234.35","5,115.00","5,161.00","5,151.10","5,175.13","11,31,912","5,85,77,90,049.10","75,546","6,61,066","58.40"
"INDIGO","EQ","15-Apr-2025","5,151.10","5,320.00","5,347.00","5,201.00","5,277.00","5,256.00","5,273.15","15,67,359","8,26,49,26,279.50","1,30,555","10,24,808","65.38"
