"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"INDUSTOWER","EQ","07-Mar-2025","330.45","331.05","332.25","325.90","327.95","327.40","328.50","37,98,696","1,24,78,58,946.80","47,689","20,96,952","55.20"
"INDUSTOWER","EQ","10-Mar-2025","327.40","329.05","336.55","328.15","328.65","330.20","332.73","49,11,269","1,63,41,09,639.95","59,949","24,30,157","49.48"
"INDUSTOWER","EQ","11-Mar-2025","330.20","326.30","342.50","325.20","341.60","341.40","335.10","63,30,559","2,12,13,71,781.65","58,640","37,43,319","59.13"
"INDUSTOWER","EQ","12-Mar-2025","341.40","345.00","345.00","314.70","324.95","324.65","324.84","1,65,99,619","5,39,22,20,852.05","1,89,605","63,35,323","38.17"
"INDUSTOWER","EQ","13-Mar-2025","324.65","324.95","330.20","323.35","326.95","327.00","327.79","63,40,342","2,07,83,27,189.75","59,077","36,83,094","58.09"
"INDUSTOWER","EQ","17-Mar-2025","327.00","326.00","332.00","322.25","331.15","330.60","328.92","44,96,735","1,47,90,49,937.00","53,350","24,89,545","55.36"
"INDUSTOWER","EQ","18-Mar-2025","330.60","332.30","338.00","331.75","337.00","336.85","334.62","35,33,635","1,18,24,18,967.25","51,224","19,81,280","56.07"
"INDUSTOWER","EQ","19-Mar-2025","336.85","337.25","342.85","336.05","340.95","339.30","340.10","70,37,625","2,39,34,96,423.30","75,091","42,72,306","60.71"
"INDUSTOWER","EQ","20-Mar-2025","339.30","341.00","342.10","334.10","340.10","340.60","338.04","34,29,892","1,15,94,35,682.40","41,092","15,89,003","46.33"
"INDUSTOWER","EQ","21-Mar-2025","340.60","340.90","350.00","338.45","349.45","348.85","345.70","82,01,117","2,83,51,01,387.95","67,293","50,32,863","61.37"
"INDUSTOWER","EQ","24-Mar-2025","348.85","355.00","358.90","348.25","348.65","349.05","352.36","50,23,515","1,77,01,10,435.90","71,791","26,25,367","52.26"
"INDUSTOWER","EQ","25-Mar-2025","349.05","350.90","350.90","337.25","339.00","339.75","341.70","40,42,558","1,38,13,24,495.20","57,226","21,04,081","52.05"
"INDUSTOWER","EQ","26-Mar-2025","339.75","339.70","344.00","334.90","339.40","339.25","339.37","36,78,722","1,24,84,63,349.55","55,933","16,94,630","46.07"
