"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"IREDA","EQ","07-Mar-2025","149.86","149.79","153.68","148.22","149.40","149.59","151.01","1,42,91,801","2,15,81,98,599.10","85,240","30,74,572","21.51"
"IREDA","EQ","10-Mar-2025","149.59","149.17","150.50","142.94","143.50","143.95","146.85","99,28,538","1,45,79,66,710.91","80,176","30,14,860","30.37"
"IREDA","EQ","11-Mar-2025","143.95","141.21","142.78","139.29","142.50","141.98","141.15","1,25,14,353","1,76,63,99,019.78","76,327","30,87,583","24.67"
"IREDA","EQ","12-Mar-2025","141.98","143.00","144.39","140.15","141.30","141.26","141.72","76,42,541","1,08,30,99,458.18","48,142","20,04,373","26.23"
"IREDA","EQ","13-Mar-2025","141.26","142.00","142.45","139.21","139.73","139.85","140.64","72,55,248","1,02,03,95,659.04","54,910","22,91,753","31.59"
"IREDA","EQ","17-Mar-2025","139.85","140.64","142.44","137.01","137.15","138.16","139.88","74,94,253","1,04,83,23,562.83","53,149","25,93,348","34.60"
"IREDA","EQ","18-Mar-2025","138.16","140.25","147.30","139.98","147.20","145.95","143.98","2,31,00,355","3,32,60,16,083.90","1,29,803","51,06,284","22.10"
"IREDA","EQ","19-Mar-2025","145.95","147.50","152.50","147.05","151.73","151.87","150.26","1,73,05,616","2,60,02,78,823.59","85,264","42,37,270","24.48"
"IREDA","EQ","20-Mar-2025","151.87","153.12","154.80","149.00","149.66","149.96","151.18","1,35,46,511","2,04,79,72,120.74","83,126","40,79,366","30.11"
"IREDA","EQ","21-Mar-2025","149.96","149.96","156.67","149.09","154.99","154.82","153.98","1,83,86,828","2,83,12,45,777.83","94,601","53,68,172","29.20"
"IREDA","EQ","24-Mar-2025","154.82","156.35","173.30","156.23","170.50","170.04","167.60","7,32,22,288","12,27,21,27,608.70","2,89,676","1,00,33,384","13.70"
"IREDA","EQ","25-Mar-2025","170.04","172.00","176.77","168.10","168.10","169.95","172.93","6,65,72,208","11,51,21,64,227.70","2,93,278","93,45,788","14.04"
"IREDA","EQ","26-Mar-2025","169.95","170.00","171.00","162.25","162.70","162.92","166.92","2,79,74,467","4,66,94,61,675.50","1,49,592","56,59,961","20.23"
"IREDA","EQ","27-Mar-2025","162.92","161.69","167.40","160.76","162.00","161.66","164.02","3,23,79,027","5,31,09,46,433.27","1,51,420","84,28,343","26.03"
"IREDA","EQ","28-Mar-2025","161.66","163.30","166.77","159.00","159.50","160.59","163.40","1,74,84,881","2,85,70,24,217.38","93,794","48,81,963","27.92"
"IREDA","EQ","01-Apr-2025","160.59","160.40","162.40","158.61","161.00","160.67","160.34","1,33,01,120","2,13,27,62,707.51","75,519","27,21,695","20.46"
"IREDA","EQ","02-Apr-2025","160.67","161.50","162.10","157.50","161.80","161.42","159.96","1,17,92,518","1,88,63,69,878.67","60,339","20,53,714","17.42"
"IREDA","EQ","03-Apr-2025","161.42","158.50","163.24","158.50","162.07","161.51","161.72","1,28,48,277","2,07,77,88,659.81","62,081","31,47,099","24.49"
"IREDA","EQ","04-Apr-2025","161.51","162.07","162.59","154.70","156.88","156.45","157.61","1,26,07,809","1,98,70,55,473.94","81,484","37,22,206","29.52"
"IREDA","EQ","07-Apr-2025","156.45","140.80","151.76","140.80","151.47","149.60","146.86","1,52,55,208","2,24,03,50,119.92","1,20,121","37,45,296","24.55"
"IREDA","EQ","08-Apr-2025","149.60","157.00","157.00","152.06","154.55","153.85","154.39","1,14,80,673","1,77,25,53,979.33","71,791","22,23,222","19.36"
"IREDA","EQ","09-Apr-2025","153.85","153.99","155.00","150.31","151.84","151.62","152.08","75,22,115","1,14,39,87,417.50","49,007","18,00,604","23.94"
"IREDA","EQ","11-Apr-2025","151.62","156.50","157.68","153.20","154.25","154.20","154.45","84,43,458","1,30,41,28,125.48","51,142","23,09,103","27.35"
"IREDA","EQ","15-Apr-2025","154.20","159.00","168.75","158.60","168.16","166.98","163.18","2,75,95,431","4,50,30,27,822.32","1,26,178","70,23,989","25.45"
"IREDA","EQ","16-Apr-2025","166.98","177.03","179.68","174.00","176.41","176.39","176.89","11,55,06,723","20,43,15,90,519.92","3,88,965","1,35,93,612","11.77"
"IREDA","EQ","17-Apr-2025","176.39","175.00","175.40","172.55","173.23","173.41","173.84","1,88,60,517","3,27,87,45,281.86","88,441","42,63,966","22.61"
"IREDA","EQ","21-Apr-2025","173.41","173.90","176.41","171.10","175.20","175.67","174.05","1,62,73,864","2,83,24,06,992.98","82,294","50,64,558","31.12"
"IREDA","EQ","22-Apr-2025","175.67","176.00","179.27","173.80","178.61","178.64","177.23","1,55,86,863","2,76,24,50,555.94","90,423","49,09,189","31.50"
"IREDA","EQ","23-Apr-2025","178.64","179.80","183.20","174.00","177.98","177.73","178.27","3,10,57,252","5,53,65,95,235.51","1,25,316","65,86,578","21.21"
"IREDA","EQ","24-Apr-2025","177.73","178.00","181.78","174.10","174.93","175.14","178.75","1,77,75,832","3,17,74,53,807.48","84,476","46,02,337","25.89"
"IREDA","EQ","25-Apr-2025","175.14","175.14","176.43","166.35","166.71","167.55","169.65","1,74,07,389","2,95,31,42,964.99","1,07,558","46,40,699","26.66"
"IREDA","EQ","28-Apr-2025","167.55","166.51","169.30","165.51","168.23","167.89","167.72","1,12,31,636","1,88,37,17,557.37","63,750","27,65,366","24.62"
"IREDA","EQ","29-Apr-2025","167.89","168.73","171.14","167.70","168.19","168.11","169.30","70,79,798","1,19,85,83,741.16","44,202","19,00,610","26.85"
"IREDA","EQ","30-Apr-2025","168.11","168.00","168.49","164.60","166.00","167.06","166.68","1,09,81,945","1,83,04,52,445.36","51,522","26,60,866","24.23"
"IREDA","EQ","02-May-2025","167.06","166.15","168.20","164.30","165.40","165.72","166.40","83,63,436","1,39,17,01,625.22","53,688","21,34,843","25.53"
"IREDA","EQ","05-May-2025","165.72","166.30","169.60","165.15","168.52","168.75","167.13","79,19,383","1,32,35,75,435.22","45,333","20,46,121","25.84"
"IREDA","EQ","06-May-2025","168.75","168.51","168.74","159.75","160.60","160.23","163.00","1,09,25,576","1,78,09,03,971.84","73,410","36,53,454","33.44"
"IREDA","EQ","07-May-2025","160.23","157.03","163.00","156.55","162.51","162.37","160.59","1,23,92,991","1,99,02,13,654.76","63,949","27,57,207","22.25"
"IREDA","EQ","08-May-2025","162.37","163.49","164.95","157.45","157.80","158.79","162.10","68,56,306","1,11,14,40,326.83","47,934","20,38,584","29.73"
"IREDA","EQ","09-May-2025","158.79","153.20","158.00","153.00","157.90","156.48","155.01","1,16,37,047","1,80,38,02,460.23","84,650","30,80,775","26.47"
"IREDA","EQ","12-May-2025","156.48","165.00","168.85","163.00","168.52","168.00","166.00","1,20,43,565","1,99,92,16,873.62","66,474","34,97,399","29.04"
"IREDA","EQ","13-May-2025","168.00","168.50","169.31","166.15","167.50","167.08","167.82","85,14,560","1,42,88,86,323.07","52,236","27,78,239","32.63"
"IREDA","EQ","14-May-2025","167.08","168.00","170.59","166.05","168.10","167.79","167.89","1,18,58,299","1,99,08,46,241.48","60,513","33,93,604","28.62"
"IREDA","EQ","15-May-2025","167.79","166.99","169.25","165.31","166.80","166.75","166.78","1,47,74,415","2,46,41,21,699.69","76,504","52,11,554","35.27"
"IREDA","EQ","16-May-2025","166.75","167.50","175.98","167.02","173.00","173.29","172.57","2,42,74,411","4,18,89,51,984.39","1,14,481","63,02,522","25.96"
"IREDA","EQ","19-May-2025","173.29","174.20","178.52","172.90","174.49","174.23","175.84","1,72,16,917","3,02,74,16,794.07","82,727","53,37,384","31.00"
"IREDA","EQ","20-May-2025","174.23","175.50","175.90","169.16","169.70","169.53","171.47","90,69,123","1,55,51,19,236.61","57,505","33,21,197","36.62"
"IREDA","EQ","21-May-2025","169.53","169.70","173.00","167.49","172.30","172.21","171.02","97,49,056","1,66,72,62,041.43","54,389","23,71,786","24.33"
"IREDA","EQ","22-May-2025","172.21","170.50","171.90","168.31","170.85","170.70","170.21","70,76,795","1,20,45,43,546.10","51,766","19,26,106","27.22"
"IREDA","EQ","23-May-2025","170.70","171.00","172.45","169.23","171.67","171.85","171.17","69,01,899","1,18,14,25,620.11","40,343","19,25,283","27.89"
"IREDA","EQ","26-May-2025","171.85","171.85","175.19","171.85","173.45","173.55","173.51","98,38,997","1,70,71,53,418.05","53,880","31,61,873","32.14"
"IREDA","EQ","27-May-2025","173.55","173.80","175.65","171.28","175.25","175.24","173.84","83,93,528","1,45,91,00,439.67","45,408","30,17,253","35.95"
"IREDA","EQ","28-May-2025","175.24","176.00","177.50","173.11","173.35","173.60","175.14","84,84,251","1,48,59,28,218.30","51,229","31,78,283","37.46"
