"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JIOFIN","EQ","07-Mar-2025","219.94","220.00","224.50","218.79","221.90","221.81","222.43","2,79,97,558","6,22,76,25,802.65","1,65,176","1,26,93,897","45.34"
"JIOFIN","EQ","10-Mar-2025","221.81","222.60","224.90","215.50","215.85","216.50","220.04","1,95,21,402","4,29,55,72,541.34","1,26,842","80,56,213","41.27"
"JIOFIN","EQ","11-Mar-2025","216.50","214.70","218.99","213.01","218.75","217.56","216.27","2,01,18,890","4,35,11,48,839.16","1,26,568","75,77,240","37.66"
"JIOFIN","EQ","12-Mar-2025","217.56","220.00","226.50","216.72","225.91","225.53","221.75","2,84,55,086","6,30,98,52,800.75","1,43,562","1,16,45,412","40.93"
"JIOFIN","EQ","13-Mar-2025","225.53","227.88","228.94","221.32","223.10","222.60","224.72","2,52,19,084","5,66,71,71,866.25","1,53,269","1,14,18,741","45.28"
"JIOFIN","EQ","17-Mar-2025","222.60","223.12","223.85","218.54","219.58","219.52","220.92","2,22,90,925","4,92,44,19,476.53","1,17,597","1,37,68,786","61.77"
"JIOFIN","EQ","18-Mar-2025","219.52","221.10","225.50","220.71","225.21","225.18","222.64","2,80,81,319","6,25,21,10,202.77","1,17,438","1,69,96,975","60.53"
"JIOFIN","EQ","19-Mar-2025","225.18","227.27","231.25","225.64","228.10","228.84","229.21","2,14,56,932","4,91,81,36,386.57","1,24,749","98,17,600","45.75"
"JIOFIN","EQ","20-Mar-2025","228.84","231.00","234.25","228.95","232.00","231.69","231.93","2,44,26,400","5,66,53,16,729.82","1,34,331","1,16,45,459","47.68"
"JIOFIN","EQ","21-Mar-2025","231.69","232.00","235.94","228.05","229.58","229.12","230.95","4,68,79,564","10,82,70,06,420.15","1,80,702","2,58,92,410","55.23"
"JIOFIN","EQ","24-Mar-2025","229.12","231.90","234.46","230.70","232.90","232.68","232.77","2,66,07,361","6,19,32,93,660.02","1,44,442","1,46,08,248","54.90"
"JIOFIN","EQ","25-Mar-2025","232.68","234.10","234.20","226.31","226.90","227.53","229.39","2,24,92,788","5,15,95,73,953.92","1,55,616","1,08,74,562","48.35"
"JIOFIN","EQ","26-Mar-2025","227.53","228.00","228.90","222.01","222.17","222.67","225.21","1,93,72,538","4,36,28,70,615.58","1,30,710","1,01,26,996","52.28"
"JIOFIN","EQ","27-Mar-2025","222.67","222.17","228.00","221.33","225.20","225.78","225.44","18,88,68,886","42,57,94,30,331.42","2,59,264","14,77,19,236","78.21"
"JIOFIN","EQ","28-Mar-2025","225.78","227.18","232.30","226.11","227.03","227.51","229.12","3,03,56,334","6,95,50,94,152.08","1,87,935","1,35,58,093","44.66"
"JIOFIN","EQ","01-Apr-2025","227.51","227.00","231.29","225.21","230.94","230.42","228.99","1,87,81,790","4,30,08,30,260.19","1,10,587","67,29,325","35.83"
"JIOFIN","EQ","02-Apr-2025","230.42","230.99","230.99","225.30","229.91","229.78","228.22","1,62,03,186","3,69,78,43,657.51","99,095","68,34,403","42.18"
"JIOFIN","EQ","03-Apr-2025","229.78","227.00","231.79","226.50","230.64","230.41","229.87","1,17,52,612","2,70,15,86,820.85","83,669","48,56,091","41.32"
"JIOFIN","EQ","04-Apr-2025","230.41","230.05","230.35","220.80","222.55","222.32","223.93","2,08,32,533","4,66,49,61,093.13","1,46,438","1,10,14,859","52.87"
"JIOFIN","EQ","07-Apr-2025","222.32","203.10","215.00","203.10","214.85","213.52","210.67","2,57,72,065","5,42,94,15,661.18","2,74,102","1,10,60,052","42.91"
"JIOFIN","EQ","08-Apr-2025","213.52","217.00","225.50","216.62","225.49","224.81","221.41","2,51,31,280","5,56,43,49,832.76","1,50,831","83,23,894","33.12"
"JIOFIN","EQ","09-Apr-2025","224.81","224.00","224.00","218.25","221.10","220.92","220.49","1,93,72,735","4,27,15,39,026.22","1,35,433","78,88,161","40.72"
"JIOFIN","EQ","11-Apr-2025","220.92","225.78","230.98","223.72","230.40","230.02","228.08","2,46,30,876","5,61,78,89,915.48","1,43,791","1,22,31,881","49.66"
"JIOFIN","EQ","15-Apr-2025","230.02","235.90","239.49","232.60","239.05","238.57","236.01","2,76,63,804","6,52,90,29,769.09","1,51,900","1,46,87,612","53.09"
"JIOFIN","EQ","16-Apr-2025","238.57","239.05","242.75","237.26","242.30","242.28","241.23","2,77,20,767","6,68,71,11,659.52","1,69,243","1,24,33,769","44.85"
"JIOFIN","EQ","17-Apr-2025","242.28","242.94","248.00","238.30","246.20","246.47","243.57","3,04,22,206","7,41,00,87,110.43","1,89,979","1,04,88,246","34.48"
"JIOFIN","EQ","21-Apr-2025","246.47","250.00","250.00","244.50","245.96","246.38","247.01","3,17,86,610","7,85,16,77,525.15","2,28,473","1,49,96,898","47.18"
"JIOFIN","EQ","22-Apr-2025","246.38","245.50","251.34","243.70","250.60","250.56","248.08","3,02,35,264","7,50,07,74,422.19","1,43,908","1,31,30,560","43.43"
"JIOFIN","EQ","23-Apr-2025","250.56","252.00","258.55","251.39","258.02","258.14","255.78","3,75,68,336","9,60,91,76,120.16","1,87,743","1,73,11,019","46.08"
"JIOFIN","EQ","24-Apr-2025","258.14","258.00","259.80","256.50","258.94","258.78","258.43","1,71,52,009","4,43,25,78,572.62","1,18,106","76,92,106","44.85"
"JIOFIN","EQ","25-Apr-2025","258.78","258.78","261.62","249.10","252.39","253.05","254.06","3,33,48,716","8,47,24,52,549.09","2,27,469","1,31,52,718","39.44"
"JIOFIN","EQ","28-Apr-2025","253.05","252.39","259.70","252.30","258.00","257.90","256.95","1,93,80,922","4,97,98,77,691.79","1,15,267","74,06,998","38.22"
"JIOFIN","EQ","29-Apr-2025","257.90","258.10","259.75","255.60","257.50","257.63","257.64","1,24,94,831","3,21,91,49,375.04","91,018","49,35,837","39.50"
"JIOFIN","EQ","30-Apr-2025","257.63","256.00","263.30","255.20","259.08","260.42","260.13","3,20,58,337","8,33,94,51,309.11","1,62,742","1,35,74,371","42.34"
