"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JKCEMENT","EQ","07-Mar-2025","4,505.10","4,451.00","4,495.85","4,401.50","4,403.10","4,421.55","4,445.95","1,41,631","62,96,84,659.65","14,739","1,03,887","73.35"
"JKCEMENT","EQ","10-Mar-2025","4,421.55","4,407.55","4,441.90","4,314.20","4,400.00","4,397.45","4,404.41","1,61,111","70,95,99,173.10","40,749","95,584","59.33"
"JKCEMENT","EQ","11-Mar-2025","4,397.45","4,372.65","4,384.40","4,302.05","4,343.45","4,346.85","4,344.86","96,235","41,81,27,983.45","17,950","57,066","59.30"
"JKCEMENT","EQ","12-Mar-2025","4,346.85","4,356.15","4,386.50","4,309.55","4,364.05","4,350.65","4,352.05","1,23,940","53,93,93,493.65","12,979","83,873","67.67"
"JKCEMENT","EQ","13-Mar-2025","4,350.65","4,350.65","4,370.10","4,259.60","4,275.25","4,271.30","4,296.15","46,154","19,82,84,447.30","9,310","23,180","50.22"
"JKCEMENT","EQ","17-Mar-2025","4,271.30","4,271.00","4,392.45","4,218.90","4,350.00","4,356.05","4,336.66","1,06,897","46,35,75,640.65","23,050","57,741","54.02"
"JKCEMENT","EQ","18-Mar-2025","4,356.05","4,370.00","4,527.90","4,356.10","4,494.90","4,497.40","4,486.19","1,10,511","49,57,72,888.00","21,239","48,583","43.96"
"JKCEMENT","EQ","19-Mar-2025","4,497.40","4,495.00","4,651.70","4,390.20","4,625.00","4,639.65","4,600.75","96,169","44,24,49,756.05","20,049","47,098","48.97"
"JKCEMENT","EQ","20-Mar-2025","4,639.65","4,655.00","4,675.45","4,592.25","4,669.00","4,660.65","4,639.90","76,279","35,39,26,861.70","11,289","36,922","48.40"
"JKCEMENT","EQ","21-Mar-2025","4,660.65","4,680.00","4,857.35","4,672.05","4,825.00","4,822.50","4,817.99","1,53,665","74,03,57,118.40","23,758","62,807","40.87"
"JKCEMENT","EQ","24-Mar-2025","4,822.50","4,825.00","4,867.40","4,726.25","4,760.00","4,740.75","4,789.86","1,29,961","62,24,94,739.75","19,596","63,033","48.50"
"JKCEMENT","EQ","25-Mar-2025","4,740.75","4,805.00","4,837.30","4,735.60","4,743.90","4,749.25","4,770.13","99,983","47,69,31,500.45","15,062","50,201","50.21"
