"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"JUBLFOOD","EQ","07-Mar-2025","609.45","611.00","611.95","594.50","603.00","602.80","601.77","24,49,005","1,47,37,34,981.30","73,817","10,16,704","41.51"
"JUBLFOOD","EQ","10-Mar-2025","602.80","601.00","606.90","594.80","596.20","601.30","601.20","17,21,049","1,03,46,86,248.20","50,073","8,14,774","47.34"
"JUBLFOOD","EQ","11-Mar-2025","601.30","595.00","616.55","592.00","614.40","613.00","608.15","16,40,788","99,78,43,008.95","44,557","6,78,992","41.38"
"JUBLFOOD","EQ","12-Mar-2025","613.00","614.35","616.50","595.55","602.95","602.95","602.69","10,20,900","61,52,90,623.45","38,795","4,54,584","44.53"
"JUBLFOOD","EQ","13-Mar-2025","602.95","603.15","610.20","592.90","594.90","596.35","600.77","9,82,164","59,00,53,354.50","34,217","4,34,535","44.24"
"JUBLFOOD","EQ","17-Mar-2025","596.35","595.00","620.50","575.05","619.70","618.65","608.09","19,39,749","1,17,95,44,176.45","60,778","8,53,699","44.01"
"JUBLFOOD","EQ","18-Mar-2025","618.65","622.45","632.80","613.30","628.00","627.90","624.77","20,08,805","1,25,50,37,496.55","51,781","9,07,372","45.17"
"JUBLFOOD","EQ","19-Mar-2025","627.90","627.90","649.70","626.05","635.70","637.40","638.87","26,33,328","1,68,23,66,765.05","83,705","14,21,726","53.99"
"JUBLFOOD","EQ","20-Mar-2025","637.40","625.50","637.45","620.00","627.90","627.60","628.94","29,69,859","1,86,78,75,358.45","66,571","12,46,403","41.97"
"JUBLFOOD","EQ","21-Mar-2025","627.60","630.00","635.60","624.55","629.00","629.05","629.59","13,18,716","83,02,48,234.90","29,206","6,62,989","50.28"
"JUBLFOOD","EQ","24-Mar-2025","629.05","630.00","665.40","627.50","660.00","658.10","652.83","29,57,927","1,93,10,37,529.85","79,751","13,54,426","45.79"
"JUBLFOOD","EQ","25-Mar-2025","658.10","661.00","676.75","657.40","665.10","668.25","667.39","29,68,535","1,98,11,69,103.70","75,142","10,75,825","36.24"
"JUBLFOOD","EQ","26-Mar-2025","668.25","672.00","675.00","658.95","663.00","660.85","666.71","21,52,775","1,43,52,86,701.20","43,789","13,18,492","61.25"
"JUBLFOOD","EQ","27-Mar-2025","660.85","658.05","678.00","657.05","672.00","674.60","668.64","27,89,732","1,86,53,19,150.55","65,996","18,65,788","66.88"
"JUBLFOOD","EQ","28-Mar-2025","674.60","679.00","679.00","659.55","664.00","664.35","665.56","21,11,563","1,40,53,63,661.05","55,175","13,44,258","63.66"
"JUBLFOOD","EQ","01-Apr-2025","664.35","662.00","664.90","646.30","662.35","660.85","657.16","11,85,082","77,87,93,060.00","41,567","5,27,564","44.52"
"JUBLFOOD","EQ","02-Apr-2025","660.85","662.05","685.70","662.05","681.05","682.60","673.92","35,84,292","2,41,55,28,979.40","57,730","15,72,714","43.88"
"JUBLFOOD","EQ","03-Apr-2025","682.60","676.20","694.45","675.15","693.00","692.70","687.63","14,09,878","96,94,75,396.85","46,000","5,78,253","41.01"
"JUBLFOOD","EQ","04-Apr-2025","692.70","689.55","692.70","670.85","681.00","679.60","678.73","7,40,290","50,24,53,631.05","20,366","2,09,406","28.29"
"JUBLFOOD","EQ","07-Apr-2025","679.60","660.00","676.00","648.20","674.75","669.65","662.03","16,90,184","1,11,89,53,505.85","53,213","4,37,521","25.89"
"JUBLFOOD","EQ","08-Apr-2025","669.65","688.00","689.70","675.60","683.15","681.95","682.27","24,25,456","1,65,48,18,855.45","40,498","13,55,498","55.89"
"JUBLFOOD","EQ","09-Apr-2025","681.95","685.00","691.50","671.15","680.00","685.05","683.94","9,86,158","67,44,77,559.40","42,306","3,52,437","35.74"
"JUBLFOOD","EQ","11-Apr-2025","685.05","687.05","693.45","673.30","686.70","685.30","682.53","12,83,823","87,62,53,804.05","50,619","4,84,600","37.75"
"JUBLFOOD","EQ","15-Apr-2025","685.30","692.00","702.95","688.85","700.00","701.00","697.55","15,53,424","1,08,35,88,078.75","48,560","6,87,164","44.24"
"JUBLFOOD","EQ","16-Apr-2025","701.00","700.00","706.35","690.05","701.50","703.05","700.61","11,66,593","81,73,29,932.25","41,703","4,89,211","41.94"
"JUBLFOOD","EQ","17-Apr-2025","703.05","703.50","708.70","692.10","694.90","697.75","698.12","12,28,882","85,79,05,574.05","34,801","6,01,479","48.95"
"JUBLFOOD","EQ","21-Apr-2025","697.75","699.00","706.80","694.05","696.50","695.75","701.47","15,53,435","1,08,96,89,495.45","38,418","8,66,713","55.79"
"JUBLFOOD","EQ","22-Apr-2025","695.75","694.70","710.70","691.20","700.60","702.30","703.32","12,49,592","87,88,59,127.10","37,497","4,79,470","38.37"
"JUBLFOOD","EQ","23-Apr-2025","702.30","702.30","716.05","689.85","716.00","713.45","701.71","24,43,177","1,71,43,90,377.80","47,803","14,36,338","58.79"
"JUBLFOOD","EQ","24-Apr-2025","713.45","717.95","718.45","702.45","712.00","716.50","711.14","13,37,783","95,13,50,145.55","42,947","5,13,664","38.40"
"JUBLFOOD","EQ","25-Apr-2025","716.50","716.50","719.80","691.55","695.00","694.30","699.10","15,24,535","1,06,57,95,736.45","44,801","7,79,567","51.13"
"JUBLFOOD","EQ","28-Apr-2025","694.30","692.70","709.15","691.10","701.75","705.20","700.29","13,81,701","96,75,85,316.90","39,070","8,02,060","58.05"
"JUBLFOOD","EQ","29-Apr-2025","705.20","705.20","713.00","701.45","707.65","708.30","709.51","12,35,338","87,64,81,037.20","30,836","8,18,072","66.22"
"JUBLFOOD","EQ","30-Apr-2025","708.30","706.20","725.95","705.75","714.00","715.40","718.24","19,76,135","1,41,93,33,013.20","49,685","10,85,868","54.95"
"JUBLFOOD","EQ","02-May-2025","715.40","715.00","720.85","694.70","698.65","699.95","707.71","9,30,017","65,81,82,907.45","34,866","4,91,377","52.84"
"JUBLFOOD","EQ","05-May-2025","699.95","700.00","723.40","699.95","721.00","720.65","715.09","14,86,713","1,06,31,38,682.35","62,180","6,74,128","45.34"
"JUBLFOOD","EQ","06-May-2025","720.65","725.00","727.95","701.85","708.00","706.05","711.80","7,12,690","50,72,96,018.65","34,071","2,82,391","39.62"
"JUBLFOOD","EQ","07-May-2025","706.05","692.00","712.70","692.00","705.20","707.00","705.06","12,04,483","84,92,33,396.95","42,326","6,85,795","56.94"
"JUBLFOOD","EQ","08-May-2025","707.00","707.00","709.90","665.00","668.35","671.85","686.04","17,21,745","1,18,11,81,155.15","53,489","7,45,473","43.30"
"JUBLFOOD","EQ","09-May-2025","671.85","652.00","673.95","652.00","673.60","670.20","667.10","11,31,188","75,46,11,215.05","41,446","4,84,149","42.80"
"JUBLFOOD","EQ","12-May-2025","670.20","680.80","700.00","677.05","695.00","696.10","691.36","10,59,863","73,27,43,806.55","46,815","4,93,742","46.59"
"JUBLFOOD","EQ","13-May-2025","696.10","696.00","707.55","692.05","700.00","701.70","700.54","15,92,174","1,11,53,82,625.00","45,762","8,32,738","52.30"
