"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"KALYANKJIL","EQ","07-Mar-2025","450.40","452.00","453.40","429.00","430.00","431.70","439.07","1,17,62,843","5,16,46,91,255.15","2,19,352","31,48,578","26.77"
"KALYANKJIL","EQ","10-Mar-2025","431.70","438.00","439.10","406.00","407.95","407.50","416.36","1,71,35,126","7,13,43,61,271.45","2,40,590","40,70,928","23.76"
"KALYANKJIL","EQ","11-Mar-2025","407.50","404.50","430.15","399.40","421.90","421.50","413.88","3,20,37,217","13,25,96,80,787.00","2,40,974","72,57,944","22.65"
"KALYANKJIL","EQ","12-Mar-2025","421.50","424.15","431.40","417.65","426.00","427.25","424.54","1,30,69,316","5,54,84,18,225.15","1,25,949","18,26,619","13.98"
"KALYANKJIL","EQ","13-Mar-2025","427.25","429.35","436.45","418.00","429.00","430.90","426.59","98,09,250","4,18,45,27,990.75","93,104","20,27,107","20.67"
"KALYANKJIL","EQ","17-Mar-2025","430.90","430.00","437.75","425.00","426.75","428.00","431.72","62,86,845","2,71,41,35,007.05","67,939","11,81,809","18.80"
"KALYANKJIL","EQ","18-Mar-2025","428.00","429.95","437.50","428.15","434.50","434.45","433.99","67,45,975","2,92,76,91,884.05","59,983","23,78,881","35.26"
"KALYANKJIL","EQ","19-Mar-2025","434.45","434.45","465.00","434.00","456.80","453.55","446.44","87,32,320","3,89,84,37,376.00","70,482","23,76,037","27.21"
"KALYANKJIL","EQ","20-Mar-2025","453.55","460.00","475.00","442.50","463.80","467.25","457.83","1,17,53,814","5,38,12,45,227.10","92,842","25,21,592","21.45"
"KALYANKJIL","EQ","21-Mar-2025","467.25","467.85","484.00","464.55","469.30","471.20","474.50","97,07,389","4,60,61,12,540.45","95,876","23,79,878","24.52"
"KALYANKJIL","EQ","24-Mar-2025","471.20","474.05","500.70","466.55","489.00","489.85","488.01","1,29,29,450","6,30,96,57,118.00","1,31,889","25,74,072","19.91"
"KALYANKJIL","EQ","25-Mar-2025","489.85","492.35","495.00","466.45","469.00","469.20","477.11","86,67,538","4,13,53,86,402.45","1,07,652","16,42,588","18.95"
"KALYANKJIL","EQ","26-Mar-2025","469.20","471.10","481.50","468.60","473.00","474.30","475.08","66,31,615","3,15,05,68,665.20","73,762","14,95,976","22.56"
"KALYANKJIL","EQ","27-Mar-2025","474.30","473.00","475.00","464.30","471.00","469.05","469.69","50,40,093","2,36,73,03,863.45","65,496","15,52,380","30.80"
"KALYANKJIL","EQ","28-Mar-2025","469.05","471.15","481.60","462.90","465.15","467.25","473.50","53,18,930","2,51,85,01,730.65","65,561","9,92,578","18.66"
"KALYANKJIL","EQ","01-Apr-2025","467.25","467.50","469.50","452.60","459.00","458.05","460.17","48,13,861","2,21,52,12,175.00","66,733","8,71,241","18.10"
"KALYANKJIL","EQ","02-Apr-2025","458.05","460.20","518.40","459.45","512.80","511.10","497.01","3,85,37,731","19,15,36,33,610.00","3,07,599","44,25,308","11.48"
"KALYANKJIL","EQ","03-Apr-2025","511.10","502.50","516.90","497.90","507.90","509.10","508.53","1,60,10,829","8,14,19,46,375.50","1,74,261","15,77,312","9.85"
"KALYANKJIL","EQ","04-Apr-2025","509.10","506.10","508.00","481.15","489.60","487.15","490.75","86,66,363","4,25,30,36,427.60","1,06,665","10,96,488","12.65"
"KALYANKJIL","EQ","07-Apr-2025","487.15","443.05","492.00","443.05","491.05","486.30","473.61","1,00,31,988","4,75,12,77,258.75","1,25,985","10,96,980","10.93"
"KALYANKJIL","EQ","08-Apr-2025","486.30","500.00","505.00","483.60","491.40","492.30","492.14","77,93,425","3,83,54,58,348.10","91,686","8,69,088","11.15"
"KALYANKJIL","EQ","09-Apr-2025","492.30","493.00","498.70","482.25","497.00","494.05","489.48","47,38,177","2,31,92,59,398.35","64,516","10,49,980","22.16"
"KALYANKJIL","EQ","11-Apr-2025","494.05","501.70","517.20","495.05","508.20","510.75","507.53","92,58,081","4,69,87,88,235.65","1,11,950","18,12,222","19.57"
"KALYANKJIL","EQ","15-Apr-2025","510.75","518.05","523.95","511.45","513.30","514.15","517.50","55,95,619","2,89,57,51,296.80","73,997","12,21,907","21.84"
"KALYANKJIL","EQ","16-Apr-2025","514.15","514.15","529.00","512.80","523.75","525.35","523.98","62,97,239","3,29,96,13,619.55","78,150","13,74,865","21.83"
"KALYANKJIL","EQ","17-Apr-2025","525.35","525.25","533.30","516.20","522.95","524.65","524.43","56,28,907","2,95,19,83,995.10","72,835","8,20,139","14.57"
"KALYANKJIL","EQ","21-Apr-2025","524.65","527.75","535.50","522.00","529.45","529.15","529.60","46,68,209","2,47,22,97,475.40","59,616","12,76,344","27.34"
"KALYANKJIL","EQ","22-Apr-2025","529.15","532.00","539.15","521.60","524.05","525.00","531.20","47,07,881","2,50,08,22,057.25","60,065","10,05,381","21.36"
"KALYANKJIL","EQ","23-Apr-2025","525.00","528.60","545.40","518.95","534.00","538.00","530.74","68,14,548","3,61,67,80,466.95","74,092","15,36,352","22.55"
"KALYANKJIL","EQ","24-Apr-2025","538.00","536.00","536.00","517.45","518.95","519.80","526.64","49,69,546","2,61,71,52,935.85","74,788","14,85,672","29.90"
"KALYANKJIL","EQ","25-Apr-2025","519.80","523.00","526.05","495.20","500.10","501.25","506.37","51,86,211","2,62,61,55,253.05","83,496","8,29,909","16.00"
"KALYANKJIL","EQ","28-Apr-2025","501.25","501.20","525.60","501.00","517.30","518.20","518.63","77,18,095","4,00,28,43,486.15","1,00,125","11,82,831","15.33"
"KALYANKJIL","EQ","29-Apr-2025","518.20","520.95","523.00","514.50","518.50","518.20","518.18","32,63,583","1,69,11,17,284.10","46,363","8,29,011","25.40"
"KALYANKJIL","EQ","30-Apr-2025","518.20","519.85","522.85","511.40","514.10","516.55","517.90","32,30,049","1,67,28,46,594.55","47,003","8,97,336","27.78"
"KALYANKJIL","EQ","02-May-2025","516.55","514.10","518.90","506.05","507.35","508.45","511.49","29,19,874","1,49,34,83,397.50","48,710","7,43,865","25.48"
"KALYANKJIL","EQ","05-May-2025","508.45","512.90","534.80","508.10","528.90","530.80","523.79","50,57,306","2,64,89,64,292.85","70,772","13,64,988","26.99"
"KALYANKJIL","EQ","06-May-2025","530.80","528.85","528.85","500.60","505.00","502.25","511.52","42,52,429","2,17,51,97,124.35","70,614","10,82,918","25.47"
"KALYANKJIL","EQ","07-May-2025","502.25","496.50","526.20","493.65","520.15","523.10","511.74","65,51,428","3,35,26,24,429.05","91,371","13,23,116","20.20"
"KALYANKJIL","EQ","08-May-2025","523.10","523.05","528.50","507.00","508.95","512.40","519.41","48,16,872","2,50,19,22,299.10","68,930","10,30,743","21.40"
"KALYANKJIL","EQ","09-May-2025","512.40","501.10","527.50","501.10","517.85","519.15","519.70","83,18,725","4,32,32,58,269.80","1,06,759","14,53,287","17.47"
"KALYANKJIL","EQ","12-May-2025","519.15","535.00","545.00","530.05","536.05","538.15","537.70","49,52,776","2,66,30,96,368.60","65,967","13,51,043","27.28"
"KALYANKJIL","EQ","13-May-2025","538.15","538.20","557.70","536.60","553.60","554.50","547.76","66,79,954","3,65,90,06,534.10","93,864","17,54,812","26.27"
"KALYANKJIL","EQ","14-May-2025","554.50","555.50","564.50","548.50","550.95","551.45","555.97","52,29,385","2,90,73,94,529.45","68,528","15,46,232","29.57"
"KALYANKJIL","EQ","15-May-2025","551.45","552.10","556.65","548.60","551.25","551.90","552.68","26,79,355","1,48,08,20,601.60","43,053","4,92,299","18.37"
"KALYANKJIL","EQ","16-May-2025","551.90","554.70","565.00","551.00","559.20","560.40","559.08","37,64,160","2,10,44,72,487.85","53,561","10,60,576","28.18"
"KALYANKJIL","EQ","19-May-2025","560.40","560.40","565.00","553.05","560.00","559.35","559.73","27,97,104","1,56,56,31,666.30","46,562","7,81,567","27.94"
"KALYANKJIL","EQ","20-May-2025","559.35","561.60","564.30","542.70","548.00","546.15","549.84","26,99,286","1,48,41,81,480.00","41,579","9,80,795","36.34"
"KALYANKJIL","EQ","21-May-2025","546.15","549.55","557.95","547.00","552.95","552.05","552.53","22,42,053","1,23,88,11,079.85","35,062","4,38,981","19.58"
"KALYANKJIL","EQ","22-May-2025","552.05","550.00","555.70","545.15","554.25","554.10","551.02","18,19,021","1,00,23,14,321.70","29,285","4,94,644","27.19"
"KALYANKJIL","EQ","23-May-2025","554.10","554.00","557.95","548.30","553.50","553.60","552.77","15,06,623","83,28,12,541.65","29,097","3,89,965","25.88"
"KALYANKJIL","EQ","26-May-2025","553.60","553.50","574.50","553.15","567.25","568.35","567.39","39,63,204","2,24,87,02,078.60","56,279","10,95,202","27.63"
