"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"KAYNES","EQ","07-Mar-2025","4,249.10","4,249.10","4,498.00","4,245.00","4,453.00","4,457.05","4,417.73","8,86,317","3,91,55,09,374.80","92,224","1,78,108","20.10"
"KAYNES","EQ","10-Mar-2025","4,457.05","4,483.00","4,561.00","4,251.35","4,260.00","4,301.50","4,380.51","4,96,173","2,17,34,90,774.90","57,268","1,41,670","28.55"
"KAYNES","EQ","11-Mar-2025","4,301.50","4,200.00","4,350.00","4,135.40","4,330.00","4,291.35","4,231.21","4,04,559","1,71,17,74,597.35","54,785","63,382","15.67"
"KAYNES","EQ","12-Mar-2025","4,291.35","4,101.00","4,407.65","3,898.00","4,248.00","4,330.20","4,192.31","29,58,667","12,40,36,44,213.25","2,65,241","2,27,347","7.68"
"KAYNES","EQ","13-Mar-2025","4,330.20","4,300.00","4,399.00","4,167.45","4,225.00","4,243.90","4,294.78","9,00,126","3,86,58,41,254.25","99,371","78,585","8.73"
"KAYNES","EQ","17-Mar-2025","4,243.90","4,250.70","4,425.00","4,216.90","4,343.10","4,341.90","4,331.38","6,71,339","2,90,78,24,329.70","73,781","1,13,173","16.86"
"KAYNES","EQ","18-Mar-2025","4,341.90","4,381.20","4,525.00","4,322.20","4,492.00","4,499.80","4,449.35","6,94,536","3,09,02,32,172.95","74,095","1,78,892","25.76"
"KAYNES","EQ","19-Mar-2025","4,499.80","4,510.00","4,608.00","4,495.10","4,580.00","4,584.05","4,546.56","5,34,017","2,42,79,41,894.60","57,263","1,20,808","22.62"
"KAYNES","EQ","20-Mar-2025","4,584.05","4,643.00","4,735.85","4,496.60","4,623.00","4,642.90","4,618.89","6,52,152","3,01,22,16,680.40","69,558","1,17,662","18.04"
"KAYNES","EQ","21-Mar-2025","4,642.90","4,640.90","4,890.00","4,599.05","4,878.50","4,848.30","4,803.46","11,87,670","5,70,49,24,655.95","88,792","2,98,218","25.11"
"KAYNES","EQ","24-Mar-2025","4,848.30","4,936.05","5,145.00","4,914.35","5,043.00","5,036.40","5,045.74","8,96,197","4,52,19,79,628.55","1,06,477","2,05,593","22.94"
"KAYNES","EQ","25-Mar-2025","5,036.40","5,100.00","5,139.35","4,825.00","4,830.00","4,882.70","4,946.46","5,58,186","2,76,10,44,442.50","63,560","1,23,101","22.05"
"KAYNES","EQ","26-Mar-2025","4,882.70","4,970.00","4,977.20","4,756.55","4,860.00","4,873.15","4,882.57","6,32,951","3,09,04,30,429.30","68,190","1,11,204","17.57"
"KAYNES","EQ","27-Mar-2025","4,873.15","4,865.00","4,939.00","4,767.05","4,860.00","4,803.65","4,844.99","6,39,358","3,09,76,82,045.00","65,321","1,81,858","28.44"
"KAYNES","EQ","28-Mar-2025","4,803.65","4,878.95","4,939.80","4,720.00","4,722.05","4,747.35","4,849.38","3,88,015","1,88,16,31,842.45","45,596","98,540","25.40"
"KAYNES","EQ","01-Apr-2025","4,747.35","4,725.00","4,847.90","4,704.55","4,771.00","4,795.10","4,796.88","3,43,144","1,64,60,22,030.70","36,819","73,260","21.35"
"KAYNES","EQ","02-Apr-2025","4,795.10","4,789.85","5,060.00","4,734.85","5,036.00","5,036.95","4,923.90","5,86,919","2,88,99,30,735.80","61,386","1,49,047","25.39"
"KAYNES","EQ","03-Apr-2025","5,036.95","4,960.00","5,078.05","4,930.55","4,952.00","4,956.05","4,996.61","4,51,978","2,25,83,59,299.00","50,873","1,19,590","26.46"
"KAYNES","EQ","04-Apr-2025","4,956.05","4,940.00","4,960.00","4,560.00","4,665.00","4,649.75","4,758.22","4,63,827","2,20,69,89,121.70","56,466","1,23,722","26.67"
"KAYNES","EQ","07-Apr-2025","4,649.75","3,900.00","4,560.00","3,900.00","4,519.00","4,439.30","4,295.37","6,96,682","2,99,25,09,685.40","89,815","1,32,605","19.03"
"KAYNES","EQ","08-Apr-2025","4,439.30","4,660.40","4,872.85","4,586.20","4,837.00","4,836.20","4,722.52","8,71,475","4,11,55,57,190.65","86,509","1,07,702","12.36"
"KAYNES","EQ","09-Apr-2025","4,836.20","4,785.55","4,870.00","4,680.60","4,865.00","4,833.55","4,763.85","4,45,514","2,12,23,61,064.75","50,874","87,256","19.59"
"KAYNES","EQ","11-Apr-2025","4,833.55","5,046.00","5,152.85","4,926.60","5,092.15","5,091.15","5,063.85","9,87,632","5,00,12,23,823.00","93,532","2,08,259","21.09"
"KAYNES","EQ","15-Apr-2025","5,091.15","5,202.00","5,581.00","5,202.00","5,399.00","5,520.90","5,458.52","14,40,058","7,86,05,78,865.20","1,33,038","2,66,961","18.54"
"KAYNES","EQ","16-Apr-2025","5,520.90","5,499.00","5,844.00","5,479.20","5,660.00","5,671.20","5,709.38","14,58,088","8,32,47,85,333.00","1,35,378","3,02,391","20.74"
"KAYNES","EQ","17-Apr-2025","5,671.20","5,670.10","5,741.90","5,535.00","5,635.00","5,643.00","5,636.79","6,48,154","3,65,35,06,912.00","73,845","1,69,899","26.21"
"KAYNES","EQ","21-Apr-2025","5,643.00","5,697.00","5,917.80","5,671.10","5,884.00","5,879.00","5,824.56","6,64,909","3,87,28,03,452.30","68,600","1,99,691","30.03"
"KAYNES","EQ","22-Apr-2025","5,879.00","5,913.90","6,159.70","5,908.30","5,975.00","5,979.30","6,039.10","8,57,779","5,18,02,14,200.20","85,253","2,16,418","25.23"
"KAYNES","EQ","23-Apr-2025","5,979.30","6,070.20","6,187.40","5,829.30","5,950.00","5,919.60","5,973.36","6,54,157","3,90,75,18,482.70","80,292","1,38,681","21.20"
"KAYNES","EQ","24-Apr-2025","5,919.60","5,960.00","5,979.70","5,800.00","5,800.10","5,835.40","5,879.80","3,95,047","2,32,27,96,438.50","54,056","97,815","24.76"
"KAYNES","EQ","25-Apr-2025","5,835.40","5,845.00","5,870.00","5,472.50","5,604.00","5,573.90","5,582.13","8,56,724","4,78,23,48,844.30","97,474","2,05,911","24.03"
"KAYNES","EQ","28-Apr-2025","5,573.90","5,574.80","5,943.40","5,563.20","5,938.00","5,884.60","5,755.61","6,75,699","3,88,90,62,977.20","70,753","2,01,803","29.87"
"KAYNES","EQ","29-Apr-2025","5,884.60","6,000.00","6,004.60","5,845.00","5,889.00","5,914.70","5,920.20","5,09,064","3,01,37,58,652.50","57,297","98,831","19.41"
"KAYNES","EQ","30-Apr-2025","5,914.70","5,889.00","5,962.40","5,701.10","5,709.00","5,747.20","5,835.57","5,24,506","3,06,07,91,987.00","64,474","1,39,773","26.65"
"KAYNES","EQ","02-May-2025","5,747.20","5,767.50","5,826.00","5,625.00","5,744.00","5,755.50","5,738.76","3,80,897","2,18,58,76,161.50","56,226","69,156","18.16"
"KAYNES","EQ","05-May-2025","5,755.50","5,850.50","5,850.50","5,765.00","5,788.00","5,795.00","5,795.45","1,84,332","1,06,82,86,021.50","27,169","46,610","25.29"
"KAYNES","EQ","06-May-2025","5,795.00","5,788.00","5,825.00","5,600.00","5,606.00","5,623.00","5,714.42","2,35,054","1,34,31,98,325.50","36,816","63,783","27.14"
"KAYNES","EQ","07-May-2025","5,623.00","5,498.00","5,867.00","5,490.00","5,840.00","5,842.00","5,727.62","5,99,704","3,43,48,74,169.00","84,249","1,46,846","24.49"
