"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"KEI","EQ","07-Mar-2025","3,287.25","3,277.05","3,285.00","3,204.00","3,221.00","3,223.85","3,233.66","4,54,725","1,47,04,24,459.85","50,968","1,72,193","37.87"
"KEI","EQ","10-Mar-2025","3,223.85","3,235.65","3,242.50","3,020.00","3,021.40","3,030.75","3,083.44","7,16,195","2,20,83,46,148.45","78,273","2,93,528","40.98"
"KEI","EQ","11-Mar-2025","3,030.75","2,975.00","3,059.00","2,963.05","3,049.75","3,028.45","3,000.65","5,66,221","1,69,90,33,803.70","64,837","2,29,616","40.55"
"KEI","EQ","12-Mar-2025","3,028.45","3,035.95","3,096.95","3,018.65","3,063.00","3,065.45","3,058.84","2,71,429","83,02,58,656.10","32,762","87,840","32.36"
"KEI","EQ","13-Mar-2025","3,065.45","3,085.00","3,090.00","3,036.00","3,048.50","3,053.95","3,061.09","2,48,157","75,96,32,065.80","26,229","1,11,513","44.94"
"KEI","EQ","17-Mar-2025","3,053.95","3,036.00","3,140.50","3,020.10","3,122.25","3,124.05","3,105.65","4,68,552","1,45,51,57,700.20","56,878","2,30,093","49.11"
"KEI","EQ","18-Mar-2025","3,124.05","3,140.05","3,277.00","3,133.10","3,264.00","3,265.95","3,218.70","3,41,060","1,09,77,69,039.35","51,690","1,27,623","37.42"
"KEI","EQ","19-Mar-2025","3,265.95","3,268.05","3,324.00","3,240.35","3,284.20","3,283.25","3,290.86","4,16,246","1,36,98,07,954.70","48,292","1,95,555","46.98"
"KEI","EQ","20-Mar-2025","3,283.25","3,155.25","3,169.95","2,762.25","2,870.00","2,841.10","2,869.59","83,80,075","24,04,73,68,090.30","3,52,631","27,77,658","33.15"
"KEI","EQ","21-Mar-2025","2,841.10","2,892.00","2,936.75","2,853.00","2,880.00","2,890.30","2,894.56","30,12,943","8,72,11,45,580.80","1,98,536","8,59,453","28.53"
"KEI","EQ","24-Mar-2025","2,890.30","2,907.05","2,943.50","2,874.20","2,886.15","2,882.65","2,905.92","13,13,628","3,81,72,99,662.60","74,861","5,96,517","45.41"
"KEI","EQ","25-Mar-2025","2,882.65","2,907.00","2,936.95","2,825.00","2,829.00","2,835.20","2,881.44","10,49,515","3,02,41,18,641.80","70,603","3,51,415","33.48"
"KEI","EQ","26-Mar-2025","2,835.20","2,844.50","2,884.75","2,815.00","2,821.65","2,819.95","2,842.64","7,27,654","2,06,84,60,891.40","49,084","3,12,572","42.96"
"KEI","EQ","27-Mar-2025","2,819.95","2,830.10","2,912.00","2,805.30","2,894.00","2,883.25","2,865.84","8,87,991","2,54,48,36,497.20","58,663","4,08,567","46.01"
"KEI","EQ","28-Mar-2025","2,883.25","2,904.65","2,944.95","2,872.80","2,883.00","2,892.85","2,914.51","7,22,128","2,10,46,49,276.05","56,276","3,47,917","48.18"
"KEI","EQ","01-Apr-2025","2,892.85","2,864.00","2,908.20","2,812.00","2,827.00","2,829.40","2,841.83","3,99,933","1,13,65,42,626.20","37,043","1,80,439","45.12"
"KEI","EQ","02-Apr-2025","2,829.40","2,830.00","2,883.00","2,762.00","2,880.00","2,879.70","2,825.04","7,66,198","2,16,45,43,133.75","70,827","3,03,095","39.56"
"KEI","EQ","03-Apr-2025","2,879.70","2,850.00","2,886.55","2,817.25","2,824.90","2,824.40","2,839.36","4,19,420","1,19,08,82,861.55","48,633","1,70,936","40.76"
"KEI","EQ","04-Apr-2025","2,824.40","2,824.90","2,839.00","2,613.35","2,655.00","2,645.10","2,678.58","9,75,173","2,61,20,81,180.10","90,372","4,44,458","45.58"
"KEI","EQ","07-Apr-2025","2,645.10","2,500.00","2,577.70","2,424.00","2,512.00","2,509.75","2,505.41","7,08,097","1,77,40,71,678.10","76,211","2,92,959","41.37"
"KEI","EQ","08-Apr-2025","2,509.75","2,580.00","2,618.90","2,537.35","2,600.05","2,589.85","2,584.64","5,74,236","1,48,41,94,845.25","37,503","2,57,335","44.81"
"KEI","EQ","09-Apr-2025","2,589.85","2,615.00","2,639.30","2,570.05","2,603.95","2,599.70","2,602.63","6,42,997","1,67,34,86,079.40","33,816","3,86,296","60.08"
"KEI","EQ","11-Apr-2025","2,599.70","2,689.90","2,689.95","2,592.15","2,603.75","2,607.35","2,610.37","7,79,654","2,03,51,85,601.60","50,516","4,39,751","56.40"
"KEI","EQ","15-Apr-2025","2,607.35","2,659.50","2,745.90","2,625.10","2,735.00","2,736.40","2,687.40","8,47,398","2,27,72,96,569.90","50,787","4,72,109","55.71"
"KEI","EQ","16-Apr-2025","2,736.40","2,736.40","2,765.20","2,712.30","2,747.70","2,754.90","2,742.38","5,86,575","1,60,86,12,596.70","30,988","3,36,162","57.31"
"KEI","EQ","17-Apr-2025","2,754.90","2,785.00","2,878.30","2,782.40","2,821.50","2,826.00","2,845.74","11,11,301","3,16,24,73,671.30","73,289","3,34,100","30.06"
"KEI","EQ","21-Apr-2025","2,826.00","2,843.00","2,925.00","2,791.00","2,885.40","2,896.10","2,870.69","4,53,196","1,30,09,85,826.40","32,241","1,63,924","36.17"
"KEI","EQ","22-Apr-2025","2,896.10","2,897.00","2,974.90","2,883.00","2,959.90","2,955.60","2,952.87","5,36,950","1,58,55,44,030.50","44,199","2,71,231","50.51"
"KEI","EQ","23-Apr-2025","2,955.60","2,986.00","3,050.50","2,926.00","3,018.00","3,019.10","2,989.96","7,79,938","2,33,19,79,569.40","51,586","3,49,588","44.82"
"KEI","EQ","24-Apr-2025","3,019.10","3,020.00","3,032.60","2,965.00","2,983.00","2,980.50","2,990.62","3,10,870","92,96,95,372.20","32,837","1,26,050","40.55"
"KEI","EQ","25-Apr-2025","2,980.50","2,967.00","3,009.50","2,903.60","2,956.00","2,967.10","2,952.53","4,71,789","1,39,29,71,188.50","52,726","1,73,208","36.71"
"KEI","EQ","28-Apr-2025","2,967.10","2,942.00","3,013.90","2,942.00","3,002.00","2,999.90","2,992.18","2,69,206","80,55,14,072.20","25,126","1,28,301","47.66"
"KEI","EQ","29-Apr-2025","2,999.90","3,010.00","3,067.30","3,006.00","3,040.00","3,037.90","3,047.54","3,79,027","1,15,51,01,489.20","45,607","2,11,393","55.77"
"KEI","EQ","30-Apr-2025","3,037.90","3,035.00","3,085.00","3,000.00","3,047.00","3,063.60","3,063.10","3,58,054","1,09,67,53,584.20","39,002","2,00,529","56.01"
"KEI","EQ","02-May-2025","3,063.60","3,063.60","3,128.50","3,001.70","3,010.00","3,025.40","3,075.40","3,21,671","98,92,68,327.30","32,792","1,35,716","42.19"
"KEI","EQ","05-May-2025","3,025.40","3,058.70","3,230.00","3,050.60","3,230.00","3,210.10","3,162.46","7,03,149","2,22,36,83,440.00","60,465","1,56,610","22.27"
"KEI","EQ","06-May-2025","3,210.10","3,239.70","3,282.40","3,154.10","3,202.00","3,193.90","3,214.69","7,74,151","2,48,86,58,706.60","63,270","1,77,131","22.88"
"KEI","EQ","07-May-2025","3,193.90","3,200.00","3,371.40","3,199.90","3,296.10","3,295.30","3,294.75","17,65,212","5,81,59,25,086.30","1,31,485","4,92,242","27.89"
"KEI","EQ","08-May-2025","3,295.30","3,300.00","3,406.00","3,238.20","3,250.00","3,262.10","3,347.75","8,14,287","2,72,60,32,859.40","62,676","3,09,683","38.03"
"KEI","EQ","09-May-2025","3,262.10","3,150.50","3,249.00","3,150.50","3,229.90","3,232.50","3,203.44","3,28,404","1,05,20,22,920.00","39,065","1,03,530","31.53"
"KEI","EQ","12-May-2025","3,232.50","3,380.00","3,400.10","3,332.90","3,387.60","3,386.00","3,376.48","2,69,435","90,97,41,904.70","37,932","1,07,853","40.03"
"KEI","EQ","13-May-2025","3,386.00","3,398.00","3,447.00","3,372.90","3,423.90","3,425.30","3,423.72","3,76,110","1,28,76,95,151.60","40,908","2,01,913","53.68"
"KEI","EQ","14-May-2025","3,425.30","3,450.00","3,453.00","3,361.00","3,400.00","3,398.40","3,398.60","2,94,684","1,00,15,12,605.00","33,740","1,45,133","49.25"
"KEI","EQ","15-May-2025","3,398.40","3,422.00","3,512.40","3,396.00","3,498.70","3,499.00","3,473.20","3,74,416","1,30,04,21,445.00","32,711","2,11,064","56.37"
"KEI","EQ","16-May-2025","3,499.00","3,519.60","3,522.70","3,449.00","3,465.00","3,463.20","3,476.47","3,13,300","1,08,91,77,329.90","25,375","1,68,423","53.76"
