"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KFINTECH","EQ","07-Mar-2025","888.90","888.90","934.00","867.85","931.00","929.55","904.55","19,98,432","1,80,76,81,745.75","86,427","6,61,172","33.08"
"KFINTECH","EQ","10-Mar-2025","929.55","937.00","952.55","893.70","900.00","901.65","913.54","9,17,566","83,82,28,873.70","51,920","3,35,215","36.53"
"KFINTECH","EQ","11-Mar-2025","901.65","885.00","918.70","872.10","918.70","913.55","902.59","7,23,581","65,30,94,576.05","44,023","2,27,283","31.41"
"KFINTECH","EQ","12-Mar-2025","913.55","919.00","942.40","902.00","919.00","919.60","920.49","6,76,104","62,23,47,378.85","41,449","2,45,449","36.30"
"KFINTECH","EQ","13-Mar-2025","919.60","924.60","937.00","907.75","911.10","915.55","921.80","6,19,541","57,10,90,812.80","36,498","2,53,502","40.92"
"KFINTECH","EQ","17-Mar-2025","915.55","906.70","946.55","906.70","915.50","913.45","929.78","7,57,845","70,46,32,618.75","48,502","2,84,616","37.56"
"KFINTECH","EQ","18-Mar-2025","913.45","925.00","942.50","915.40","939.00","935.85","934.56","8,71,315","81,42,97,487.85","48,908","4,13,611","47.47"
"KFINTECH","EQ","19-Mar-2025","935.85","945.00","979.20","940.60","976.05","975.10","968.40","22,34,132","2,16,35,33,943.15","87,426","12,28,534","54.99"
"KFINTECH","EQ","20-Mar-2025","975.10","984.00","1,069.45","962.20","1,050.00","1,050.30","1,017.86","31,66,601","3,22,31,69,978.55","1,31,700","12,54,062","39.60"
"KFINTECH","EQ","21-Mar-2025","1,050.30","1,047.00","1,120.00","1,043.40","1,095.00","1,100.50","1,093.03","14,11,782","1,54,31,15,854.50","76,490","4,43,712","31.43"
"KFINTECH","EQ","24-Mar-2025","1,100.50","1,110.90","1,170.40","1,110.00","1,138.00","1,139.10","1,148.69","11,25,827","1,29,32,20,815.75","78,611","4,36,183","38.74"
"KFINTECH","EQ","25-Mar-2025","1,139.10","1,146.15","1,158.30","1,078.00","1,099.80","1,098.75","1,113.70","13,83,517","1,54,08,23,829.20","77,548","7,15,206","51.69"
"KFINTECH","EQ","26-Mar-2025","1,098.75","1,098.75","1,098.75","1,034.45","1,039.75","1,043.65","1,061.10","7,04,422","74,74,64,058.40","63,998","2,95,179","41.90"
"KFINTECH","EQ","27-Mar-2025","1,043.65","1,028.00","1,055.80","1,016.70","1,030.00","1,041.10","1,034.32","12,23,235","1,26,52,15,034.60","65,908","7,25,052","59.27"
"KFINTECH","EQ","28-Mar-2025","1,041.10","1,049.35","1,070.00","1,021.00","1,029.90","1,029.60","1,040.08","5,26,816","54,79,28,583.95","36,149","1,98,175","37.62"
"KFINTECH","EQ","01-Apr-2025","1,029.60","1,024.50","1,046.45","980.65","1,035.00","1,032.05","1,018.78","11,09,749","1,13,05,85,715.05","65,017","4,06,576","36.64"
"KFINTECH","EQ","02-Apr-2025","1,032.05","1,026.90","1,049.60","1,009.10","1,039.50","1,042.60","1,037.38","4,18,789","43,44,41,572.60","28,145","1,35,102","32.26"
"KFINTECH","EQ","03-Apr-2025","1,042.60","1,021.00","1,083.90","1,020.30","1,068.80","1,062.70","1,066.50","6,22,428","66,38,19,957.20","32,581","2,51,538","40.41"
"KFINTECH","EQ","04-Apr-2025","1,062.70","1,062.70","1,066.35","1,025.25","1,030.00","1,036.00","1,041.40","5,56,662","57,97,07,574.10","37,399","2,85,738","51.33"
"KFINTECH","EQ","07-Apr-2025","1,036.00","828.80","1,030.00","828.80","984.00","996.20","968.04","12,31,243","1,19,18,98,514.20","76,056","4,11,454","33.42"
