"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","07-Mar-2025","1,921.70","1,917.00","1,940.60","1,910.05","1,932.00","1,935.40","1,926.46","27,80,338","5,35,62,22,987.95","82,747","19,94,891","71.75"
"KOTAKBANK","EQ","10-Mar-2025","1,935.40","1,932.50","1,940.05","1,916.35","1,920.00","1,921.75","1,931.57","22,28,534","4,30,45,80,195.75","85,417","16,93,390","75.99"
"KOTAKBANK","EQ","11-Mar-2025","1,921.75","1,923.00","1,944.00","1,904.45","1,936.70","1,935.20","1,926.20","32,07,052","6,17,74,11,789.35","1,43,449","23,28,654","72.61"
"KOTAKBANK","EQ","12-Mar-2025","1,935.20","1,940.00","1,997.70","1,938.00","1,979.95","1,982.55","1,980.59","67,04,494","13,27,88,47,229.10","2,64,027","49,61,613","74.00"
"KOTAKBANK","EQ","13-Mar-2025","1,982.55","1,975.70","1,993.35","1,969.55","1,981.50","1,985.10","1,984.97","49,25,794","9,77,75,35,694.00","1,42,227","38,05,982","77.27"
"KOTAKBANK","EQ","17-Mar-2025","1,985.10","1,980.10","1,998.85","1,974.25","1,995.00","1,993.10","1,991.42","31,70,929","6,31,46,47,400.65","1,18,386","24,41,942","77.01"
"KOTAKBANK","EQ","18-Mar-2025","1,993.10","2,000.00","2,039.00","1,988.60","2,035.15","2,034.00","2,022.71","53,84,288","10,89,08,34,384.30","2,03,358","39,86,745","74.04"
"KOTAKBANK","EQ","19-Mar-2025","2,034.00","2,039.25","2,051.00","2,017.25","2,021.95","2,021.55","2,031.39","53,38,288","10,84,41,45,082.70","1,61,325","41,19,969","77.18"
"KOTAKBANK","EQ","20-Mar-2025","2,021.55","2,031.00","2,038.90","2,016.50","2,032.10","2,035.65","2,033.39","26,83,306","5,45,62,20,483.50","1,39,113","19,29,231","71.90"
"KOTAKBANK","EQ","21-Mar-2025","2,035.65","2,040.00","2,097.60","2,035.00","2,073.95","2,079.00","2,076.89","1,88,50,808","39,15,11,11,702.05","2,55,463","1,55,94,431","82.73"
"KOTAKBANK","EQ","24-Mar-2025","2,079.00","2,100.00","2,184.25","2,090.25","2,180.00","2,176.15","2,163.50","85,08,351","18,40,78,45,040.40","2,24,338","56,44,753","66.34"
"KOTAKBANK","EQ","25-Mar-2025","2,176.15","2,179.90","2,202.50","2,160.00","2,171.90","2,170.00","2,187.33","73,42,433","16,06,03,26,791.95","1,85,498","51,08,188","69.57"
"KOTAKBANK","EQ","26-Mar-2025","2,170.00","2,175.00","2,176.00","2,129.90","2,148.65","2,144.90","2,146.30","30,16,916","6,47,52,00,479.05","1,70,269","20,37,736","67.54"
"KOTAKBANK","EQ","27-Mar-2025","2,144.90","2,144.00","2,151.40","2,111.85","2,135.45","2,128.65","2,131.86","94,21,224","20,08,46,95,368.00","1,77,390","69,44,605","73.71"
"KOTAKBANK","EQ","28-Mar-2025","2,128.65","2,139.30","2,179.90","2,139.00","2,174.00","2,171.20","2,167.05","36,72,253","7,95,79,37,513.40","1,78,868","25,55,202","69.58"
"KOTAKBANK","EQ","01-Apr-2025","2,171.20","2,174.30","2,178.50","2,135.90","2,144.30","2,145.90","2,149.86","37,50,939","8,06,40,00,143.20","1,22,843","23,50,347","62.66"
"KOTAKBANK","EQ","02-Apr-2025","2,145.90","2,141.00","2,160.65","2,139.65","2,153.05","2,154.60","2,150.02","21,32,192","4,58,42,55,535.25","1,02,003","16,71,374","78.39"
"KOTAKBANK","EQ","03-Apr-2025","2,154.60","2,129.00","2,151.70","2,127.15","2,133.00","2,132.60","2,135.58","16,94,038","3,61,77,49,638.30","98,442","12,19,957","72.01"
"KOTAKBANK","EQ","04-Apr-2025","2,132.60","2,130.90","2,146.30","2,118.15","2,132.10","2,131.95","2,129.73","37,88,403","8,06,82,77,988.85","2,06,429","27,78,185","73.33"
"KOTAKBANK","EQ","07-Apr-2025","2,131.95","2,018.70","2,083.60","2,000.80","2,044.00","2,037.85","2,038.18","71,39,049","14,55,06,42,674.65","2,61,737","47,78,049","66.93"
"KOTAKBANK","EQ","08-Apr-2025","2,037.85","2,062.45","2,079.90","2,038.00","2,058.00","2,055.15","2,055.65","40,94,339","8,41,65,31,029.20","1,47,239","24,48,594","59.80"
"KOTAKBANK","EQ","09-Apr-2025","2,055.15","2,054.00","2,065.00","2,042.10","2,058.00","2,052.70","2,056.16","39,19,578","8,05,92,83,864.00","1,78,642","26,44,850","67.48"
"KOTAKBANK","EQ","11-Apr-2025","2,052.70","2,065.00","2,139.50","2,058.50","2,109.85","2,111.20","2,112.97","55,94,689","11,82,13,91,565.50","1,72,272","37,70,835","67.40"
"KOTAKBANK","EQ","15-Apr-2025","2,111.20","2,145.00","2,147.00","2,099.60","2,124.00","2,120.20","2,117.60","56,35,664","11,93,40,62,579.30","1,52,731","38,11,548","67.63"
"KOTAKBANK","EQ","16-Apr-2025","2,120.20","2,120.00","2,151.60","2,113.30","2,121.60","2,123.40","2,126.56","28,99,779","6,16,65,51,677.30","1,57,692","18,08,270","62.36"
"KOTAKBANK","EQ","17-Apr-2025","2,123.40","2,115.00","2,193.90","2,097.70","2,185.10","2,188.10","2,156.50","53,88,632","11,62,06,11,762.30","2,26,452","33,18,530","61.58"
"KOTAKBANK","EQ","21-Apr-2025","2,188.10","2,195.00","2,261.20","2,175.40","2,248.70","2,241.40","2,233.48","48,86,498","10,91,38,96,073.50","2,25,372","31,29,368","64.04"
"KOTAKBANK","EQ","22-Apr-2025","2,241.40","2,249.00","2,301.90","2,245.40","2,265.00","2,268.80","2,281.09","67,32,983","15,35,85,15,073.00","1,84,168","46,35,792","68.85"
"KOTAKBANK","EQ","23-Apr-2025","2,268.80","2,285.00","2,290.00","2,220.00","2,221.40","2,227.00","2,240.21","35,23,879","7,89,42,34,352.40","1,27,032","24,58,197","69.76"
"KOTAKBANK","EQ","24-Apr-2025","2,227.00","2,218.00","2,237.90","2,213.70","2,218.10","2,223.00","2,226.32","41,68,537","9,28,05,09,280.70","1,27,119","26,44,360","63.44"
"KOTAKBANK","EQ","25-Apr-2025","2,223.00","2,220.00","2,233.40","2,178.20","2,196.60","2,204.40","2,199.67","21,36,003","4,69,84,91,084.20","1,02,382","12,38,134","57.96"
"KOTAKBANK","EQ","28-Apr-2025","2,204.40","2,197.00","2,231.80","2,189.40","2,222.20","2,225.60","2,223.61","24,38,178","5,42,15,57,256.30","1,35,201","14,96,152","61.36"
"KOTAKBANK","EQ","29-Apr-2025","2,225.60","2,225.60","2,247.00","2,198.80","2,202.10","2,205.00","2,219.34","30,58,265","6,78,73,25,662.80","1,15,735","18,02,742","58.95"
"KOTAKBANK","EQ","30-Apr-2025","2,205.00","2,213.90","2,231.00","2,188.20","2,202.00","2,208.10","2,213.18","46,22,917","10,23,13,62,749.40","1,67,166","30,08,971","65.09"
"KOTAKBANK","EQ","02-May-2025","2,208.10","2,204.00","2,223.60","2,171.20","2,180.10","2,185.20","2,191.92","26,79,156","5,87,25,03,958.20","1,52,876","18,27,323","68.21"
"KOTAKBANK","EQ","05-May-2025","2,185.20","2,105.10","2,133.80","2,058.00","2,085.00","2,084.90","2,084.11","88,21,617","18,38,52,32,759.80","3,96,921","46,01,629","52.16"
"KOTAKBANK","EQ","06-May-2025","2,084.90","2,086.00","2,091.40","2,065.00","2,070.00","2,074.00","2,073.44","34,05,097","7,06,02,62,954.30","1,52,782","25,00,690","73.44"
"KOTAKBANK","EQ","07-May-2025","2,074.00","2,063.70","2,101.80","2,054.50","2,100.00","2,094.90","2,082.59","37,39,456","7,78,77,61,747.40","1,51,407","28,19,147","75.39"
"KOTAKBANK","EQ","08-May-2025","2,094.90","2,099.00","2,138.70","2,094.90","2,106.20","2,112.60","2,117.04","69,24,871","14,66,02,06,437.20","2,47,991","48,99,386","70.75"
"KOTAKBANK","EQ","09-May-2025","2,112.60","2,075.00","2,120.00","2,075.00","2,106.60","2,103.10","2,102.27","46,54,300","9,78,45,80,066.80","1,00,815","27,85,775","59.85"
"KOTAKBANK","EQ","12-May-2025","2,103.10","2,134.00","2,163.60","2,126.10","2,143.00","2,145.00","2,147.90","30,21,874","6,49,06,87,308.50","1,50,244","20,86,867","69.06"
"KOTAKBANK","EQ","13-May-2025","2,145.00","2,135.00","2,146.10","2,101.10","2,119.00","2,115.60","2,112.50","43,07,824","9,10,02,90,325.20","1,60,711","28,53,755","66.25"
"KOTAKBANK","EQ","14-May-2025","2,115.60","2,111.00","2,119.90","2,084.00","2,091.90","2,092.40","2,098.93","21,37,594","4,48,66,68,237.30","1,33,616","12,78,396","59.81"
"KOTAKBANK","EQ","15-May-2025","2,092.40","2,085.10","2,112.00","2,065.40","2,101.60","2,106.40","2,088.88","42,62,359","8,90,35,49,720.40","1,58,406","21,13,388","49.58"
"KOTAKBANK","EQ","16-May-2025","2,106.40","2,099.90","2,114.90","2,090.10","2,109.80","2,108.20","2,102.75","20,57,908","4,32,72,58,232.20","1,36,716","13,45,339","65.37"
"KOTAKBANK","EQ","19-May-2025","2,108.20","2,102.00","2,124.00","2,100.40","2,110.00","2,111.20","2,113.10","15,05,704","3,18,17,07,246.10","74,401","8,73,450","58.01"
"KOTAKBANK","EQ","20-May-2025","2,111.20","2,114.80","2,117.90","2,084.70","2,095.50","2,090.10","2,096.69","39,09,098","8,19,61,84,704.60","1,08,787","26,72,071","68.36"
"KOTAKBANK","EQ","21-May-2025","2,090.10","2,095.00","2,096.30","2,060.00","2,072.50","2,071.30","2,075.93","21,41,740","4,44,61,04,290.80","92,311","12,08,646","56.43"
"KOTAKBANK","EQ","22-May-2025","2,071.30","2,074.00","2,077.60","2,050.70","2,073.00","2,065.80","2,060.26","32,89,328","6,77,68,86,431.90","1,24,898","21,41,340","65.10"
"KOTAKBANK","EQ","23-May-2025","2,065.80","2,065.80","2,109.30","2,065.80","2,101.00","2,100.80","2,092.87","16,50,953","3,45,52,26,380.70","84,436","9,67,218","58.59"
"KOTAKBANK","EQ","26-May-2025","2,100.80","2,090.10","2,112.00","2,085.10","2,090.00","2,089.30","2,094.01","20,40,285","4,27,23,68,815.30","1,05,239","12,40,691","60.81"
"KOTAKBANK","EQ","27-May-2025","2,089.30","2,090.00","2,099.00","2,061.20","2,075.00","2,077.40","2,075.40","34,59,940","7,18,07,70,045.40","1,71,852","18,88,039","54.57"
"KOTAKBANK","EQ","28-May-2025","2,077.40","2,075.00","2,080.40","2,063.40","2,075.80","2,074.30","2,071.12","16,34,636","3,38,55,27,423.40","1,29,774","7,96,992","48.76"
"KOTAKBANK","EQ","29-May-2025","2,074.30","2,077.30","2,096.00","2,055.00","2,095.50","2,081.60","2,072.12","49,87,382","10,33,44,77,440.30","2,15,480","22,98,490","46.09"
"KOTAKBANK","EQ","30-May-2025","2,081.60","2,081.60","2,090.20","2,065.50","2,077.30","2,074.70","2,073.92","98,07,728","20,34,04,39,031.70","1,49,470","71,78,219","73.19"
"KOTAKBANK","EQ","02-Jun-2025","2,074.70","2,067.00","2,075.80","2,051.20","2,061.20","2,063.60","2,063.23","27,01,140","5,57,30,62,627.30","1,00,334","19,29,044","71.42"
"KOTAKBANK","EQ","03-Jun-2025","2,063.60","2,070.00","2,075.80","2,034.20","2,041.00","2,044.50","2,046.71","64,63,818","13,22,95,44,700.90","1,46,118","48,10,316","74.42"
"KOTAKBANK","EQ","04-Jun-2025","2,044.50","2,047.10","2,058.50","2,040.80","2,050.00","2,046.30","2,049.35","23,31,114","4,77,72,63,462.60","75,351","18,36,122","78.77"
"KOTAKBANK","EQ","05-Jun-2025","2,046.30","2,054.80","2,056.40","2,034.20","2,038.70","2,039.90","2,043.06","37,25,332","7,61,10,88,825.70","1,26,179","23,44,269","62.93"
"KOTAKBANK","EQ","06-Jun-2025","2,039.90","2,043.90","2,084.90","2,033.80","2,072.00","2,073.40","2,063.76","44,24,324","9,13,07,23,828.40","1,28,807","29,79,611","67.35"
"KOTAKBANK","EQ","09-Jun-2025","2,073.40","2,111.00","2,142.40","2,090.00","2,140.80","2,138.20","2,129.81","57,79,088","12,30,83,78,383.50","1,13,678","39,18,310","67.80"
"KOTAKBANK","EQ","10-Jun-2025","2,138.20","2,146.70","2,172.90","2,138.20","2,148.00","2,151.10","2,155.97","49,15,742","10,59,81,88,434.40","1,08,007","35,33,255","71.88"
"KOTAKBANK","EQ","11-Jun-2025","2,151.10","2,149.00","2,160.70","2,133.00","2,148.50","2,145.30","2,148.07","17,82,061","3,82,79,86,707.50","55,961","11,29,133","63.36"
"KOTAKBANK","EQ","12-Jun-2025","2,145.30","2,145.30","2,148.80","2,122.20","2,122.20","2,126.80","2,130.51","29,78,172","6,34,50,24,693.10","95,131","17,90,949","60.14"
"KOTAKBANK","EQ","13-Jun-2025","2,126.80","2,072.00","2,122.00","2,072.00","2,106.00","2,107.40","2,100.01","44,67,274","9,38,13,32,589.60","1,13,311","29,77,268","66.65"
"KOTAKBANK","EQ","16-Jun-2025","2,107.40","2,107.90","2,144.70","2,088.80","2,138.00","2,139.00","2,130.30","29,41,596","6,26,64,95,870.30","1,04,591","19,97,894","67.92"
"KOTAKBANK","EQ","17-Jun-2025","2,139.00","2,139.00","2,155.80","2,130.20","2,137.00","2,136.80","2,139.67","31,08,300","6,65,07,23,482.60","1,06,198","21,94,689","70.61"
"KOTAKBANK","EQ","18-Jun-2025","2,136.80","2,125.00","2,137.40","2,108.70","2,134.90","2,132.40","2,124.20","39,00,651","8,28,57,78,309.20","1,19,789","27,25,729","69.88"
"KOTAKBANK","EQ","19-Jun-2025","2,132.40","2,139.50","2,154.70","2,133.10","2,143.10","2,146.40","2,147.87","34,05,199","7,31,39,25,306.50","1,15,960","21,68,994","63.70"
"KOTAKBANK","EQ","20-Jun-2025","2,146.40","2,145.00","2,176.00","2,131.30","2,170.90","2,169.80","2,162.11","33,72,636","7,29,19,95,294.50","98,935","23,84,250","70.69"
"KOTAKBANK","EQ","23-Jun-2025","2,169.80","2,158.10","2,189.70","2,151.20","2,177.80","2,184.10","2,174.42","17,20,614","3,74,13,38,164.90","90,186","11,54,463","67.10"
"KOTAKBANK","EQ","24-Jun-2025","2,184.10","2,208.00","2,233.60","2,191.40","2,219.80","2,223.60","2,218.15","56,04,520","12,43,16,88,382.70","1,72,294","36,40,132","64.95"
"KOTAKBANK","EQ","25-Jun-2025","2,223.60","2,223.00","2,223.60","2,191.00","2,195.00","2,198.30","2,206.13","35,75,429","7,88,78,65,688.70","1,33,339","24,25,995","67.85"
"KOTAKBANK","EQ","26-Jun-2025","2,198.30","2,202.40","2,210.00","2,180.00","2,202.00","2,203.90","2,196.16","56,70,127","12,45,25,29,994.00","1,85,515","32,91,248","58.05"
"KOTAKBANK","EQ","27-Jun-2025","2,203.90","2,210.00","2,217.30","2,182.60","2,201.00","2,207.90","2,202.84","96,49,439","21,25,61,31,132.20","1,54,539","77,80,937","80.64"
