"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KPITTECH","EQ","07-Mar-2025","1,326.80","1,326.80","1,330.25","1,296.25","1,301.00","1,305.40","1,315.76","7,08,924","93,27,73,030.05","54,187","3,01,995","42.60"
"KPITTECH","EQ","10-Mar-2025","1,305.40","1,305.95","1,314.35","1,250.00","1,254.00","1,254.00","1,279.33","6,21,553","79,51,73,150.40","40,234","2,44,241","39.30"
"KPITTECH","EQ","11-Mar-2025","1,254.00","1,241.00","1,278.00","1,225.05","1,276.80","1,268.90","1,251.76","6,73,514","84,30,79,396.90","49,388","2,23,217","33.14"
"KPITTECH","EQ","12-Mar-2025","1,268.90","1,275.00","1,283.90","1,229.55","1,233.50","1,233.90","1,240.39","5,36,599","66,55,89,582.25","54,467","2,14,001","39.88"
"KPITTECH","EQ","13-Mar-2025","1,233.90","1,242.00","1,246.50","1,200.00","1,206.00","1,206.45","1,219.30","4,83,157","58,91,11,654.25","49,290","2,37,549","49.17"
"KPITTECH","EQ","17-Mar-2025","1,206.45","1,215.05","1,258.60","1,215.05","1,246.00","1,250.25","1,244.21","13,51,604","1,68,16,79,058.55","83,692","3,54,804","26.25"
"KPITTECH","EQ","18-Mar-2025","1,250.25","1,245.95","1,249.45","1,218.20","1,243.95","1,242.75","1,234.69","10,89,106","1,34,47,07,000.95","62,307","4,69,748","43.13"
"KPITTECH","EQ","19-Mar-2025","1,242.75","1,256.95","1,277.40","1,240.05","1,259.10","1,263.10","1,258.67","10,69,437","1,34,60,67,519.90","74,893","4,00,086","37.41"
"KPITTECH","EQ","20-Mar-2025","1,263.10","1,273.00","1,309.00","1,265.05","1,281.00","1,281.60","1,286.62","9,37,523","1,20,62,33,103.00","52,156","2,45,679","26.21"
"KPITTECH","EQ","21-Mar-2025","1,281.60","1,280.00","1,328.00","1,263.25","1,320.10","1,323.40","1,310.64","10,28,101","1,34,74,67,143.60","44,782","5,28,306","51.39"
"KPITTECH","EQ","24-Mar-2025","1,323.40","1,331.80","1,399.50","1,331.00","1,382.00","1,384.55","1,375.18","13,42,704","1,84,64,59,442.20","56,263","5,02,862","37.45"
"KPITTECH","EQ","25-Mar-2025","1,384.55","1,400.00","1,414.00","1,337.95","1,340.55","1,342.85","1,361.72","11,15,012","1,51,83,38,063.80","66,527","4,32,001","38.74"
