"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LICHSGFIN","EQ","07-Mar-2025","530.15","533.00","535.50","525.90","532.55","532.40","531.12","11,02,620","58,56,23,228.85","38,649","5,29,661","48.04"
"LICHSGFIN","EQ","10-Mar-2025","532.40","532.40","541.95","525.95","527.80","528.45","532.95","13,80,384","73,56,74,684.35","35,889","6,93,354","50.23"
"LICHSGFIN","EQ","11-Mar-2025","528.45","525.00","535.65","518.00","535.00","533.60","528.51","14,82,953","78,37,61,533.40","39,027","7,91,770","53.39"
"LICHSGFIN","EQ","12-Mar-2025","533.60","536.00","538.35","516.75","523.65","523.70","524.40","9,64,546","50,58,07,016.40","28,744","4,78,498","49.61"
"LICHSGFIN","EQ","13-Mar-2025","523.70","529.00","529.90","514.55","515.75","515.60","518.99","11,29,709","58,63,07,627.85","28,018","7,08,476","62.71"
"LICHSGFIN","EQ","17-Mar-2025","515.60","520.05","535.60","518.85","520.25","520.70","526.53","17,38,908","91,55,88,539.45","35,560","5,74,242","33.02"
"LICHSGFIN","EQ","18-Mar-2025","520.70","524.95","540.75","522.25","539.00","539.80","534.83","13,71,970","73,37,65,710.30","22,538","7,71,470","56.23"
"LICHSGFIN","EQ","19-Mar-2025","539.80","540.65","554.90","538.65","549.80","549.80","549.40","12,60,817","69,26,91,687.10","24,524","6,66,880","52.89"
"LICHSGFIN","EQ","20-Mar-2025","549.80","554.50","561.55","551.00","556.95","555.80","556.67","13,18,070","73,37,34,689.95","42,503","6,48,806","49.22"
"LICHSGFIN","EQ","21-Mar-2025","555.80","558.00","572.65","556.10","572.00","571.70","566.52","16,26,838","92,16,37,808.90","36,257","7,77,856","47.81"
"LICHSGFIN","EQ","24-Mar-2025","571.70","573.00","584.00","568.50","577.90","578.30","577.98","16,77,434","96,95,20,705.35","36,218","7,55,358","45.03"
"LICHSGFIN","EQ","25-Mar-2025","578.30","585.00","585.50","566.20","570.25","570.60","573.14","11,98,501","68,69,07,293.50","30,057","6,19,214","51.67"
"LICHSGFIN","EQ","26-Mar-2025","570.60","573.85","573.85","559.95","561.35","561.15","566.56","13,78,770","78,11,50,247.95","33,601","7,43,581","53.93"
"LICHSGFIN","EQ","27-Mar-2025","561.15","560.05","572.00","557.50","566.30","569.50","566.40","13,32,075","75,44,91,473.30","33,324","7,45,044","55.93"
"LICHSGFIN","EQ","28-Mar-2025","569.50","572.80","577.80","560.30","563.00","563.85","567.49","9,95,411","56,48,82,747.30","26,123","5,10,390","51.27"
"LICHSGFIN","EQ","01-Apr-2025","563.85","561.50","568.60","557.30","561.70","561.45","562.30","5,74,944","32,32,89,783.05","20,871","2,24,115","38.98"
"LICHSGFIN","EQ","02-Apr-2025","561.45","562.95","566.60","552.00","565.25","565.65","559.51","6,88,464","38,52,03,483.20","17,567","2,52,395","36.66"
"LICHSGFIN","EQ","03-Apr-2025","565.65","560.00","579.90","559.50","574.15","573.30","573.62","16,63,351","95,41,38,475.70","43,577","8,12,294","48.83"
"LICHSGFIN","EQ","04-Apr-2025","573.30","575.00","577.00","557.55","563.45","561.85","566.28","10,73,812","60,80,83,056.10","25,548","5,11,401","47.62"
"LICHSGFIN","EQ","07-Apr-2025","561.85","534.00","549.50","522.65","548.95","543.75","538.80","29,30,918","1,57,91,89,123.60","59,577","15,10,521","51.54"
"LICHSGFIN","EQ","08-Apr-2025","543.75","555.70","576.80","555.35","566.10","565.85","567.40","42,44,758","2,40,84,88,917.05","84,326","23,28,318","54.85"
"LICHSGFIN","EQ","09-Apr-2025","565.85","563.00","566.25","544.55","557.00","556.35","555.67","25,05,800","1,39,23,98,844.75","50,908","11,32,031","45.18"
"LICHSGFIN","EQ","11-Apr-2025","556.35","568.90","571.10","557.35","558.50","559.65","562.76","14,98,360","84,32,11,306.45","28,697","7,18,966","47.98"
"LICHSGFIN","EQ","15-Apr-2025","559.65","567.40","589.15","563.05","588.60","587.85","581.52","20,09,461","1,16,85,46,509.85","52,470","8,19,129","40.76"
"LICHSGFIN","EQ","16-Apr-2025","587.85","590.00","598.30","587.45","596.50","593.95","594.11","23,44,820","1,39,30,74,287.35","41,734","9,88,806","42.17"
"LICHSGFIN","EQ","17-Apr-2025","593.95","597.90","607.70","595.00","602.25","604.45","603.29","22,53,697","1,35,96,35,063.60","52,011","11,38,018","50.50"
"LICHSGFIN","EQ","21-Apr-2025","604.45","610.00","619.05","605.00","607.00","606.35","611.08","22,48,648","1,37,41,10,953.10","45,347","11,95,118","53.15"
"LICHSGFIN","EQ","22-Apr-2025","606.35","608.10","615.25","603.00","609.50","608.90","610.89","14,05,480","85,85,89,285.80","43,476","7,45,829","53.07"
"LICHSGFIN","EQ","23-Apr-2025","608.90","610.55","614.35","595.60","612.00","613.70","607.21","12,21,212","74,15,27,363.25","34,996","4,85,238","39.73"
"LICHSGFIN","EQ","24-Apr-2025","613.70","614.00","623.90","612.05","615.05","613.65","616.56","20,29,135","1,25,10,84,190.85","49,873","9,42,791","46.46"
"LICHSGFIN","EQ","25-Apr-2025","613.65","616.20","618.60","586.35","597.05","592.20","598.17","13,51,835","80,86,30,271.05","38,344","5,17,035","38.25"
"LICHSGFIN","EQ","28-Apr-2025","592.20","595.35","610.40","593.50","607.60","609.45","604.78","15,60,852","94,39,74,276.30","44,233","7,31,108","46.84"
"LICHSGFIN","EQ","29-Apr-2025","609.45","615.00","625.90","604.20","605.20","606.80","615.40","19,85,066","1,22,16,09,189.65","61,644","8,20,027","41.31"
"LICHSGFIN","EQ","30-Apr-2025","606.80","605.20","610.20","597.85","598.60","600.95","604.84","13,07,908","79,10,72,455.90","30,475","7,20,561","55.09"
"LICHSGFIN","EQ","02-May-2025","600.95","599.80","613.40","598.90","601.00","602.25","605.76","10,74,450","65,08,55,812.65","32,050","4,31,899","40.20"
"LICHSGFIN","EQ","05-May-2025","602.25","604.50","610.70","599.45","609.35","608.40","605.81","6,61,215","40,05,68,398.05","19,586","2,83,687","42.90"
"LICHSGFIN","EQ","06-May-2025","608.40","607.00","609.45","582.80","584.00","585.05","595.46","11,54,226","68,72,91,646.65","29,879","5,23,103","45.32"
"LICHSGFIN","EQ","07-May-2025","585.05","583.45","600.95","580.60","600.00","600.30","594.47","9,09,587","54,07,18,490.25","29,809","3,63,607","39.97"
"LICHSGFIN","EQ","08-May-2025","600.30","602.00","605.45","573.10","574.50","577.20","586.38","13,27,750","77,85,59,681.50","38,355","7,14,187","53.79"
"LICHSGFIN","EQ","09-May-2025","577.20","563.00","575.95","563.00","574.00","574.75","571.83","7,77,353","44,45,10,278.45","29,162","2,78,194","35.79"
"LICHSGFIN","EQ","12-May-2025","574.75","590.30","604.10","590.30","603.00","601.50","596.93","21,86,006","1,30,49,01,882.50","39,687","13,09,865","59.92"
"LICHSGFIN","EQ","13-May-2025","601.50","601.00","617.00","598.10","600.00","603.00","608.72","16,44,329","1,00,09,41,836.45","48,339","6,84,619","41.64"
"LICHSGFIN","EQ","14-May-2025","603.00","595.00","619.30","594.90","616.85","616.50","610.96","24,67,993","1,50,78,34,919.20","61,751","9,23,301","37.41"
"LICHSGFIN","EQ","15-May-2025","616.50","622.00","630.90","609.20","624.80","624.95","623.06","46,69,972","2,90,96,75,377.45","1,09,192","18,44,638","39.50"
"LICHSGFIN","EQ","16-May-2025","624.95","634.00","635.00","608.35","620.15","621.10","617.37","70,31,785","4,34,12,10,664.90","1,23,752","26,18,838","37.24"
"LICHSGFIN","EQ","19-May-2025","621.10","619.00","620.00","599.00","601.30","601.65","604.44","48,28,693","2,91,86,75,300.60","89,692","19,76,638","40.94"
"LICHSGFIN","EQ","20-May-2025","601.65","605.65","605.65","587.05","588.60","588.35","595.41","37,52,657","2,23,43,84,321.80","69,358","20,20,474","53.84"
"LICHSGFIN","EQ","21-May-2025","588.35","590.00","598.50","584.25","595.00","595.75","591.08","18,60,193","1,09,95,21,085.40","29,061","7,79,970","41.93"
"LICHSGFIN","EQ","22-May-2025","595.75","595.50","596.60","583.50","593.80","593.30","590.55","15,08,904","89,10,80,416.10","39,423","5,81,150","38.51"
"LICHSGFIN","EQ","23-May-2025","593.30","596.90","601.25","590.80","593.40","596.95","597.33","18,39,400","1,09,87,34,669.90","26,180","10,71,492","58.25"
"LICHSGFIN","EQ","26-May-2025","596.95","600.00","605.50","597.05","603.00","603.35","601.29","23,10,350","1,38,91,98,149.35","38,969","13,35,908","57.82"
"LICHSGFIN","EQ","27-May-2025","603.35","604.20","606.20","596.90","600.90","600.85","601.68","10,72,628","64,53,78,372.95","26,913","4,62,422","43.11"
"LICHSGFIN","EQ","28-May-2025","600.85","605.00","605.00","592.80","594.00","594.15","596.45","25,96,317","1,54,85,74,424.80","37,228","17,40,414","67.03"
