"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LICI","EQ","07-Mar-2025","766.80","765.00","772.25","758.50","764.00","763.15","765.10","7,60,968","58,22,17,357.85","32,473","3,32,810","43.74"
"LICI","EQ","10-Mar-2025","763.15","764.00","768.15","748.00","749.00","752.05","759.21","7,73,461","58,72,22,234.40","32,436","4,00,187","51.74"
"LICI","EQ","11-Mar-2025","752.05","745.10","761.00","742.60","755.40","754.25","753.75","12,43,675","93,74,25,405.45","44,809","6,73,261","54.13"
"LICI","EQ","12-Mar-2025","754.25","760.00","761.65","731.40","743.70","744.50","744.15","10,83,297","80,61,32,351.55","37,783","4,46,927","41.26"
"LICI","EQ","13-Mar-2025","744.50","745.00","751.90","734.60","740.50","740.15","743.17","13,11,951","97,50,07,198.25","44,979","6,76,771","51.59"
"LICI","EQ","17-Mar-2025","740.15","741.65","748.85","737.70","744.50","745.40","744.17","9,87,412","73,48,05,628.35","27,431","5,47,619","55.46"
"LICI","EQ","18-Mar-2025","745.40","748.85","759.00","747.55","757.20","757.40","754.00","15,51,963","1,17,01,72,505.95","39,838","9,25,370","59.63"
"LICI","EQ","19-Mar-2025","757.40","762.40","780.75","760.20","777.00","776.75","771.99","14,63,331","1,12,96,78,987.70","38,378","6,48,916","44.35"
"LICI","EQ","20-Mar-2025","776.75","775.00","782.55","770.00","779.00","779.50","777.62","12,27,224","95,43,13,740.90","33,766","5,16,069","42.05"
"LICI","EQ","21-Mar-2025","779.50","784.60","793.95","779.50","789.75","791.35","788.96","14,21,811","1,12,17,57,864.10","39,319","5,69,842","40.08"
"LICI","EQ","24-Mar-2025","791.35","794.80","807.95","789.00","802.00","800.55","799.67","15,21,477","1,21,66,81,318.40","40,752","6,72,587","44.21"
"LICI","EQ","25-Mar-2025","800.55","806.30","806.30","785.55","787.00","789.40","795.86","12,05,481","95,93,97,219.50","38,039","5,83,526","48.41"
"LICI","EQ","26-Mar-2025","789.40","793.05","798.35","785.05","785.90","786.85","791.90","12,05,126","95,43,36,026.40","35,861","6,32,768","52.51"
"LICI","EQ","27-Mar-2025","786.85","781.00","805.95","780.05","800.20","801.15","793.79","19,80,683","1,57,22,48,643.45","46,057","9,72,818","49.12"
"LICI","EQ","28-Mar-2025","801.15","799.00","815.45","794.50","799.00","799.40","805.69","17,86,482","1,43,93,49,696.15","51,165","7,00,955","39.24"
