"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"LT","EQ","07-Mar-2025","3,259.90","3,259.90","3,289.00","3,240.10","3,246.00","3,244.70","3,257.65","9,30,240","3,03,03,94,882.80","96,014","5,33,770","57.38"
"LT","EQ","10-Mar-2025","3,244.70","3,246.00","3,246.30","3,169.05","3,177.80","3,177.70","3,201.45","17,77,752","5,69,13,90,324.10","1,06,319","10,69,491","60.16"
"LT","EQ","11-Mar-2025","3,177.70","3,170.30","3,204.40","3,161.10","3,203.80","3,195.45","3,184.34","12,74,649","4,05,89,18,929.95","81,156","6,71,406","52.67"
"LT","EQ","12-Mar-2025","3,195.45","3,205.00","3,221.95","3,153.05","3,190.00","3,193.65","3,180.42","13,60,149","4,32,58,51,450.40","78,130","8,24,697","60.63"
"LT","EQ","13-Mar-2025","3,193.65","3,202.25","3,233.15","3,178.05","3,189.00","3,187.30","3,203.74","14,14,376","4,53,12,91,301.85","83,033","8,66,126","61.24"
"LT","EQ","17-Mar-2025","3,187.30","3,190.00","3,240.05","3,159.00","3,175.55","3,173.45","3,187.76","28,05,790","8,94,41,76,882.10","1,22,254","18,05,739","64.36"
"LT","EQ","18-Mar-2025","3,173.45","3,194.00","3,278.65","3,189.30","3,271.00","3,270.70","3,248.31","20,29,984","6,59,40,15,430.45","1,23,494","12,05,472","59.38"
"LT","EQ","19-Mar-2025","3,270.70","3,275.00","3,326.60","3,268.50","3,318.00","3,319.55","3,307.23","16,16,312","5,34,55,20,793.35","88,804","11,55,694","71.50"
"LT","EQ","20-Mar-2025","3,319.55","3,335.25","3,358.90","3,276.90","3,352.50","3,351.05","3,327.53","24,34,722","8,10,16,21,701.30","97,496","16,87,515","69.31"
"LT","EQ","21-Mar-2025","3,351.05","3,357.00","3,455.00","3,332.75","3,415.05","3,415.95","3,416.15","30,42,073","10,39,21,74,228.35","1,45,340","20,62,731","67.81"
"LT","EQ","24-Mar-2025","3,415.95","3,449.00","3,517.00","3,446.00","3,483.05","3,481.85","3,483.78","19,55,564","6,81,27,54,571.90","1,15,273","11,53,502","58.99"
"LT","EQ","25-Mar-2025","3,481.85","3,505.00","3,525.00","3,435.35","3,452.85","3,469.60","3,474.74","42,35,900","14,71,86,50,807.85","1,74,082","28,86,969","68.15"
"LT","EQ","26-Mar-2025","3,469.60","3,473.00","3,496.80","3,418.50","3,451.00","3,444.80","3,458.66","23,15,715","8,00,92,67,716.35","1,52,200","13,80,214","59.60"
"LT","EQ","27-Mar-2025","3,444.80","3,460.00","3,528.00","3,451.00","3,510.05","3,501.60","3,505.96","34,67,864","12,15,81,79,075.00","1,71,894","21,39,737","61.70"
"LT","EQ","28-Mar-2025","3,501.60","3,509.90","3,514.00","3,472.55","3,488.00","3,492.30","3,490.61","13,48,143","4,70,58,36,932.10","78,826","8,05,620","59.76"
"LT","EQ","01-Apr-2025","3,492.30","3,480.00","3,501.60","3,430.00","3,438.30","3,436.80","3,451.17","19,35,147","6,67,85,17,222.55","1,14,580","10,68,906","55.24"
"LT","EQ","02-Apr-2025","3,436.80","3,433.00","3,457.75","3,408.00","3,426.00","3,419.90","3,429.08","13,38,839","4,59,09,82,045.30","73,369","8,92,450","66.66"
"LT","EQ","03-Apr-2025","3,419.90","3,400.00","3,463.00","3,393.00","3,419.00","3,420.15","3,432.72","12,00,631","4,12,14,27,952.20","84,197","7,10,175","59.15"
"LT","EQ","04-Apr-2025","3,420.15","3,400.00","3,403.80","3,237.30","3,259.00","3,260.15","3,275.65","23,66,979","7,75,33,93,787.40","1,56,827","14,46,954","61.13"
"LT","EQ","07-Apr-2025","3,260.15","3,049.05","3,090.60","2,965.30","3,087.00","3,068.50","3,047.00","49,53,864","15,09,44,28,193.50","4,22,707","28,60,181","57.74"
"LT","EQ","08-Apr-2025","3,068.50","3,124.95","3,193.90","3,092.70","3,164.60","3,161.10","3,147.02","28,77,816","9,05,65,34,927.00","1,40,046","11,55,284","40.14"
"LT","EQ","09-Apr-2025","3,161.10","3,158.80","3,158.80","3,048.00","3,062.00","3,054.15","3,083.63","44,51,381","13,72,63,93,450.75","2,56,046","33,93,437","76.23"
"LT","EQ","11-Apr-2025","3,054.15","3,114.00","3,157.00","3,100.15","3,119.25","3,115.95","3,123.53","39,79,116","12,42,89,07,356.35","1,32,571","29,81,651","74.93"
"LT","EQ","15-Apr-2025","3,115.95","3,180.00","3,272.00","3,176.10","3,259.00","3,257.60","3,247.57","21,61,492","7,01,95,90,562.60","1,13,498","12,98,477","60.07"
"LT","EQ","16-Apr-2025","3,257.60","3,270.00","3,276.80","3,224.10","3,231.40","3,227.70","3,248.34","15,78,260","5,12,67,24,530.20","1,12,383","8,88,042","56.27"
"LT","EQ","17-Apr-2025","3,227.70","3,214.10","3,249.90","3,162.40","3,244.90","3,247.30","3,206.57","32,09,331","10,29,09,35,838.20","1,68,832","17,69,268","55.13"
"LT","EQ","21-Apr-2025","3,247.30","3,249.50","3,290.00","3,225.10","3,279.90","3,280.50","3,273.52","16,43,003","5,37,83,95,835.50","1,01,664","9,13,309","55.59"
"LT","EQ","22-Apr-2025","3,280.50","3,280.00","3,285.00","3,248.00","3,254.00","3,257.80","3,266.83","20,60,322","6,73,07,18,857.00","1,00,788","13,36,329","64.86"
"LT","EQ","23-Apr-2025","3,257.80","3,275.40","3,315.00","3,266.70","3,296.00","3,301.00","3,291.24","23,81,699","7,83,87,35,592.40","1,03,277","14,36,616","60.32"
"LT","EQ","24-Apr-2025","3,301.00","3,307.00","3,307.00","3,280.00","3,298.20","3,300.60","3,293.25","19,93,448","6,56,49,19,205.10","72,609","12,96,467","65.04"
"LT","EQ","25-Apr-2025","3,300.60","3,310.00","3,335.70","3,230.10","3,268.00","3,272.10","3,272.54","20,04,819","6,56,08,49,672.90","1,33,465","12,01,395","59.93"
"LT","EQ","28-Apr-2025","3,272.10","3,260.00","3,350.80","3,254.80","3,325.00","3,327.30","3,317.89","16,89,485","5,60,55,19,110.10","82,707","9,43,227","55.83"
