"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"LTIM","EQ","07-Mar-2025","4,823.10","4,814.05","4,814.05","4,697.35","4,705.00","4,721.95","4,740.88","3,24,150","1,53,67,56,402.75","41,248","1,63,596","50.47"
"LTIM","EQ","10-Mar-2025","4,721.95","4,732.95","4,780.00","4,662.70","4,675.00","4,670.95","4,717.49","2,53,711","1,19,68,77,884.75","25,146","1,55,225","61.18"
"LTIM","EQ","11-Mar-2025","4,670.95","4,600.00","4,678.00","4,522.00","4,663.00","4,654.45","4,615.25","2,41,860","1,11,62,44,567.10","41,579","1,11,947","46.29"
"LTIM","EQ","12-Mar-2025","4,654.45","4,621.00","4,669.10","4,466.00","4,488.00","4,485.90","4,505.15","5,82,088","2,62,23,96,300.35","65,335","3,69,215","63.43"
"LTIM","EQ","13-Mar-2025","4,485.90","4,511.00","4,578.00","4,437.45","4,464.95","4,467.05","4,477.22","4,83,273","2,16,37,19,358.55","52,957","2,65,483","54.93"
"LTIM","EQ","17-Mar-2025","4,467.05","4,428.20","4,445.00","4,239.00","4,359.35","4,359.80","4,313.66","11,22,866","4,84,36,62,757.55","1,05,056","4,06,314","36.19"
"LTIM","EQ","18-Mar-2025","4,359.80","4,367.95","4,487.90","4,355.05","4,453.10","4,445.55","4,442.31","4,78,883","2,12,73,44,369.30","57,462","2,67,945","55.95"
"LTIM","EQ","19-Mar-2025","4,445.55","4,459.00","4,459.00","4,326.00","4,370.00","4,365.45","4,359.45","5,96,998","2,60,25,85,873.25","65,392","3,40,549","57.04"
"LTIM","EQ","20-Mar-2025","4,365.45","4,433.60","4,515.00","4,385.70","4,408.15","4,421.15","4,422.11","8,67,249","3,83,50,70,020.25","70,280","4,89,146","56.40"
"LTIM","EQ","21-Mar-2025","4,421.15","4,350.00","4,532.70","4,259.80","4,529.95","4,520.25","4,481.81","7,48,890","3,35,63,85,797.05","56,778","3,68,742","49.24"
"LTIM","EQ","24-Mar-2025","4,520.25","4,559.00","4,643.40","4,504.00","4,621.50","4,620.40","4,587.05","4,65,723","2,13,62,93,518.90","47,480","2,63,688","56.62"
"LTIM","EQ","25-Mar-2025","4,620.40","4,677.05","4,677.05","4,560.35","4,607.40","4,606.40","4,599.94","6,46,427","2,97,35,27,559.65","59,206","3,57,564","55.31"
"LTIM","EQ","26-Mar-2025","4,606.40","4,625.00","4,658.95","4,581.20","4,611.25","4,619.75","4,617.99","3,59,284","1,65,91,71,105.50","26,344","2,26,117","62.94"
"LTIM","EQ","27-Mar-2025","4,619.75","4,587.05","4,679.00","4,559.55","4,640.00","4,655.90","4,634.64","3,90,826","1,81,13,39,363.50","28,021","2,50,340","64.05"
"LTIM","EQ","28-Mar-2025","4,655.90","4,540.05","4,626.40","4,475.00","4,488.85","4,491.35","4,550.29","4,47,846","2,03,78,29,127.80","48,092","1,95,758","43.71"
"LTIM","EQ","01-Apr-2025","4,491.35","4,474.60","4,483.45","4,375.00","4,410.00","4,426.60","4,427.19","2,30,709","1,02,13,93,455.95","34,314","87,548","37.95"
"LTIM","EQ","02-Apr-2025","4,426.60","4,449.75","4,508.95","4,396.60","4,480.00","4,499.90","4,451.89","2,69,265","1,19,87,38,395.20","38,030","1,32,479","49.20"
"LTIM","EQ","03-Apr-2025","4,499.90","4,391.00","4,450.00","4,303.50","4,339.00","4,341.95","4,359.80","5,05,177","2,20,24,72,052.75","57,756","2,45,634","48.62"
"LTIM","EQ","04-Apr-2025","4,341.95","4,310.00","4,346.00","4,101.00","4,155.00","4,136.25","4,173.58","6,61,108","2,75,91,86,903.30","73,724","3,58,563","54.24"
"LTIM","EQ","07-Apr-2025","4,136.25","3,900.00","4,100.00","3,802.00","4,092.00","4,057.15","3,982.25","4,33,019","1,72,43,89,889.70","62,953","1,49,269","34.47"
"LTIM","EQ","08-Apr-2025","4,057.15","4,170.45","4,237.45","4,062.80","4,173.00","4,175.85","4,159.79","3,90,791","1,62,56,08,766.35","45,023","1,69,057","43.26"
"LTIM","EQ","09-Apr-2025","4,175.85","4,114.75","4,171.60","4,024.75","4,100.65","4,107.85","4,098.52","5,64,545","2,31,37,98,329.10","46,705","2,96,504","52.52"
"LTIM","EQ","11-Apr-2025","4,107.85","4,236.35","4,253.25","4,167.05","4,230.00","4,240.80","4,220.10","4,73,127","1,99,66,43,999.60","44,111","2,53,961","53.68"
"LTIM","EQ","15-Apr-2025","4,240.80","4,326.00","4,328.00","4,240.80","4,318.00","4,317.60","4,296.65","3,44,488","1,48,01,43,447.60","41,834","1,93,982","56.31"
"LTIM","EQ","16-Apr-2025","4,317.60","4,308.10","4,329.50","4,255.00","4,280.00","4,276.30","4,285.42","2,54,885","1,09,22,88,235.40","33,423","1,44,659","56.75"
"LTIM","EQ","17-Apr-2025","4,276.30","4,150.00","4,231.50","4,040.10","4,214.90","4,191.90","4,146.81","7,83,069","3,24,72,40,778.60","84,251","3,07,508","39.27"
"LTIM","EQ","21-Apr-2025","4,191.90","4,210.00","4,350.00","4,200.00","4,295.00","4,297.40","4,290.45","5,56,193","2,38,63,15,742.40","76,063","2,99,258","53.80"
"LTIM","EQ","22-Apr-2025","4,297.40","4,300.00","4,360.00","4,248.10","4,315.00","4,320.40","4,316.47","5,51,413","2,38,01,60,262.70","63,930","2,88,079","52.24"
"LTIM","EQ","23-Apr-2025","4,320.40","4,400.00","4,560.00","4,399.90","4,537.90","4,536.70","4,504.02","11,56,118","5,20,71,76,575.20","1,14,343","4,28,776","37.09"
"LTIM","EQ","24-Apr-2025","4,536.70","4,585.00","4,589.80","4,446.30","4,525.00","4,533.80","4,513.98","10,19,766","4,60,32,02,436.90","91,779","3,28,824","32.25"
"LTIM","EQ","25-Apr-2025","4,533.80","4,525.10","4,599.80","4,446.30","4,480.00","4,498.30","4,521.39","5,89,535","2,66,55,15,213.30","50,895","2,08,916","35.44"
"LTIM","EQ","28-Apr-2025","4,498.30","4,510.00","4,529.90","4,412.20","4,485.90","4,486.70","4,481.43","2,46,396","1,10,42,07,122.90","28,611","68,854","27.94"
"LTIM","EQ","29-Apr-2025","4,486.70","4,495.00","4,645.00","4,495.00","4,590.00","4,598.10","4,586.36","4,46,566","2,04,81,12,381.90","45,432","1,79,368","40.17"
"LTIM","EQ","30-Apr-2025","4,598.10","4,598.00","4,644.40","4,557.10","4,571.60","4,586.50","4,601.13","2,99,487","1,37,79,77,461.50","27,619","1,52,635","50.97"
"LTIM","EQ","02-May-2025","4,586.50","4,600.00","4,715.00","4,537.10","4,575.50","4,579.90","4,619.20","4,88,331","2,25,56,99,988.10","53,718","1,97,015","40.34"
"LTIM","EQ","05-May-2025","4,579.90","4,599.90","4,674.00","4,590.10","4,628.00","4,621.20","4,624.41","2,69,019","1,24,40,54,648.50","34,120","1,29,984","48.32"
"LTIM","EQ","06-May-2025","4,621.20","4,607.00","4,699.00","4,521.00","4,530.00","4,536.60","4,585.57","3,86,507","1,77,23,54,768.40","34,549","1,43,337","37.09"
"LTIM","EQ","07-May-2025","4,536.60","4,500.00","4,591.40","4,478.80","4,551.00","4,559.10","4,553.63","2,03,025","92,44,99,958.80","22,409","1,12,738","55.53"
"LTIM","EQ","08-May-2025","4,559.10","4,565.00","4,672.80","4,548.50","4,586.00","4,600.20","4,609.76","5,51,222","2,54,09,99,000.50","43,269","3,43,929","62.39"
"LTIM","EQ","09-May-2025","4,600.20","4,511.10","4,660.40","4,500.30","4,615.00","4,621.60","4,609.48","2,23,407","1,02,97,89,829.30","27,980","86,018","38.50"
"LTIM","EQ","12-May-2025","4,621.60","4,750.00","4,977.00","4,702.10","4,908.40","4,940.40","4,883.76","7,19,620","3,51,44,53,234.80","50,606","2,63,606","36.63"
