"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"LUPIN","EQ","07-Mar-2025","2,018.50","2,020.00","2,047.65","2,004.00","2,029.00","2,030.00","2,027.61","9,37,498","1,90,08,77,492.60","67,248","6,08,180","64.87"
"LUPIN","EQ","10-Mar-2025","2,030.00","2,049.80","2,080.10","2,002.05","2,003.00","2,010.40","2,031.41","11,22,775","2,28,08,20,219.50","79,413","4,06,771","36.23"
"LUPIN","EQ","11-Mar-2025","2,010.40","2,007.80","2,007.90","1,967.00","1,975.70","1,976.10","1,981.04","8,05,222","1,59,51,76,267.70","59,550","4,70,755","58.46"
"LUPIN","EQ","12-Mar-2025","1,976.10","1,976.10","1,986.50","1,937.40","1,966.70","1,966.70","1,957.27","5,76,820","1,12,89,93,804.45","31,701","3,11,908","54.07"
"LUPIN","EQ","13-Mar-2025","1,966.70","1,978.00","1,983.25","1,950.55","1,960.10","1,968.45","1,970.98","3,74,359","73,78,52,590.35","40,384","1,83,411","48.99"
"LUPIN","EQ","17-Mar-2025","1,968.45","1,965.50","2,011.00","1,961.00","1,988.10","1,991.85","1,994.74","5,50,930","1,09,89,60,625.45","40,293","3,11,739","56.58"
"LUPIN","EQ","18-Mar-2025","1,991.85","1,993.00","2,041.00","1,989.50","2,036.05","2,034.65","2,019.56","5,44,796","1,10,02,49,792.70","42,940","3,23,775","59.43"
"LUPIN","EQ","19-Mar-2025","2,034.65","2,041.90","2,067.85","2,024.25","2,064.90","2,060.95","2,052.26","3,37,699","69,30,47,224.95","30,292","1,78,483","52.85"
"LUPIN","EQ","20-Mar-2025","2,060.95","2,075.00","2,100.00","2,047.60","2,085.85","2,085.70","2,081.48","5,08,883","1,05,92,32,002.35","39,860","2,78,353","54.70"
"LUPIN","EQ","21-Mar-2025","2,085.70","2,089.00","2,124.80","2,080.40","2,113.40","2,114.70","2,109.82","9,99,055","2,10,78,27,278.00","66,024","5,71,558","57.21"
"LUPIN","EQ","24-Mar-2025","2,114.70","2,129.00","2,135.00","2,098.45","2,119.05","2,119.95","2,115.47","3,92,261","82,98,17,403.65","30,193","1,95,510","49.84"
"LUPIN","EQ","25-Mar-2025","2,119.95","2,120.15","2,125.00","2,053.85","2,073.00","2,068.75","2,075.70","7,02,121","1,45,73,95,609.35","43,902","3,64,293","51.88"
"LUPIN","EQ","26-Mar-2025","2,068.75","2,079.00","2,098.00","2,053.05","2,054.00","2,058.80","2,072.02","6,81,836","1,41,27,77,818.40","59,525","3,83,838","56.29"
"LUPIN","EQ","27-Mar-2025","2,058.80","2,038.75","2,054.00","1,993.60","2,016.35","2,018.80","2,015.89","15,46,632","3,11,78,44,427.80","84,255","9,87,727","63.86"
"LUPIN","EQ","28-Mar-2025","2,018.80","2,044.85","2,044.85","1,993.75","2,024.00","2,027.95","2,015.56","8,28,442","1,66,97,70,729.00","61,452","4,46,402","53.88"
"LUPIN","EQ","01-Apr-2025","2,027.95","2,017.65","2,021.95","1,944.05","1,960.00","1,955.40","1,971.47","11,11,639","2,19,15,60,527.90","67,273","6,46,586","58.17"
"LUPIN","EQ","02-Apr-2025","1,955.40","1,959.25","2,019.50","1,938.55","2,012.30","2,009.70","1,994.75","14,64,336","2,92,09,79,088.30","65,316","9,60,397","65.59"
"LUPIN","EQ","03-Apr-2025","2,009.70","2,100.00","2,150.00","2,070.05","2,094.00","2,095.70","2,106.44","33,29,584","7,01,35,59,330.05","1,74,918","13,23,490","39.75"
"LUPIN","EQ","04-Apr-2025","2,095.70","2,089.95","2,089.95","1,916.00","1,969.95","1,971.05","1,970.43","30,86,633","6,08,20,06,988.35","2,73,364","13,51,538","43.79"
"LUPIN","EQ","07-Apr-2025","1,971.05","1,795.20","1,956.95","1,795.20","1,925.70","1,923.05","1,918.65","19,89,646","3,81,74,25,147.30","1,13,732","11,09,308","55.75"
"LUPIN","EQ","08-Apr-2025","1,923.05","1,931.10","1,991.40","1,925.35","1,985.00","1,982.65","1,966.12","7,96,915","1,56,68,26,920.40","56,538","4,21,652","52.91"
"LUPIN","EQ","09-Apr-2025","1,982.65","1,935.00","1,939.25","1,908.00","1,919.60","1,919.70","1,922.87","11,12,795","2,13,97,62,632.40","59,306","5,82,526","52.35"
