"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARICO","EQ","07-Mar-2025","607.70","607.70","613.35","604.95","610.95","609.65","609.88","13,27,590","80,96,66,240.85","43,423","5,74,546","43.28"
"MARICO","EQ","10-Mar-2025","609.65","609.95","615.00","605.25","605.85","607.30","609.13","11,88,893","72,41,87,359.70","41,867","7,45,502","62.71"
"MARICO","EQ","11-Mar-2025","607.30","605.85","606.40","592.70","605.00","602.90","599.95","22,27,722","1,33,65,20,990.40","35,874","16,38,102","73.53"
"MARICO","EQ","12-Mar-2025","602.90","603.10","607.60","597.95","602.40","600.35","600.32","36,76,916","2,20,73,38,952.50","47,413","27,56,180","74.96"
"MARICO","EQ","13-Mar-2025","600.35","603.45","613.00","598.75","606.10","606.30","606.52","6,89,569","41,82,37,639.65","27,657","3,79,899","55.09"
"MARICO","EQ","17-Mar-2025","606.30","601.00","609.60","601.00","607.90","607.55","606.15","8,20,003","49,70,43,428.10","32,182","5,73,943","69.99"
"MARICO","EQ","18-Mar-2025","607.55","611.90","622.20","610.00","621.00","621.35","618.97","6,05,785","37,49,61,775.10","17,776","3,57,338","58.99"
"MARICO","EQ","19-Mar-2025","621.35","618.45","622.75","615.25","619.95","619.10","619.26","16,40,160","1,01,56,85,158.90","39,112","11,40,280","69.52"
"MARICO","EQ","20-Mar-2025","619.10","623.60","633.85","615.50","632.60","632.35","629.20","10,00,000","62,91,98,200.60","35,117","4,79,493","47.95"
"MARICO","EQ","21-Mar-2025","632.35","634.50","634.55","627.50","632.50","630.80","630.63","15,49,109","97,69,15,796.20","45,261","10,45,905","67.52"
"MARICO","EQ","24-Mar-2025","630.80","635.20","636.00","629.85","635.95","632.90","633.51","6,97,650","44,19,68,804.05","18,178","4,62,162","66.25"
"MARICO","EQ","25-Mar-2025","632.90","634.60","638.95","622.20","622.95","624.80","628.61","14,19,249","89,21,59,642.60","36,076","8,40,336","59.21"
"MARICO","EQ","26-Mar-2025","624.80","629.00","642.90","627.10","640.00","639.75","637.30","19,01,786","1,21,20,09,994.75","72,225","9,24,172","48.59"
"MARICO","EQ","27-Mar-2025","639.75","642.00","651.50","635.70","651.00","649.05","646.05","14,97,543","96,74,88,875.40","59,126","6,75,117","45.08"
"MARICO","EQ","28-Mar-2025","649.05","649.05","661.00","649.00","652.95","651.65","654.23","10,75,086","70,33,49,252.00","42,789","6,01,012","55.90"
"MARICO","EQ","01-Apr-2025","651.65","641.00","660.50","641.00","650.00","647.55","651.93","12,03,066","78,43,17,612.50","42,540","7,09,606","58.98"
"MARICO","EQ","02-Apr-2025","647.55","650.50","659.90","643.80","657.00","656.45","653.67","22,02,713","1,43,98,37,194.40","52,780","12,33,137","55.98"
"MARICO","EQ","03-Apr-2025","656.45","655.00","662.50","645.10","660.00","660.95","657.59","22,10,443","1,45,35,60,191.05","38,902","14,68,316","66.43"
"MARICO","EQ","04-Apr-2025","660.95","658.90","682.00","653.95","680.85","677.30","672.09","40,41,611","2,71,63,24,103.25","89,722","22,52,181","55.72"
"MARICO","EQ","07-Apr-2025","677.30","650.00","678.00","647.55","662.00","662.65","664.47","25,40,552","1,68,81,17,184.25","83,458","12,81,939","50.46"
"MARICO","EQ","08-Apr-2025","662.65","668.00","680.00","660.95","679.00","678.10","673.37","33,07,994","2,22,74,97,749.20","84,919","21,71,288","65.64"
"MARICO","EQ","09-Apr-2025","678.10","677.05","698.40","675.50","692.25","693.45","691.53","36,95,669","2,55,56,49,168.95","98,573","21,70,861","58.74"
