"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"MPHASIS","EQ","07-Mar-2025","2,343.00","2,320.10","2,329.95","2,275.00","2,298.80","2,302.25","2,300.82","3,14,701","72,40,69,794.95","39,391","1,00,656","31.98"
"MPHASIS","EQ","10-Mar-2025","2,302.25","2,276.15","2,317.50","2,248.50","2,263.65","2,265.00","2,282.51","3,52,043","80,35,41,009.70","41,853","1,65,747","47.08"
"MPHASIS","EQ","11-Mar-2025","2,265.00","2,232.30","2,284.15","2,200.00","2,270.25","2,277.85","2,248.85","2,81,705","63,35,12,156.10","36,581","99,538","35.33"
"MPHASIS","EQ","12-Mar-2025","2,277.85","2,261.00","2,279.40","2,170.25","2,225.00","2,225.05","2,208.12","4,36,694","96,42,74,343.65","49,713","2,11,901","48.52"
"MPHASIS","EQ","13-Mar-2025","2,225.05","2,226.00","2,292.45","2,199.85","2,210.00","2,205.15","2,228.62","8,69,498","1,93,77,83,115.95","77,813","4,67,666","53.79"
"MPHASIS","EQ","17-Mar-2025","2,205.15","2,207.10","2,236.20","2,181.55","2,201.85","2,200.20","2,200.56","4,49,847","98,99,15,954.60","50,624","2,69,351","59.88"
"MPHASIS","EQ","18-Mar-2025","2,200.20","2,201.10","2,311.80","2,201.10","2,288.10","2,293.40","2,286.83","10,55,370","2,41,34,55,852.80","95,536","6,00,506","56.90"
"MPHASIS","EQ","19-Mar-2025","2,293.40","2,300.00","2,305.00","2,236.50","2,294.35","2,285.85","2,286.86","5,50,648","1,25,92,52,704.20","44,408","2,92,550","53.13"
"MPHASIS","EQ","20-Mar-2025","2,285.85","2,300.25","2,369.60","2,294.50","2,303.80","2,305.85","2,324.84","6,37,186","1,48,13,54,268.00","49,087","2,32,974","36.56"
"MPHASIS","EQ","21-Mar-2025","2,305.85","2,280.00","2,438.00","2,240.40","2,436.15","2,429.95","2,399.30","12,32,731","2,95,76,89,729.35","67,555","5,87,723","47.68"
"MPHASIS","EQ","24-Mar-2025","2,429.95","2,436.25","2,508.00","2,405.40","2,481.00","2,482.95","2,467.13","4,33,340","1,06,91,04,575.70","49,798","2,27,864","52.58"
"MPHASIS","EQ","25-Mar-2025","2,482.95","2,513.30","2,559.80","2,475.05","2,524.85","2,534.40","2,526.48","9,66,857","2,44,27,48,185.55","69,363","4,76,417","49.27"
"MPHASIS","EQ","26-Mar-2025","2,534.40","2,530.00","2,572.30","2,505.10","2,512.15","2,515.15","2,537.60","7,81,651","1,98,35,13,972.80","56,557","4,99,858","63.95"
"MPHASIS","EQ","27-Mar-2025","2,515.15","2,497.00","2,539.50","2,488.00","2,500.00","2,528.20","2,524.07","4,58,236","1,15,66,21,374.70","43,683","2,57,562","56.21"
"MPHASIS","EQ","28-Mar-2025","2,528.20","2,518.00","2,559.00","2,477.10","2,494.40","2,500.20","2,511.60","3,90,216","98,00,67,959.70","35,890","1,84,775","47.35"
