"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"NAUKRI","EQ","07-Mar-2025","6,906.35","6,900.00","6,979.00","6,764.00","6,821.50","6,833.85","6,856.56","1,84,318","1,26,37,87,848.05","37,877","85,271","46.26"
"NAUKRI","EQ","10-Mar-2025","6,833.85","6,833.85","6,908.50","6,570.00","6,584.50","6,588.10","6,683.27","2,75,667","1,84,23,55,915.70","48,246","1,36,938","49.68"
"NAUKRI","EQ","11-Mar-2025","6,588.10","6,510.00","6,746.85","6,422.55","6,710.00","6,697.10","6,593.78","4,14,543","2,73,34,05,719.75","78,400","2,48,803","60.02"
"NAUKRI","EQ","12-Mar-2025","6,697.10","6,710.00","6,770.30","6,349.55","6,500.25","6,507.20","6,495.41","4,70,145","3,05,37,84,047.05","84,304","2,63,077","55.96"
"NAUKRI","EQ","13-Mar-2025","6,507.20","6,527.00","6,599.95","6,375.00","6,382.65","6,382.55","6,464.50","2,88,873","1,86,74,20,587.55","47,053","1,75,602","60.79"
"NAUKRI","EQ","17-Mar-2025","6,382.55","6,421.05","6,525.00","6,352.85","6,468.00","6,479.65","6,443.27","1,99,526","1,28,56,00,429.05","51,760","1,02,054","51.15"
"NAUKRI","EQ","18-Mar-2025","6,479.65","6,501.40","6,701.30","6,488.30","6,690.00","6,686.05","6,583.61","2,99,363","1,97,08,90,612.70","62,768","1,51,341","50.55"
"NAUKRI","EQ","19-Mar-2025","6,686.05","6,695.55","6,800.95","6,538.20","6,740.00","6,749.40","6,709.87","3,88,829","2,60,89,91,583.00","83,750","2,14,607","55.19"
"NAUKRI","EQ","20-Mar-2025","6,749.40","6,820.00","6,890.15","6,702.80","6,836.15","6,850.30","6,804.86","2,58,940","1,76,20,49,507.85","55,759","1,39,209","53.76"
"NAUKRI","EQ","21-Mar-2025","6,850.30","6,869.00","6,936.45","6,729.40","6,912.00","6,916.00","6,887.46","3,76,830","2,59,54,03,368.70","55,174","2,22,851","59.14"
"NAUKRI","EQ","24-Mar-2025","6,916.00","6,997.00","7,160.00","6,930.35","7,090.10","7,100.85","7,073.73","3,12,348","2,20,94,64,578.15","56,374","1,89,907","60.80"
"NAUKRI","EQ","25-Mar-2025","7,100.85","7,180.00","7,429.90","7,038.15","7,100.00","7,145.70","7,224.55","6,32,080","4,56,64,94,037.15","82,800","2,36,740","37.45"
"NAUKRI","EQ","26-Mar-2025","7,145.70","7,181.10","7,213.05","7,000.00","7,000.00","7,044.35","7,104.27","2,42,807","1,72,49,65,496.35","34,227","1,38,711","57.13"
"NAUKRI","EQ","27-Mar-2025","7,044.35","7,000.00","7,249.95","6,956.05","7,244.00","7,214.60","7,113.08","4,19,626","2,98,48,31,407.60","47,974","2,54,626","60.68"
"NAUKRI","EQ","28-Mar-2025","7,214.60","7,220.00","7,313.75","7,112.00","7,148.50","7,181.40","7,202.53","4,77,210","3,43,71,17,394.00","55,574","2,90,445","60.86"
"NAUKRI","EQ","01-Apr-2025","7,181.40","7,181.40","7,181.40","6,778.50","6,787.60","6,804.90","6,874.88","2,61,413","1,79,71,82,054.45","56,254","1,12,061","42.87"
"NAUKRI","EQ","02-Apr-2025","6,804.90","6,775.00","6,969.85","6,756.55","6,961.85","6,928.65","6,876.88","3,23,449","2,22,43,18,827.05","46,933","1,54,967","47.91"
"NAUKRI","EQ","03-Apr-2025","6,928.65","6,880.00","6,891.95","6,619.90","6,730.00","6,734.40","6,745.78","4,40,990","2,97,48,22,143.95","60,716","2,05,743","46.65"
"NAUKRI","EQ","04-Apr-2025","6,734.40","6,716.00","6,716.00","6,325.10","6,393.30","6,396.60","6,436.14","3,43,564","2,21,12,26,489.55","43,371","1,83,598","53.44"
"NAUKRI","EQ","07-Apr-2025","6,396.60","5,785.00","6,427.95","5,785.00","6,372.00","6,374.80","6,237.25","3,18,856","1,98,87,84,121.50","55,600","1,25,398","39.33"
"NAUKRI","EQ","08-Apr-2025","6,374.80","6,459.95","6,710.00","6,338.00","6,623.80","6,642.65","6,559.58","5,29,905","3,47,59,53,841.35","66,013","1,99,848","37.71"
"NAUKRI","EQ","09-Apr-2025","6,642.65","6,575.25","6,575.25","6,316.15","6,409.00","6,406.75","6,397.59","4,20,164","2,68,80,36,165.90","57,913","1,94,432","46.28"
"NAUKRI","EQ","11-Apr-2025","6,406.75","6,650.00","6,650.00","6,453.80","6,550.00","6,545.30","6,521.10","3,73,594","2,43,62,42,532.15","43,068","2,21,192","59.21"
"NAUKRI","EQ","15-Apr-2025","6,545.30","6,776.50","6,812.50","6,620.50","6,732.00","6,735.50","6,734.46","2,52,887","1,70,30,58,535.50","43,954","1,38,922","54.93"
"NAUKRI","EQ","16-Apr-2025","6,735.50","6,749.00","6,790.50","6,606.50","6,770.00","6,776.00","6,713.06","1,72,323","1,15,68,13,881.50","29,108","73,964","42.92"
"NAUKRI","EQ","17-Apr-2025","6,776.00","6,744.50","6,764.00","6,561.50","6,737.00","6,734.50","6,691.14","2,55,078","1,70,67,62,495.00","39,547","1,03,141","40.44"
"NAUKRI","EQ","21-Apr-2025","6,734.50","6,790.00","7,032.00","6,774.50","6,938.00","6,939.00","6,938.44","2,74,572","1,90,51,01,589.00","48,098","93,319","33.99"
"NAUKRI","EQ","22-Apr-2025","6,939.00","6,939.00","7,030.00","6,892.00","6,946.50","6,953.50","6,970.34","1,82,119","1,26,94,31,996.00","35,369","85,119","46.74"
"NAUKRI","EQ","23-Apr-2025","6,953.50","7,010.00","7,125.00","6,951.00","7,069.00","7,085.50","7,066.85","3,31,725","2,34,42,51,963.00","57,393","1,61,188","48.59"
"NAUKRI","EQ","24-Apr-2025","7,085.50","7,080.00","7,231.50","7,031.50","7,170.00","7,154.00","7,130.95","3,29,525","2,34,98,24,673.50","44,401","1,60,960","48.85"
"NAUKRI","EQ","25-Apr-2025","7,154.00","7,215.00","7,250.00","6,980.50","7,034.00","7,038.50","7,069.98","2,12,327","1,50,11,47,376.00","36,815","90,489","42.62"
"NAUKRI","EQ","28-Apr-2025","7,038.50","7,005.00","7,093.50","6,926.50","6,998.00","6,977.50","6,971.90","2,26,835","1,58,14,70,279.50","31,900","1,39,246","61.39"
"NAUKRI","EQ","29-Apr-2025","6,977.50","6,998.00","7,092.00","6,914.00","7,045.00","7,059.00","7,027.25","1,18,647","83,37,62,209.50","21,883","48,813","41.14"
"NAUKRI","EQ","30-Apr-2025","7,059.00","7,059.00","7,155.00","6,965.00","7,062.00","7,069.50","7,085.74","2,70,729","1,91,83,14,045.00","34,984","1,59,103","58.77"
"NAUKRI","EQ","02-May-2025","7,069.50","7,069.00","7,215.00","7,037.00","7,100.00","7,141.50","7,131.88","1,63,113","1,16,33,02,893.50","30,987","81,358","49.88"
"NAUKRI","EQ","05-May-2025","7,141.50","7,141.50","7,213.00","7,114.00","7,190.00","7,170.00","7,168.60","78,868","56,53,72,900.00","17,262","40,324","51.13"
"NAUKRI","EQ","06-May-2025","7,170.00","7,204.00","7,268.00","6,954.50","6,987.00","6,984.50","7,051.76","86,355","60,89,54,686.00","22,473","31,927","36.97"
"NAUKRI","EQ","07-May-2025","6,984.50","1,387.50","1,400.50","1,368.50","1,387.00","1,385.00","1,383.03","5,23,664","72,42,43,154.50","47,356","1,92,310","36.72"
"NAUKRI","EQ","08-May-2025","1,385.00","1,384.50","1,400.00","1,341.50","1,349.00","1,355.50","1,373.38","3,09,901","42,56,12,247.50","26,392","98,116","31.66"
"NAUKRI","EQ","09-May-2025","1,355.50","1,319.00","1,400.00","1,319.00","1,398.50","1,375.00","1,368.29","6,61,030","90,44,83,390.00","42,118","3,07,338","46.49"
"NAUKRI","EQ","12-May-2025","1,375.00","1,404.50","1,502.50","1,392.00","1,467.00","1,476.00","1,468.08","13,46,700","1,97,70,65,917.50","55,827","4,96,884","36.90"
"NAUKRI","EQ","13-May-2025","1,476.00","1,480.00","1,490.50","1,450.50","1,464.50","1,464.50","1,469.91","8,69,690","1,27,83,69,705.50","62,630","4,68,408","53.86"
"NAUKRI","EQ","14-May-2025","1,464.50","1,471.00","1,475.00","1,427.50","1,461.00","1,454.00","1,447.40","6,31,213","91,36,16,003.50","37,575","3,57,150","56.58"
"NAUKRI","EQ","15-May-2025","1,454.00","1,461.00","1,510.00","1,447.00","1,506.00","1,504.00","1,484.77","9,45,324","1,40,35,87,871.50","75,433","5,70,404","60.34"
"NAUKRI","EQ","16-May-2025","1,504.00","1,512.00","1,525.00","1,497.50","1,506.00","1,509.50","1,510.31","6,95,066","1,04,97,65,232.50","44,613","3,74,805","53.92"
"NAUKRI","EQ","19-May-2025","1,509.50","1,509.50","1,515.00","1,453.00","1,469.50","1,467.00","1,472.16","8,11,543","1,19,47,22,211.00","53,506","3,43,162","42.29"
"NAUKRI","EQ","20-May-2025","1,467.00","1,475.00","1,490.00","1,432.50","1,440.50","1,438.50","1,455.34","7,83,253","1,13,99,02,537.50","55,087","4,70,317","60.05"
"NAUKRI","EQ","21-May-2025","1,438.50","1,444.00","1,479.00","1,440.50","1,476.00","1,475.50","1,461.39","6,72,018","98,20,79,736.50","38,904","3,84,986","57.29"
"NAUKRI","EQ","22-May-2025","1,475.50","1,470.00","1,478.50","1,450.00","1,458.00","1,461.00","1,461.99","5,93,809","86,81,44,510.50","36,045","3,70,727","62.43"
