"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"NESTLEIND","EQ","07-Mar-2025","2,201.20","2,201.00","2,246.00","2,191.25","2,221.70","2,238.45","2,230.89","5,25,606","1,17,25,67,976.05","46,839","2,65,453","50.50"
"NESTLEIND","EQ","10-Mar-2025","2,238.45","2,239.20","2,274.00","2,155.10","2,247.00","2,248.40","2,255.33","5,06,580","1,14,25,05,417.20","43,772","2,24,426","44.30"
"NESTLEIND","EQ","11-Mar-2025","2,248.40","2,240.80","2,272.45","2,233.75","2,250.25","2,251.40","2,255.86","4,78,555","1,07,95,52,884.85","54,055","2,19,811","45.93"
"NESTLEIND","EQ","12-Mar-2025","2,251.40","2,249.00","2,254.10","2,191.65","2,197.00","2,195.50","2,205.53","3,58,589","79,08,79,521.45","39,347","1,85,808","51.82"
"NESTLEIND","EQ","13-Mar-2025","2,195.50","2,202.10","2,211.75","2,184.10","2,189.25","2,191.95","2,192.66","2,92,170","64,06,30,655.15","36,797","1,55,604","53.26"
"NESTLEIND","EQ","17-Mar-2025","2,191.95","2,175.55","2,203.35","2,156.00","2,171.00","2,174.35","2,171.29","4,10,005","89,02,40,151.10","39,557","1,79,056","43.67"
"NESTLEIND","EQ","18-Mar-2025","2,174.35","2,178.00","2,206.10","2,170.00","2,200.00","2,202.05","2,195.79","4,23,776","93,05,22,296.80","44,910","2,07,382","48.94"
"NESTLEIND","EQ","19-Mar-2025","2,202.05","2,206.50","2,213.40","2,180.15","2,185.00","2,184.00","2,188.55","4,22,543","92,47,56,270.10","46,452","2,51,647","59.56"
"NESTLEIND","EQ","20-Mar-2025","2,184.00","2,204.00","2,228.75","2,181.15","2,224.35","2,221.55","2,211.24","4,76,874","1,05,44,81,716.25","45,081","2,69,170","56.44"
"NESTLEIND","EQ","21-Mar-2025","2,221.55","2,240.90","2,275.00","2,231.95","2,266.30","2,268.85","2,262.52","7,92,637","1,79,33,55,514.95","61,416","3,99,130","50.35"
"NESTLEIND","EQ","24-Mar-2025","2,268.85","2,273.10","2,288.60","2,260.05","2,263.30","2,263.55","2,271.90","4,30,951","97,90,77,649.40","42,305","2,48,849","57.74"
"NESTLEIND","EQ","25-Mar-2025","2,263.55","2,260.00","2,280.00","2,230.20","2,250.00","2,254.85","2,254.03","7,42,142","1,67,28,10,415.50","78,727","3,61,881","48.76"
"NESTLEIND","EQ","26-Mar-2025","2,254.85","2,254.90","2,269.85","2,240.10","2,240.10","2,243.45","2,253.40","5,33,469","1,20,21,20,571.85","55,751","2,99,044","56.06"
"NESTLEIND","EQ","27-Mar-2025","2,243.45","2,240.20","2,268.00","2,225.25","2,245.00","2,242.05","2,248.95","8,65,586","1,94,66,62,512.00","70,769","5,06,211","58.48"
"NESTLEIND","EQ","28-Mar-2025","2,242.05","2,243.05","2,287.95","2,243.05","2,247.00","2,250.75","2,261.31","7,16,151","1,61,94,42,686.15","63,123","3,61,967","50.54"
"NESTLEIND","EQ","01-Apr-2025","2,250.75","2,261.90","2,287.85","2,218.10","2,234.90","2,234.00","2,253.49","10,20,055","2,29,86,84,650.70","63,853","5,48,759","53.80"
"NESTLEIND","EQ","02-Apr-2025","2,234.00","2,230.00","2,230.00","2,148.00","2,206.70","2,210.70","2,194.21","13,00,852","2,85,43,47,632.85","74,373","7,85,427","60.38"
"NESTLEIND","EQ","03-Apr-2025","2,210.70","2,198.05","2,249.05","2,195.00","2,240.00","2,245.65","2,227.92","3,17,858","70,81,62,999.70","32,277","1,76,151","55.42"
"NESTLEIND","EQ","04-Apr-2025","2,245.65","2,234.00","2,282.80","2,217.25","2,258.55","2,262.15","2,258.19","5,91,735","1,33,62,52,649.85","50,526","2,52,139","42.61"
"NESTLEIND","EQ","07-Apr-2025","2,262.15","2,160.00","2,257.35","2,160.00","2,255.00","2,249.00","2,220.51","7,37,285","1,63,71,45,379.70","91,307","3,41,400","46.31"
"NESTLEIND","EQ","08-Apr-2025","2,249.00","2,255.00","2,282.95","2,231.25","2,280.00","2,275.40","2,265.33","8,73,508","1,97,87,84,767.85","70,632","4,39,156","50.27"
"NESTLEIND","EQ","09-Apr-2025","2,275.40","2,283.20","2,362.60","2,272.20","2,350.00","2,344.85","2,335.86","18,53,374","4,32,92,24,260.40","1,34,034","8,60,198","46.41"
"NESTLEIND","EQ","11-Apr-2025","2,344.85","2,345.70","2,372.00","2,322.05","2,355.00","2,361.40","2,348.99","11,18,317","2,62,69,16,319.40","67,781","7,10,170","63.50"
"NESTLEIND","EQ","15-Apr-2025","2,361.40","2,381.40","2,381.40","2,345.60","2,367.00","2,367.90","2,363.19","7,80,874","1,84,53,50,333.40","53,928","5,02,651","64.37"
"NESTLEIND","EQ","16-Apr-2025","2,367.90","2,347.00","2,390.10","2,347.00","2,382.00","2,383.30","2,375.76","6,77,212","1,60,88,93,500.80","54,766","4,65,072","68.67"
"NESTLEIND","EQ","17-Apr-2025","2,383.30","2,372.00","2,423.20","2,358.60","2,415.60","2,416.60","2,405.24","9,07,921","2,18,37,67,126.70","71,408","5,58,592","61.52"
"NESTLEIND","EQ","21-Apr-2025","2,416.60","2,401.00","2,421.00","2,390.50","2,404.80","2,399.40","2,405.30","4,76,565","1,14,62,81,561.50","56,685","2,88,378","60.51"
"NESTLEIND","EQ","22-Apr-2025","2,399.40","2,405.00","2,420.00","2,390.00","2,409.40","2,407.30","2,406.70","4,87,954","1,17,43,57,298.90","54,290","2,42,687","49.74"
"NESTLEIND","EQ","23-Apr-2025","2,407.30","2,419.30","2,441.90","2,400.00","2,430.00","2,433.40","2,426.51","5,82,556","1,41,35,76,992.50","54,556","3,21,221","55.14"
"NESTLEIND","EQ","24-Apr-2025","2,433.40","2,435.00","2,515.00","2,379.00","2,427.00","2,433.20","2,437.82","23,37,238","5,69,77,58,074.90","1,79,605","6,43,399","27.53"
"NESTLEIND","EQ","25-Apr-2025","2,433.20","2,426.90","2,435.20","2,387.30","2,410.00","2,413.50","2,407.23","11,28,284","2,71,60,44,691.40","78,643","5,89,979","52.29"
"NESTLEIND","EQ","28-Apr-2025","2,413.50","2,400.00","2,418.40","2,386.00","2,402.00","2,406.00","2,401.70","9,80,526","2,35,49,34,175.70","53,488","6,50,178","66.31"
"NESTLEIND","EQ","29-Apr-2025","2,406.00","2,406.00","2,406.00","2,359.20","2,384.90","2,387.50","2,383.31","9,76,060","2,32,62,49,069.30","78,626","5,52,011","56.56"
"NESTLEIND","EQ","30-Apr-2025","2,387.50","2,375.00","2,406.40","2,364.30","2,380.00","2,388.20","2,390.97","10,20,431","2,43,98,22,318.00","54,051","7,18,267","70.39"
"NESTLEIND","EQ","02-May-2025","2,388.20","2,375.00","2,384.80","2,327.00","2,337.70","2,337.70","2,344.17","8,59,177","2,01,40,57,327.40","72,110","5,30,631","61.76"
"NESTLEIND","EQ","05-May-2025","2,337.70","2,348.90","2,352.00","2,323.70","2,333.50","2,328.20","2,339.21","9,13,797","2,13,75,67,618.40","63,533","5,85,482","64.07"
"NESTLEIND","EQ","06-May-2025","2,328.20","2,337.00","2,374.20","2,330.00","2,356.00","2,356.50","2,358.33","8,71,013","2,05,41,39,154.00","50,622","5,84,500","67.11"
"NESTLEIND","EQ","07-May-2025","2,356.50","2,331.00","2,356.00","2,327.30","2,330.70","2,338.40","2,336.78","6,76,652","1,58,11,86,834.30","51,492","4,65,442","68.79"
"NESTLEIND","EQ","08-May-2025","2,338.40","2,328.00","2,350.10","2,315.10","2,330.00","2,340.70","2,336.61","13,46,546","3,14,63,46,201.10","78,315","8,63,094","64.10"
"NESTLEIND","EQ","09-May-2025","2,340.70","2,302.00","2,349.00","2,291.70","2,321.00","2,325.40","2,315.05","9,08,229","2,10,25,94,904.60","49,244","5,67,568","62.49"
"NESTLEIND","EQ","12-May-2025","2,325.40","2,359.80","2,389.00","2,346.00","2,388.50","2,383.80","2,367.18","4,00,750","94,86,47,022.10","41,555","2,08,506","52.03"
"NESTLEIND","EQ","13-May-2025","2,383.80","2,380.00","2,389.80","2,342.00","2,368.00","2,370.20","2,365.83","11,66,776","2,76,03,94,119.00","79,405","7,43,219","63.70"
"NESTLEIND","EQ","14-May-2025","2,370.20","2,365.00","2,379.20","2,353.30","2,373.00","2,370.40","2,366.02","6,01,533","1,42,32,36,459.40","63,166","4,17,872","69.47"
"NESTLEIND","EQ","15-May-2025","2,370.40","2,370.00","2,414.90","2,341.50","2,391.50","2,398.10","2,384.68","9,64,112","2,29,90,97,413.90","96,725","4,05,028","42.01"
"NESTLEIND","EQ","16-May-2025","2,398.10","2,414.60","2,414.60","2,376.70","2,407.90","2,408.80","2,398.57","6,84,551","1,64,19,40,294.90","37,972","4,46,807","65.27"
"NESTLEIND","EQ","19-May-2025","2,408.80","2,404.00","2,422.10","2,396.20","2,404.00","2,407.80","2,409.32","4,22,931","1,01,89,75,673.10","39,247","2,44,504","57.81"
"NESTLEIND","EQ","20-May-2025","2,407.80","2,419.80","2,419.80","2,354.30","2,360.00","2,358.50","2,383.89","7,77,675","1,85,38,88,932.60","51,889","4,92,397","63.32"
"NESTLEIND","EQ","21-May-2025","2,358.50","2,358.50","2,398.00","2,358.50","2,385.50","2,392.60","2,385.72","6,75,148","1,61,07,12,640.10","59,627","4,27,966","63.39"
"NESTLEIND","EQ","22-May-2025","2,392.60","2,385.00","2,385.00","2,340.00","2,358.00","2,361.70","2,357.34","10,80,806","2,54,78,24,818.00","63,407","7,01,125","64.87"
"NESTLEIND","EQ","23-May-2025","2,361.70","2,356.00","2,424.00","2,352.10","2,409.90","2,414.40","2,402.01","5,77,230","1,38,65,09,918.60","43,469","3,09,439","53.61"
"NESTLEIND","EQ","26-May-2025","2,414.40","2,414.40","2,464.90","2,405.40","2,451.00","2,454.00","2,450.91","6,24,354","1,53,02,33,126.90","52,309","3,46,988","55.58"
"NESTLEIND","EQ","27-May-2025","2,454.00","2,450.10","2,482.00","2,432.20","2,460.00","2,460.90","2,454.20","7,92,049","1,94,38,48,033.60","86,090","3,79,963","47.97"
"NESTLEIND","EQ","28-May-2025","2,460.90","2,452.10","2,456.70","2,416.00","2,421.00","2,419.00","2,423.73","7,23,621","1,75,38,62,755.70","47,237","3,95,177","54.61"
"NESTLEIND","EQ","29-May-2025","2,419.00","2,421.40","2,439.80","2,406.50","2,437.80","2,435.00","2,427.15","9,31,298","2,26,03,96,610.90","55,115","5,74,295","61.67"
"NESTLEIND","EQ","30-May-2025","2,435.00","2,435.00","2,457.00","2,390.50","2,393.80","2,396.20","2,405.24","10,67,460","2,56,74,93,058.50","47,450","7,90,084","74.02"
"NESTLEIND","EQ","02-Jun-2025","2,396.20","2,400.00","2,415.80","2,391.00","2,402.50","2,406.30","2,404.90","10,26,359","2,46,82,94,963.00","39,086","6,76,532","65.92"
"NESTLEIND","EQ","03-Jun-2025","2,406.30","2,415.70","2,426.40","2,382.00","2,391.20","2,391.40","2,398.40","7,34,444","1,76,14,93,769.50","77,818","3,89,002","52.97"
"NESTLEIND","EQ","04-Jun-2025","2,391.40","2,388.40","2,403.80","2,384.90","2,396.00","2,397.50","2,397.58","5,87,041","1,40,74,77,236.70","48,751","3,89,505","66.35"
"NESTLEIND","EQ","05-Jun-2025","2,397.50","2,405.00","2,409.00","2,380.50","2,400.00","2,401.30","2,396.73","7,33,958","1,75,91,00,262.40","54,946","4,05,144","55.20"
"NESTLEIND","EQ","06-Jun-2025","2,401.30","2,403.90","2,422.90","2,390.00","2,413.30","2,417.20","2,411.13","5,02,303","1,21,11,16,402.40","29,324","3,41,713","68.03"
"NESTLEIND","EQ","09-Jun-2025","2,417.20","2,425.00","2,427.30","2,401.00","2,418.00","2,415.30","2,410.31","3,39,437","81,81,47,789.80","26,932","1,88,274","55.47"
"NESTLEIND","EQ","10-Jun-2025","2,415.30","2,415.30","2,438.90","2,408.90","2,433.00","2,431.40","2,423.92","6,75,781","1,63,80,41,678.20","54,901","3,62,931","53.71"
"NESTLEIND","EQ","11-Jun-2025","2,431.40","2,442.50","2,450.00","2,408.00","2,410.00","2,419.20","2,427.97","8,75,687","2,12,61,45,136.30","37,800","5,18,946","59.26"
"NESTLEIND","EQ","12-Jun-2025","2,419.20","2,427.00","2,428.10","2,366.30","2,380.10","2,385.60","2,388.64","13,58,579","3,24,51,58,498.50","76,328","6,83,097","50.28"
"NESTLEIND","EQ","13-Jun-2025","2,385.60","2,362.00","2,380.00","2,346.80","2,378.90","2,376.80","2,367.73","4,14,878","98,23,19,451.90","33,367","2,65,480","63.99"
"NESTLEIND","EQ","16-Jun-2025","2,376.80","2,370.10","2,395.00","2,365.10","2,387.00","2,389.80","2,386.63","2,66,154","63,52,11,309.50","33,503","1,37,609","51.70"
