"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"NYKAA","EQ","07-Mar-2025","168.76","172.00","172.00","164.20","165.00","164.79","166.21","1,16,33,901","1,93,36,81,027.63","90,138","30,35,381","26.09"
"NYKAA","EQ","10-Mar-2025","164.79","164.79","164.80","160.05","162.49","162.48","162.07","67,33,969","1,09,13,83,855.67","50,893","36,25,783","53.84"
"NYKAA","EQ","11-Mar-2025","162.48","161.00","166.64","159.76","165.94","165.79","164.21","44,38,069","72,87,63,367.09","41,599","13,83,806","31.18"
"NYKAA","EQ","12-Mar-2025","165.79","167.14","167.34","160.21","166.00","164.34","162.88","63,12,860","1,02,82,08,238.20","81,108","31,26,894","49.53"
"NYKAA","EQ","13-Mar-2025","164.34","164.90","165.49","162.93","164.90","164.56","164.32","39,85,099","65,48,14,993.65","42,014","24,91,649","62.52"
"NYKAA","EQ","17-Mar-2025","164.56","164.97","167.70","164.06","164.58","164.87","165.87","49,28,416","81,74,95,447.34","37,865","27,03,798","54.86"
"NYKAA","EQ","18-Mar-2025","164.87","165.49","167.48","164.71","167.15","167.11","166.28","51,25,077","85,22,03,306.59","38,390","29,19,703","56.97"
"NYKAA","EQ","19-Mar-2025","167.11","167.40","167.49","163.51","164.75","164.84","164.85","1,05,13,847","1,73,31,82,851.87","52,082","74,46,244","70.82"
"NYKAA","EQ","20-Mar-2025","164.84","165.29","171.40","165.29","167.71","168.08","168.53","97,32,985","1,64,02,74,469.49","58,268","50,85,191","52.25"
"NYKAA","EQ","21-Mar-2025","168.08","168.99","174.60","167.01","172.47","172.52","172.13","84,17,922","1,44,89,61,306.88","77,470","48,54,884","57.67"
"NYKAA","EQ","24-Mar-2025","172.52","173.00","174.26","171.53","173.45","173.25","173.28","44,43,470","76,99,75,186.62","33,321","24,91,749","56.08"
"NYKAA","EQ","25-Mar-2025","173.25","174.90","177.20","168.76","169.57","169.51","172.82","76,74,906","1,32,63,54,561.73","54,298","34,78,590","45.32"
"NYKAA","EQ","26-Mar-2025","169.51","169.99","173.00","169.12","171.43","171.95","172.13","68,13,073","1,17,27,38,716.25","54,246","35,95,946","52.78"
"NYKAA","EQ","27-Mar-2025","171.95","170.51","176.56","169.87","175.90","174.55","172.05","58,21,057","1,00,15,12,966.37","78,475","30,33,558","52.11"
"NYKAA","EQ","28-Mar-2025","174.55","175.90","179.50","174.88","179.00","179.08","178.33","53,47,936","95,37,03,306.47","48,766","22,37,684","41.84"
"NYKAA","EQ","01-Apr-2025","179.08","179.00","180.90","176.58","179.40","179.83","179.72","48,14,245","86,52,39,404.73","42,486","26,44,058","54.92"
"NYKAA","EQ","02-Apr-2025","179.83","181.00","181.25","178.83","179.69","179.89","179.99","30,31,106","54,55,60,158.88","24,905","15,58,777","51.43"
"NYKAA","EQ","03-Apr-2025","179.89","179.00","180.80","178.51","179.01","179.37","179.85","18,93,881","34,06,15,266.59","21,577","7,28,671","38.48"
"NYKAA","EQ","04-Apr-2025","179.37","178.99","179.01","175.43","177.51","176.78","176.53","25,34,256","44,73,66,343.79","23,807","10,97,099","43.29"
"NYKAA","EQ","07-Apr-2025","176.78","165.98","173.89","165.97","171.47","171.30","171.97","99,28,608","1,70,73,85,370.25","82,713","39,72,796","40.01"
"NYKAA","EQ","08-Apr-2025","171.30","174.00","179.37","174.00","176.43","176.75","177.15","41,26,389","73,10,05,541.79","47,313","16,03,547","38.86"
