"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PAYTM","EQ","07-Mar-2025","706.35","710.00","713.70","680.25","682.60","684.85","694.25","50,08,551","3,47,71,71,896.75","1,07,928","13,25,312","26.46"
"PAYTM","EQ","10-Mar-2025","684.85","687.00","694.95","661.10","661.35","665.25","672.24","48,38,597","3,25,26,91,972.95","1,01,907","14,94,329","30.88"
"PAYTM","EQ","11-Mar-2025","665.25","660.10","718.95","651.50","713.05","713.35","697.72","1,39,10,967","9,70,59,70,865.55","2,08,560","31,55,555","22.68"
"PAYTM","EQ","12-Mar-2025","713.35","719.00","720.30","681.10","701.40","702.00","697.86","54,18,157","3,78,10,93,788.50","98,960","7,81,478","14.42"
"PAYTM","EQ","13-Mar-2025","702.00","704.00","706.80","680.00","682.05","682.85","689.95","33,83,930","2,33,47,27,690.45","84,089","7,62,825","22.54"
"PAYTM","EQ","17-Mar-2025","682.85","685.00","699.00","682.10","695.95","688.90","690.12","30,95,753","2,13,64,32,909.40","74,015","6,76,341","21.85"
"PAYTM","EQ","18-Mar-2025","688.90","697.00","746.65","695.00","741.65","741.40","727.75","1,17,02,283","8,51,63,39,165.80","1,89,169","20,76,037","17.74"
"PAYTM","EQ","19-Mar-2025","741.40","745.70","772.00","734.05","763.30","763.10","757.66","57,56,170","4,36,11,98,396.15","1,09,506","7,27,846","12.64"
"PAYTM","EQ","20-Mar-2025","763.10","762.00","762.00","718.20","733.15","734.40","732.53","92,56,199","6,78,04,74,953.60","1,81,231","14,54,334","15.71"
"PAYTM","EQ","21-Mar-2025","734.40","736.90","756.85","727.30","753.00","751.05","746.95","60,03,737","4,48,44,90,272.00","1,08,650","13,54,282","22.56"
"PAYTM","EQ","24-Mar-2025","751.05","757.45","780.90","743.45","764.50","765.40","764.04","69,28,475","5,29,36,18,451.20","1,29,231","15,18,142","21.91"
"PAYTM","EQ","25-Mar-2025","765.40","774.00","790.80","761.30","774.55","777.40","776.64","84,24,176","6,54,25,64,309.00","1,73,511","15,87,432","18.84"
"PAYTM","EQ","26-Mar-2025","777.40","773.50","796.00","772.80","775.70","776.90","784.46","62,69,677","4,91,83,34,905.50","1,24,842","11,64,585","18.57"
"PAYTM","EQ","27-Mar-2025","776.90","771.00","813.95","771.00","808.95","810.10","796.43","72,75,497","5,79,44,40,732.80","1,26,970","27,72,993","38.11"
"PAYTM","EQ","28-Mar-2025","810.10","812.85","816.65","779.15","783.00","783.45","795.37","65,02,695","5,17,20,69,725.50","1,23,035","18,36,627","28.24"
"PAYTM","EQ","01-Apr-2025","783.45","780.00","806.00","772.00","801.35","801.10","794.38","47,96,902","3,81,05,64,180.30","1,14,138","11,54,938","24.08"
"PAYTM","EQ","02-Apr-2025","801.10","803.55","822.70","791.00","815.25","817.95","812.41","49,65,666","4,03,41,55,988.90","90,936","14,15,125","28.50"
"PAYTM","EQ","03-Apr-2025","817.95","810.00","839.75","802.65","835.85","836.40","824.05","70,73,845","5,82,92,31,228.30","1,12,957","27,85,263","39.37"
"PAYTM","EQ","04-Apr-2025","836.40","832.20","843.00","801.10","817.00","817.05","819.33","89,49,892","7,33,29,03,589.35","1,08,960","42,70,254","47.71"
"PAYTM","EQ","07-Apr-2025","817.05","765.00","803.60","753.10","797.00","790.55","783.18","76,46,694","5,98,87,07,527.15","1,69,070","27,17,579","35.54"
"PAYTM","EQ","08-Apr-2025","790.55","800.00","824.00","795.25","816.25","815.15","811.88","46,82,705","3,80,18,17,259.95","1,05,260","10,54,475","22.52"
"PAYTM","EQ","09-Apr-2025","815.15","815.00","819.85","789.00","810.00","811.20","806.79","61,71,792","4,97,93,33,328.25","1,01,782","25,14,177","40.74"
"PAYTM","EQ","11-Apr-2025","811.20","825.40","846.95","821.30","839.15","840.70","836.50","52,38,515","4,38,19,94,673.45","1,02,163","18,00,353","34.37"
"PAYTM","EQ","15-Apr-2025","840.70","840.70","848.50","827.50","841.25","840.15","836.42","70,73,838","5,91,67,25,510.95","1,40,328","28,64,618","40.50"
"PAYTM","EQ","16-Apr-2025","840.15","841.85","880.00","837.55","863.00","864.95","862.99","82,81,434","7,14,67,71,962.95","1,56,393","17,27,374","20.86"
"PAYTM","EQ","17-Apr-2025","864.95","864.40","871.65","845.80","847.00","849.60","854.91","40,12,959","3,43,07,38,153.25","88,998","9,75,108","24.30"
"PAYTM","EQ","21-Apr-2025","849.60","853.30","889.90","852.00","875.95","878.15","877.91","55,38,404","4,86,22,07,794.40","1,22,316","16,63,672","30.04"
"PAYTM","EQ","22-Apr-2025","878.15","882.05","902.40","878.60","879.55","881.90","887.24","41,15,316","3,65,12,88,804.35","1,04,928","10,25,045","24.91"
"PAYTM","EQ","23-Apr-2025","881.90","882.50","888.50","867.85","881.95","884.10","878.95","38,69,334","3,40,09,49,915.50","71,634","10,44,030","26.98"
"PAYTM","EQ","24-Apr-2025","884.10","884.10","911.00","880.35","905.45","905.75","902.54","49,92,124","4,50,55,98,919.65","1,15,714","12,87,104","25.78"
"PAYTM","EQ","25-Apr-2025","905.75","906.50","912.75","867.65","874.50","875.65","885.54","44,34,636","3,92,70,46,889.30","1,01,860","9,07,683","20.47"
"PAYTM","EQ","28-Apr-2025","875.65","877.05","893.00","877.00","884.00","881.75","883.39","29,76,889","2,62,97,48,565.15","59,455","10,45,504","35.12"
"PAYTM","EQ","29-Apr-2025","881.75","880.00","888.55","860.60","872.90","870.70","873.87","37,25,479","3,25,55,86,741.50","81,275","10,66,307","28.62"
