"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PGEL","EQ","07-Mar-2025","870.85","876.00","895.00","863.90","879.00","877.05","879.00","14,69,637","1,29,18,16,787.75","54,130","5,06,750","34.48"
"PGEL","EQ","10-Mar-2025","877.05","879.00","915.00","879.00","900.00","899.05","899.65","18,43,353","1,65,83,77,765.35","98,144","8,32,761","45.18"
"PGEL","EQ","11-Mar-2025","899.05","880.85","901.20","856.40","890.00","892.45","881.55","14,24,331","1,25,56,21,360.15","76,412","4,89,541","34.37"
"PGEL","EQ","12-Mar-2025","892.45","895.00","904.00","845.00","857.50","854.50","864.84","9,91,955","85,78,81,813.40","55,283","4,19,654","42.31"
"PGEL","EQ","13-Mar-2025","854.50","858.70","863.90","827.40","831.50","835.00","842.12","11,75,099","98,95,78,399.00","55,430","5,14,044","43.74"
"PGEL","EQ","17-Mar-2025","835.00","830.00","843.50","815.15","836.00","835.30","832.72","7,18,509","59,83,13,416.25","52,583","2,61,709","36.42"
"PGEL","EQ","18-Mar-2025","835.30","840.50","890.95","840.50","888.35","888.35","875.05","11,99,535","1,04,96,47,616.55","62,178","5,16,093","43.02"
"PGEL","EQ","19-Mar-2025","888.35","898.00","901.95","875.00","893.00","893.15","892.40","8,68,783","77,53,00,932.10","46,720","3,10,353","35.72"
"PGEL","EQ","20-Mar-2025","893.15","900.00","933.00","887.20","916.20","915.25","915.01","19,69,330","1,80,19,59,811.50","92,639","7,51,021","38.14"
"PGEL","EQ","21-Mar-2025","915.25","925.00","952.00","917.05","925.00","946.20","941.61","38,88,481","3,66,14,33,278.40","99,706","24,83,039","63.86"
"PGEL","EQ","24-Mar-2025","946.20","942.70","962.00","935.30","940.00","945.00","948.26","11,54,718","1,09,49,78,598.15","41,661","5,23,421","45.33"
"PGEL","EQ","25-Mar-2025","945.00","945.35","949.80","875.25","881.00","883.75","900.39","15,23,007","1,37,13,04,986.40","72,611","6,22,036","40.84"
"PGEL","EQ","26-Mar-2025","883.75","885.00","921.45","865.00","869.80","870.15","894.92","13,04,628","1,16,75,32,614.55","48,378","4,34,330","33.29"
"PGEL","EQ","27-Mar-2025","870.15","870.15","990.00","857.30","929.00","927.05","906.33","35,63,220","3,22,94,53,744.80","1,00,210","20,22,280","56.75"
"PGEL","EQ","28-Mar-2025","927.05","950.00","973.00","907.65","910.00","916.60","942.84","17,18,645","1,62,04,01,190.50","77,751","7,10,336","41.33"
"PGEL","EQ","01-Apr-2025","916.60","915.95","959.90","896.00","902.80","901.60","921.17","11,57,659","1,06,63,98,926.00","74,424","4,43,829","38.34"
"PGEL","EQ","02-Apr-2025","901.60","901.70","919.70","885.55","917.00","916.60","905.07","7,46,679","67,57,95,942.05","38,723","2,46,248","32.98"
"PGEL","EQ","03-Apr-2025","916.60","899.90","959.00","899.90","940.00","936.90","932.08","19,90,292","1,85,51,16,639.40","67,785","6,24,293","31.37"
"PGEL","EQ","04-Apr-2025","936.90","938.00","941.95","836.30","877.00","871.65","880.40","24,56,393","2,16,26,08,148.45","94,265","8,71,519","35.48"
"PGEL","EQ","07-Apr-2025","871.65","714.70","830.05","714.70","812.00","813.00","808.09","22,77,450","1,84,03,76,286.40","1,01,319","9,30,034","40.84"
"PGEL","EQ","08-Apr-2025","813.00","850.55","884.65","841.05","865.60","865.00","866.18","40,40,923","3,50,01,77,231.30","1,58,812","6,30,813","15.61"
