"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"POLYCAB","EQ","07-Mar-2025","5,076.60","5,075.00","5,105.90","4,998.70","5,058.00","5,063.45","5,057.67","3,70,527","1,87,40,03,290.55","41,251","1,15,714","31.23"
"POLYCAB","EQ","10-Mar-2025","5,063.45","5,079.00","5,109.95","4,912.55","4,924.95","4,940.45","4,993.78","3,72,497","1,86,01,69,563.60","44,080","1,38,930","37.30"
"POLYCAB","EQ","11-Mar-2025","4,940.45","4,870.30","4,935.00","4,810.00","4,926.90","4,907.85","4,878.23","3,02,464","1,47,54,88,414.30","40,303","84,191","27.84"
"POLYCAB","EQ","12-Mar-2025","4,907.85","4,947.30","5,020.00","4,900.00","5,005.00","5,008.75","4,972.10","3,77,661","1,87,77,69,677.15","44,646","1,25,430","33.21"
"POLYCAB","EQ","13-Mar-2025","5,008.75","5,100.00","5,114.00","4,960.00","5,000.00","5,003.10","5,026.90","4,49,569","2,25,99,38,080.00","44,039","1,39,030","30.93"
"POLYCAB","EQ","17-Mar-2025","5,003.10","5,003.10","5,074.85","4,894.20","5,020.00","5,019.60","5,019.87","5,18,771","2,60,41,60,739.60","41,211","2,56,530","49.45"
"POLYCAB","EQ","18-Mar-2025","5,019.60","5,042.00","5,254.25","5,024.00","5,175.00","5,195.80","5,142.47","5,94,035","3,05,48,09,341.50","42,893","2,74,814","46.26"
"POLYCAB","EQ","19-Mar-2025","5,195.80","5,210.00","5,456.10","5,165.00","5,415.00","5,438.40","5,360.42","6,44,101","3,45,26,49,663.60","59,319","2,60,495","40.44"
"POLYCAB","EQ","20-Mar-2025","5,438.40","5,225.00","5,242.05","4,913.65","5,102.00","5,083.40","5,024.38","41,00,652","20,60,32,46,201.35","2,68,053","9,51,165","23.20"
"POLYCAB","EQ","21-Mar-2025","5,083.40","5,100.00","5,139.00","4,980.00","4,990.95","4,992.30","5,052.71","14,28,921","7,21,99,29,115.20","1,05,264","5,68,998","39.82"
