"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SAMMAANCAP","EQ","07-Mar-2025","115.71","115.15","119.60","115.05","117.30","116.84","117.96","1,05,33,999","1,24,25,63,494.86","45,453","59,50,306","56.49"
"SAMMAANCAP","EQ","10-Mar-2025","116.84","117.00","117.60","111.10","111.40","111.67","113.59","82,99,205","94,26,81,660.81","33,924","58,35,062","70.31"
"SAMMAANCAP","EQ","11-Mar-2025","111.67","110.44","111.84","108.40","110.70","110.13","110.42","91,73,133","1,01,28,88,392.66","38,372","51,25,453","55.87"
"SAMMAANCAP","EQ","12-Mar-2025","110.13","110.70","112.85","108.37","108.90","108.78","110.51","97,78,862","1,08,06,77,309.22","41,769","51,69,356","52.86"
"SAMMAANCAP","EQ","13-Mar-2025","108.78","109.01","110.65","107.27","107.55","107.57","108.69","70,83,673","76,99,33,690.41","29,406","42,14,001","59.49"
"SAMMAANCAP","EQ","17-Mar-2025","107.57","108.25","109.44","104.72","105.39","105.11","106.56","99,90,309","1,06,45,57,364.93","35,795","68,00,622","68.07"
"SAMMAANCAP","EQ","18-Mar-2025","105.11","106.71","110.30","106.62","110.10","109.94","108.92","96,75,157","1,05,38,26,894.41","41,311","49,94,760","51.62"
"SAMMAANCAP","EQ","19-Mar-2025","109.94","110.50","114.20","110.36","112.71","112.82","112.68","99,18,244","1,11,75,83,048.26","39,598","56,39,949","56.86"
"SAMMAANCAP","EQ","20-Mar-2025","112.82","114.90","115.60","110.20","110.40","110.51","112.35","81,26,669","91,30,22,996.49","40,212","43,62,884","53.69"
"SAMMAANCAP","EQ","21-Mar-2025","110.51","110.51","119.00","110.51","118.10","117.95","115.45","1,96,88,471","2,27,30,55,079.80","84,535","1,09,13,732","55.43"
"SAMMAANCAP","EQ","24-Mar-2025","117.95","119.00","120.90","118.08","118.52","119.00","119.52","1,05,11,437","1,25,63,21,027.44","42,948","62,30,021","59.27"
"SAMMAANCAP","EQ","25-Mar-2025","119.00","119.25","119.85","112.51","112.95","112.89","114.80","98,93,144","1,13,57,59,181.78","38,859","57,48,610","58.11"
