"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHRIRAMFIN","EQ","07-Mar-2025","644.35","644.35","647.65","627.45","631.00","630.85","634.01","58,29,062","3,69,57,01,726.00","1,25,152","34,19,676","58.67"
"SHRIRAMFIN","EQ","10-Mar-2025","630.85","631.55","641.50","622.85","625.00","625.60","630.22","49,06,168","3,09,19,85,619.25","1,37,154","27,37,513","55.80"
"SHRIRAMFIN","EQ","11-Mar-2025","625.60","624.20","640.00","615.55","639.10","638.25","629.74","67,34,891","4,24,12,50,220.75","1,11,211","38,28,149","56.84"
"SHRIRAMFIN","EQ","12-Mar-2025","638.25","639.00","647.25","629.10","636.25","636.95","637.56","53,78,060","3,42,88,20,960.90","96,621","27,72,289","51.55"
"SHRIRAMFIN","EQ","13-Mar-2025","636.95","638.00","644.00","617.50","620.00","619.55","623.68","52,73,706","3,28,91,24,850.85","1,11,278","27,13,401","51.45"
"SHRIRAMFIN","EQ","17-Mar-2025","619.55","613.40","629.50","613.40","624.00","623.25","622.04","45,48,325","2,82,92,22,559.35","87,310","27,24,781","59.91"
"SHRIRAMFIN","EQ","18-Mar-2025","623.25","630.00","645.70","626.05","641.95","642.30","638.96","69,15,463","4,41,86,98,342.45","1,07,477","42,48,765","61.44"
"SHRIRAMFIN","EQ","19-Mar-2025","642.30","645.70","677.60","637.65","667.40","667.95","664.55","98,23,834","6,52,84,29,055.70","1,46,566","43,83,746","44.62"
"SHRIRAMFIN","EQ","20-Mar-2025","667.95","690.00","695.00","665.00","666.30","667.90","672.41","87,47,482","5,88,18,67,755.10","1,74,271","42,53,019","48.62"
"SHRIRAMFIN","EQ","21-Mar-2025","667.90","669.05","679.00","667.65","676.10","676.80","673.46","63,65,496","4,28,69,06,674.65","1,00,233","36,73,822","57.71"
"SHRIRAMFIN","EQ","24-Mar-2025","676.80","677.00","694.90","674.00","680.60","682.00","684.86","49,83,671","3,41,31,09,009.55","1,14,504","27,54,256","55.27"
"SHRIRAMFIN","EQ","25-Mar-2025","682.00","688.00","688.00","667.70","674.50","678.35","674.78","52,57,157","3,54,74,44,657.90","1,03,521","30,23,068","57.50"
"SHRIRAMFIN","EQ","26-Mar-2025","678.35","678.80","680.90","669.25","673.45","672.00","674.99","47,92,266","3,23,47,40,119.60","1,09,222","28,81,290","60.12"
"SHRIRAMFIN","EQ","27-Mar-2025","672.00","670.00","684.40","666.20","682.60","678.50","677.63","46,28,163","3,13,61,68,851.20","1,18,330","26,74,377","57.78"
"SHRIRAMFIN","EQ","28-Mar-2025","678.50","682.00","685.00","650.15","656.25","656.00","660.33","68,06,264","4,49,43,68,122.65","1,43,261","39,57,535","58.15"
"SHRIRAMFIN","EQ","01-Apr-2025","656.00","652.00","653.90","633.90","637.85","637.45","642.00","76,00,903","4,87,97,85,379.90","1,37,524","47,69,822","62.75"
"SHRIRAMFIN","EQ","02-Apr-2025","637.45","640.00","644.00","630.50","640.25","639.40","637.02","43,87,926","2,79,52,00,093.20","78,176","25,38,745","57.86"
"SHRIRAMFIN","EQ","03-Apr-2025","639.40","633.00","660.55","632.00","654.10","654.15","652.54","37,04,676","2,41,74,65,665.20","90,494","15,38,286","41.52"
"SHRIRAMFIN","EQ","04-Apr-2025","654.15","655.50","665.00","649.50","652.70","653.60","655.91","51,91,619","3,40,52,58,029.60","1,11,836","25,84,638","49.78"
"SHRIRAMFIN","EQ","07-Apr-2025","653.60","596.00","629.95","589.25","619.00","614.00","606.80","1,51,88,995","9,21,67,38,996.50","2,43,610","86,77,489","57.13"
"SHRIRAMFIN","EQ","08-Apr-2025","614.00","623.70","648.30","623.05","646.00","641.45","640.81","1,04,15,072","6,67,40,43,365.60","1,81,964","53,02,576","50.91"
"SHRIRAMFIN","EQ","09-Apr-2025","641.45","647.95","647.95","619.00","624.75","624.55","628.72","92,35,529","5,80,65,56,164.05","2,08,861","48,71,002","52.74"
"SHRIRAMFIN","EQ","11-Apr-2025","624.55","627.00","648.65","627.00","637.50","638.80","640.21","71,02,851","4,54,73,00,551.25","1,14,415","45,68,981","64.33"
"SHRIRAMFIN","EQ","15-Apr-2025","638.80","651.95","674.55","649.15","671.85","672.00","666.92","60,85,948","4,05,88,51,135.45","1,28,907","33,03,774","54.29"
"SHRIRAMFIN","EQ","16-Apr-2025","672.00","672.65","678.00","662.45","675.00","676.05","671.73","65,71,065","4,41,39,98,841.70","1,18,485","42,00,282","63.92"
"SHRIRAMFIN","EQ","17-Apr-2025","676.05","677.00","695.65","668.55","690.00","691.75","684.33","57,71,289","3,94,94,53,966.80","1,15,239","24,38,326","42.25"
"SHRIRAMFIN","EQ","21-Apr-2025","691.75","698.75","717.50","690.50","703.00","703.00","704.28","67,40,583","4,74,72,79,690.15","1,41,245","30,62,247","45.43"
"SHRIRAMFIN","EQ","22-Apr-2025","703.00","703.00","709.95","700.00","700.05","703.50","704.21","36,72,514","2,58,62,18,186.00","1,13,274","20,35,881","55.44"
"SHRIRAMFIN","EQ","23-Apr-2025","703.50","709.50","713.80","685.90","702.00","703.90","699.72","54,42,424","3,80,81,68,227.10","1,22,277","29,25,580","53.76"
"SHRIRAMFIN","EQ","24-Apr-2025","703.90","704.00","705.50","694.50","698.90","696.65","697.91","50,10,172","3,49,66,43,929.80","1,01,839","28,61,705","57.12"
"SHRIRAMFIN","EQ","25-Apr-2025","696.65","698.90","705.60","635.00","640.00","655.20","671.32","97,84,886","6,56,87,80,058.40","1,79,191","48,04,118","49.10"
"SHRIRAMFIN","EQ","28-Apr-2025","655.20","622.70","630.40","596.15","621.60","622.00","615.75","3,22,21,482","19,84,05,14,939.75","4,13,827","1,39,79,613","43.39"
"SHRIRAMFIN","EQ","29-Apr-2025","622.00","625.00","630.80","610.20","612.95","614.70","617.17","1,03,87,632","6,41,09,42,888.15","1,61,036","52,39,063","50.44"
"SHRIRAMFIN","EQ","30-Apr-2025","614.70","614.70","621.80","606.50","609.00","611.70","613.00","73,74,108","4,52,03,05,454.15","1,57,474","41,93,488","56.87"
"SHRIRAMFIN","EQ","02-May-2025","611.70","611.70","616.30","599.50","603.50","604.20","606.19","91,93,181","5,57,28,53,488.75","1,48,407","54,23,590","59.00"
"SHRIRAMFIN","EQ","05-May-2025","604.20","610.15","630.90","607.20","629.80","628.85","623.26","86,16,953","5,37,06,38,812.30","1,09,570","47,29,700","54.89"
"SHRIRAMFIN","EQ","06-May-2025","628.85","628.80","631.85","617.05","621.20","623.45","622.87","50,98,276","3,17,55,82,044.40","92,181","31,59,240","61.97"
"SHRIRAMFIN","EQ","07-May-2025","623.45","618.20","638.00","617.25","635.00","636.65","631.58","59,83,998","3,77,93,55,569.95","93,820","31,76,246","53.08"
"SHRIRAMFIN","EQ","08-May-2025","636.65","635.00","640.80","607.00","608.10","615.80","622.99","1,00,52,396","6,26,24,93,313.60","1,73,406","60,01,838","59.71"
"SHRIRAMFIN","EQ","09-May-2025","615.80","600.00","612.35","596.65","603.00","601.45","602.33","56,37,324","3,39,55,02,595.35","1,50,680","26,68,277","47.33"
