"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SONACOMS","EQ","07-Mar-2025","521.90","520.50","529.70","512.95","517.00","517.60","521.32","10,35,927","54,00,51,195.40","47,916","5,12,260","49.45"
"SONACOMS","EQ","10-Mar-2025","517.60","518.00","522.90","507.90","512.00","512.20","516.00","17,61,286","90,88,32,209.45","54,042","10,45,009","59.33"
"SONACOMS","EQ","11-Mar-2025","512.20","504.50","509.25","495.00","508.20","507.60","502.13","12,85,121","64,52,91,772.15","59,694","5,99,662","46.66"
"SONACOMS","EQ","12-Mar-2025","507.60","512.00","513.10","491.00","503.45","504.80","499.62","15,87,133","79,29,68,326.10","50,529","8,66,539","54.60"
"SONACOMS","EQ","13-Mar-2025","504.80","505.55","506.75","484.45","487.00","485.80","493.57","13,88,137","68,51,38,338.05","50,235","8,47,385","61.04"
"SONACOMS","EQ","17-Mar-2025","485.80","485.10","491.55","481.00","486.10","485.95","485.82","6,82,758","33,16,95,897.30","47,633","3,33,765","48.88"
"SONACOMS","EQ","18-Mar-2025","485.95","489.80","495.80","485.45","495.25","493.85","491.15","10,74,596","52,77,87,082.45","28,706","6,34,866","59.08"
"SONACOMS","EQ","19-Mar-2025","493.85","495.00","514.35","491.00","508.50","507.95","505.21","9,40,318","47,50,58,052.50","29,525","4,64,341","49.38"
"SONACOMS","EQ","20-Mar-2025","507.95","509.15","517.65","504.65","508.65","508.50","510.24","7,53,432","38,44,34,631.85","21,960","2,72,082","36.11"
"SONACOMS","EQ","21-Mar-2025","508.50","518.00","518.00","503.15","512.00","509.35","509.45","18,18,450","92,64,09,426.95","37,451","9,82,136","54.01"
"SONACOMS","EQ","24-Mar-2025","509.35","512.15","520.50","500.95","503.00","501.95","506.91","16,00,763","81,14,50,084.00","41,452","8,85,872","55.34"
"SONACOMS","EQ","25-Mar-2025","501.95","505.05","510.70","491.10","495.20","493.70","497.30","14,99,538","74,57,24,842.30","31,824","8,33,442","55.58"
"SONACOMS","EQ","26-Mar-2025","493.70","497.00","503.85","494.60","496.00","496.95","499.24","28,52,798","1,42,42,35,626.15","44,822","20,82,766","73.01"
"SONACOMS","EQ","27-Mar-2025","496.95","470.00","480.15","462.00","466.15","467.35","471.07","84,10,256","3,96,17,81,752.30","1,48,137","36,48,391","43.38"
"SONACOMS","EQ","28-Mar-2025","467.35","467.95","473.35","458.00","459.20","461.20","462.93","27,07,951","1,25,35,96,460.60","73,152","14,58,636","53.86"
"SONACOMS","EQ","01-Apr-2025","461.20","460.00","465.00","455.30","462.00","461.00","461.65","12,40,444","57,26,55,530.25","32,612","5,76,226","46.45"
"SONACOMS","EQ","02-Apr-2025","461.00","462.80","468.50","452.80","465.00","465.65","462.70","13,78,880","63,80,05,180.80","32,616","8,18,705","59.37"
"SONACOMS","EQ","03-Apr-2025","465.65","458.55","462.00","443.55","450.00","450.15","453.36","43,25,036","1,96,08,18,274.90","90,260","22,27,002","51.49"
"SONACOMS","EQ","04-Apr-2025","450.15","450.00","451.75","414.15","421.90","421.85","424.83","41,80,157","1,77,58,49,055.95","1,21,418","21,55,840","51.57"
"SONACOMS","EQ","07-Apr-2025","421.85","380.00","413.00","380.00","410.50","406.60","403.15","34,75,481","1,40,11,29,233.05","89,720","16,80,879","48.36"
