"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNPHARMA","EQ","07-Mar-2025","1,614.00","1,624.00","1,628.75","1,605.65","1,607.00","1,609.30","1,612.48","9,80,890","1,58,16,69,240.80","51,154","6,25,781","63.80"
"SUNPHARMA","EQ","10-Mar-2025","1,609.30","1,621.95","1,641.45","1,602.75","1,610.00","1,611.50","1,613.27","16,00,589","2,58,21,83,090.20","70,049","9,03,557","56.45"
"SUNPHARMA","EQ","11-Mar-2025","1,611.50","1,616.10","1,663.60","1,605.35","1,657.00","1,655.30","1,650.11","33,25,416","5,48,72,86,322.75","1,18,882","18,86,620","56.73"
"SUNPHARMA","EQ","12-Mar-2025","1,655.30","1,662.00","1,680.25","1,658.05","1,675.00","1,676.85","1,671.60","23,89,362","3,99,40,65,056.90","1,23,342","17,79,581","74.48"
"SUNPHARMA","EQ","13-Mar-2025","1,676.85","1,672.00","1,687.15","1,663.45","1,679.85","1,683.45","1,680.12","16,66,929","2,80,06,36,698.70","99,956","11,12,994","66.77"
"SUNPHARMA","EQ","17-Mar-2025","1,683.45","1,694.05","1,720.15","1,688.35","1,703.90","1,704.30","1,707.41","25,88,408","4,41,94,82,127.25","1,26,527","18,58,195","71.79"
"SUNPHARMA","EQ","18-Mar-2025","1,704.30","1,714.35","1,752.00","1,700.00","1,748.75","1,747.80","1,732.94","27,30,980","4,73,26,19,646.40","92,703","20,13,074","73.71"
"SUNPHARMA","EQ","19-Mar-2025","1,747.80","1,747.80","1,748.00","1,726.30","1,732.65","1,732.35","1,732.84","21,67,448","3,75,58,38,761.65","1,04,318","15,53,967","71.70"
"SUNPHARMA","EQ","20-Mar-2025","1,732.35","1,735.65","1,757.15","1,722.90","1,754.00","1,750.25","1,747.27","16,02,232","2,79,95,35,658.85","90,275","10,75,335","67.11"
"SUNPHARMA","EQ","21-Mar-2025","1,750.25","1,759.00","1,792.80","1,750.25","1,790.00","1,784.50","1,780.49","24,83,162","4,42,12,47,417.40","91,718","16,39,386","66.02"
"SUNPHARMA","EQ","24-Mar-2025","1,784.50","1,794.50","1,820.00","1,777.60","1,784.00","1,784.80","1,789.04","11,82,084","2,11,47,91,320.70","73,428","7,78,083","65.82"
"SUNPHARMA","EQ","25-Mar-2025","1,784.80","1,784.80","1,795.95","1,758.50","1,761.00","1,764.75","1,770.77","14,71,028","2,60,48,52,598.05","86,803","6,75,303","45.91"
"SUNPHARMA","EQ","26-Mar-2025","1,764.75","1,767.95","1,770.80","1,746.10","1,750.05","1,758.95","1,756.72","17,62,361","3,09,59,78,071.15","94,260","11,89,376","67.49"
"SUNPHARMA","EQ","27-Mar-2025","1,758.95","1,751.00","1,752.30","1,720.00","1,734.35","1,731.45","1,728.71","32,79,881","5,66,99,74,285.25","1,37,932","21,35,932","65.12"
"SUNPHARMA","EQ","28-Mar-2025","1,731.45","1,731.45","1,741.35","1,705.20","1,733.95","1,734.70","1,725.59","19,56,781","3,37,66,11,044.05","81,975","12,77,401","65.28"
"SUNPHARMA","EQ","01-Apr-2025","1,734.70","1,731.00","1,733.95","1,681.60","1,698.30","1,698.35","1,703.36","41,42,445","7,05,60,55,656.00","1,77,054","27,64,836","66.74"
"SUNPHARMA","EQ","02-Apr-2025","1,698.35","1,695.00","1,718.45","1,685.90","1,713.95","1,713.65","1,708.74","33,69,489","5,75,75,93,865.60","1,09,070","25,92,204","76.93"
"SUNPHARMA","EQ","03-Apr-2025","1,713.65","1,755.00","1,812.70","1,750.00","1,772.00","1,770.00","1,784.75","57,15,573","10,20,08,82,418.55","2,28,089","34,00,689","59.50"
"SUNPHARMA","EQ","04-Apr-2025","1,770.00","1,778.85","1,778.85","1,658.05","1,705.00","1,709.35","1,703.68","53,45,276","9,10,66,54,027.50","2,28,975","30,82,111","57.66"
"SUNPHARMA","EQ","07-Apr-2025","1,709.35","1,620.10","1,692.00","1,620.10","1,677.10","1,666.35","1,658.96","57,15,334","9,48,15,03,895.75","2,21,015","39,13,806","68.48"
"SUNPHARMA","EQ","08-Apr-2025","1,666.35","1,645.00","1,709.85","1,645.00","1,691.00","1,688.35","1,686.60","28,07,382","4,73,49,39,348.00","1,15,400","13,37,571","47.64"
"SUNPHARMA","EQ","09-Apr-2025","1,688.35","1,650.00","1,679.75","1,640.00","1,651.75","1,652.20","1,664.27","34,81,864","5,79,47,51,799.85","1,52,924","24,58,178","70.60"
"SUNPHARMA","EQ","11-Apr-2025","1,652.20","1,710.00","1,737.00","1,682.10","1,687.90","1,687.55","1,698.06","38,01,939","6,45,59,20,619.90","2,44,225","24,16,754","63.57"
"SUNPHARMA","EQ","15-Apr-2025","1,687.55","1,720.00","1,724.50","1,696.80","1,705.20","1,705.00","1,707.12","19,93,085","3,40,24,32,599.20","82,756","14,38,361","72.17"
"SUNPHARMA","EQ","16-Apr-2025","1,705.00","1,691.10","1,702.70","1,682.10","1,691.00","1,693.10","1,689.80","22,05,374","3,72,66,35,637.50","1,06,358","15,54,304","70.48"
"SUNPHARMA","EQ","17-Apr-2025","1,693.10","1,695.00","1,758.00","1,687.40","1,757.00","1,751.50","1,733.13","26,83,908","4,65,15,66,818.30","1,15,404","15,79,682","58.86"
"SUNPHARMA","EQ","21-Apr-2025","1,751.50","1,761.00","1,761.00","1,731.30","1,746.40","1,744.90","1,744.70","15,39,511","2,68,59,83,207.90","68,239","9,07,556","58.95"
"SUNPHARMA","EQ","22-Apr-2025","1,744.90","1,751.00","1,755.00","1,734.50","1,748.40","1,747.40","1,744.40","9,61,907","1,67,79,53,862.90","51,087","5,09,668","52.99"
"SUNPHARMA","EQ","23-Apr-2025","1,747.40","1,754.20","1,791.30","1,742.10","1,785.20","1,788.80","1,775.91","14,71,029","2,61,24,09,586.10","60,572","8,21,857","55.87"
"SUNPHARMA","EQ","24-Apr-2025","1,788.80","1,790.00","1,807.90","1,773.90","1,806.90","1,803.90","1,795.82","21,01,177","3,77,33,26,510.10","82,971","12,40,436","59.04"
"SUNPHARMA","EQ","25-Apr-2025","1,803.90","1,806.00","1,815.50","1,764.20","1,781.80","1,787.40","1,786.91","20,36,801","3,63,95,71,164.30","88,999","11,49,628","56.44"
"SUNPHARMA","EQ","28-Apr-2025","1,787.40","1,787.40","1,846.00","1,781.20","1,842.20","1,841.60","1,830.08","32,16,482","5,88,64,25,863.20","1,14,701","23,48,194","73.01"
"SUNPHARMA","EQ","29-Apr-2025","1,841.60","1,845.00","1,846.00","1,797.00","1,800.20","1,805.50","1,816.34","28,86,160","5,24,22,46,980.60","1,25,295","19,01,355","65.88"
"SUNPHARMA","EQ","30-Apr-2025","1,805.50","1,810.00","1,838.90","1,803.30","1,821.60","1,832.30","1,830.15","26,67,314","4,88,15,71,584.90","99,419","17,02,688","63.84"
"SUNPHARMA","EQ","02-May-2025","1,832.30","1,832.30","1,851.20","1,813.80","1,825.00","1,829.40","1,830.45","23,10,897","4,22,99,82,097.00","1,01,579","14,92,848","64.60"
"SUNPHARMA","EQ","05-May-2025","1,829.40","1,827.80","1,843.30","1,821.40","1,834.20","1,836.60","1,835.35","12,19,830","2,23,88,16,267.90","65,058","7,95,788","65.24"
"SUNPHARMA","EQ","06-May-2025","1,836.60","1,820.00","1,827.90","1,799.00","1,819.00","1,819.10","1,816.93","14,14,772","2,57,05,45,159.60","61,418","8,48,747","59.99"
"SUNPHARMA","EQ","07-May-2025","1,819.10","1,817.90","1,826.40","1,778.70","1,780.90","1,781.30","1,790.26","20,15,237","3,60,78,04,178.10","80,343","12,47,576","61.91"
"SUNPHARMA","EQ","08-May-2025","1,781.30","1,781.30","1,788.90","1,755.00","1,755.00","1,767.20","1,770.18","26,47,871","4,68,72,05,153.60","1,13,625","15,94,370","60.21"
"SUNPHARMA","EQ","09-May-2025","1,767.20","1,751.90","1,766.30","1,731.70","1,748.00","1,744.80","1,744.80","11,48,956","2,00,46,99,070.20","72,955","6,74,040","58.67"
"SUNPHARMA","EQ","12-May-2025","1,744.80","1,695.70","1,712.40","1,623.60","1,689.90","1,686.20","1,672.49","92,21,075","15,42,21,17,345.50","2,78,210","46,86,689","50.83"
"SUNPHARMA","EQ","13-May-2025","1,686.20","1,711.00","1,748.50","1,691.30","1,702.20","1,700.00","1,706.46","69,88,329","11,92,53,08,735.00","2,58,135","40,32,920","57.71"
"SUNPHARMA","EQ","14-May-2025","1,700.00","1,702.00","1,711.40","1,692.10","1,710.20","1,708.20","1,703.41","16,39,324","2,79,24,49,090.10","82,274","10,30,277","62.85"
"SUNPHARMA","EQ","15-May-2025","1,708.20","1,701.10","1,744.40","1,684.10","1,738.30","1,740.10","1,720.52","38,80,385","6,67,62,83,657.40","1,46,890","20,99,534","54.11"
"SUNPHARMA","EQ","16-May-2025","1,740.10","1,740.00","1,741.60","1,719.00","1,730.00","1,734.90","1,732.12","14,48,249","2,50,85,37,705.60","92,593","7,85,798","54.26"
"SUNPHARMA","EQ","19-May-2025","1,734.90","1,745.00","1,765.00","1,726.60","1,729.00","1,730.20","1,740.99","20,74,023","3,61,08,45,209.60","1,05,230","12,74,712","61.46"
"SUNPHARMA","EQ","20-May-2025","1,730.20","1,743.80","1,748.00","1,703.30","1,714.00","1,707.80","1,716.16","27,06,777","4,64,52,60,502.90","1,13,019","19,33,363","71.43"
"SUNPHARMA","EQ","21-May-2025","1,707.80","1,716.40","1,758.70","1,707.80","1,732.00","1,731.80","1,737.63","27,54,306","4,78,59,60,056.20","84,640","13,07,555","47.47"
"SUNPHARMA","EQ","22-May-2025","1,731.80","1,734.20","1,740.00","1,707.20","1,724.70","1,718.70","1,717.48","26,70,554","4,58,66,18,230.00","88,389","14,86,439","55.66"
"SUNPHARMA","EQ","23-May-2025","1,718.70","1,658.00","1,689.50","1,636.60","1,689.10","1,683.60","1,668.62","83,39,783","13,91,59,33,663.10","4,09,880","54,45,069","65.29"
"SUNPHARMA","EQ","26-May-2025","1,683.60","1,693.10","1,702.40","1,667.00","1,679.10","1,676.10","1,676.52","22,82,131","3,82,60,44,956.40","1,94,713","13,52,771","59.28"
"SUNPHARMA","EQ","27-May-2025","1,676.10","1,676.10","1,692.00","1,661.10","1,681.50","1,683.40","1,679.81","28,00,622","4,70,45,03,192.10","1,34,384","16,22,707","57.94"
"SUNPHARMA","EQ","28-May-2025","1,683.40","1,683.40","1,686.90","1,663.00","1,664.00","1,666.40","1,673.47","26,57,712","4,44,76,03,093.80","90,629","18,55,752","69.83"
"SUNPHARMA","EQ","29-May-2025","1,666.40","1,675.00","1,703.30","1,670.40","1,699.50","1,699.80","1,690.66","23,77,583","4,01,96,78,075.30","1,26,101","14,59,692","61.39"
"SUNPHARMA","EQ","30-May-2025","1,699.80","1,702.00","1,713.60","1,669.10","1,674.90","1,677.60","1,684.07","36,40,641","6,13,10,78,417.30","91,398","26,11,830","71.74"
"SUNPHARMA","EQ","02-Jun-2025","1,677.60","1,679.00","1,683.50","1,660.50","1,676.00","1,674.60","1,673.82","18,19,538","3,04,55,87,489.20","96,565","13,04,180","71.68"
"SUNPHARMA","EQ","03-Jun-2025","1,674.60","1,695.00","1,695.00","1,657.60","1,667.50","1,667.50","1,668.00","25,56,920","4,26,49,41,895.00","1,10,838","15,41,709","60.30"
"SUNPHARMA","EQ","04-Jun-2025","1,667.50","1,656.00","1,669.00","1,649.00","1,664.00","1,664.90","1,661.81","17,00,482","2,82,58,80,489.20","64,433","10,20,975","60.04"
"SUNPHARMA","EQ","05-Jun-2025","1,664.90","1,662.00","1,694.30","1,662.00","1,681.00","1,683.10","1,680.75","20,37,073","3,42,38,04,103.70","97,217","12,03,563","59.08"
"SUNPHARMA","EQ","06-Jun-2025","1,683.10","1,685.00","1,689.00","1,669.00","1,680.90","1,679.20","1,676.45","25,00,047","4,19,12,08,633.50","98,471","18,52,030","74.08"
"SUNPHARMA","EQ","09-Jun-2025","1,679.20","1,679.90","1,698.80","1,673.30","1,693.40","1,694.40","1,682.02","25,89,656","4,35,58,55,573.00","62,270","19,79,519","76.44"
"SUNPHARMA","EQ","10-Jun-2025","1,694.40","1,701.80","1,706.90","1,677.70","1,690.00","1,688.80","1,687.48","23,69,135","3,99,78,60,997.70","73,620","14,95,109","63.11"
"SUNPHARMA","EQ","11-Jun-2025","1,688.80","1,694.80","1,695.00","1,679.30","1,692.00","1,690.60","1,687.50","19,99,978","3,37,49,55,992.70","67,440","13,33,427","66.67"
"SUNPHARMA","EQ","12-Jun-2025","1,690.60","1,694.90","1,727.50","1,681.10","1,684.70","1,687.40","1,705.02","35,88,365","6,11,82,17,309.20","1,44,723","15,68,676","43.72"
"SUNPHARMA","EQ","13-Jun-2025","1,687.40","1,666.80","1,700.00","1,661.10","1,688.00","1,687.80","1,684.16","24,04,272","4,04,91,80,141.30","96,514","15,94,376","66.31"
"SUNPHARMA","EQ","16-Jun-2025","1,687.80","1,665.00","1,689.80","1,655.70","1,679.00","1,685.30","1,680.76","22,49,326","3,78,05,66,432.50","69,715","12,19,348","54.21"
"SUNPHARMA","EQ","17-Jun-2025","1,685.30","1,680.00","1,681.70","1,641.10","1,653.10","1,650.20","1,652.12","54,08,285","8,93,51,61,142.20","1,93,310","34,34,579","63.51"
"SUNPHARMA","EQ","18-Jun-2025","1,650.20","1,645.00","1,661.30","1,638.50","1,645.30","1,648.00","1,648.60","14,55,885","2,40,01,76,169.70","78,099","7,65,864","52.60"
"SUNPHARMA","EQ","19-Jun-2025","1,648.00","1,648.10","1,655.30","1,636.00","1,644.40","1,647.60","1,646.85","16,96,525","2,79,39,27,225.40","74,612","7,96,786","46.97"
"SUNPHARMA","EQ","20-Jun-2025","1,647.60","1,647.60","1,670.00","1,645.60","1,663.20","1,665.10","1,663.61","25,67,882","4,27,19,66,103.20","59,436","19,10,139","74.39"
"SUNPHARMA","EQ","23-Jun-2025","1,665.10","1,663.20","1,667.00","1,647.20","1,663.00","1,662.50","1,658.10","8,40,643","1,39,38,66,514.80","46,191","4,83,519","57.52"
"SUNPHARMA","EQ","24-Jun-2025","1,662.50","1,670.50","1,686.40","1,658.80","1,665.00","1,661.70","1,669.85","20,66,326","3,45,04,50,084.10","90,398","11,91,123","57.64"
"SUNPHARMA","EQ","25-Jun-2025","1,661.70","1,661.70","1,678.80","1,658.10","1,669.00","1,669.60","1,670.93","13,72,945","2,29,40,93,649.40","67,271","8,71,169","63.45"
"SUNPHARMA","EQ","26-Jun-2025","1,669.60","1,674.80","1,678.90","1,650.40","1,666.10","1,669.80","1,664.16","21,02,627","3,49,91,12,694.40","78,646","10,94,463","52.05"
"SUNPHARMA","EQ","27-Jun-2025","1,669.80","1,670.20","1,695.70","1,668.20","1,692.00","1,687.60","1,683.43","53,13,904","8,94,55,59,886.40","98,881","44,48,718","83.72"
"SUNPHARMA","EQ","30-Jun-2025","1,687.60","1,696.00","1,704.50","1,671.60","1,675.00","1,675.70","1,684.24","21,60,184","3,63,82,75,380.30","99,877","13,00,768","60.22"
"SUNPHARMA","EQ","01-Jul-2025","1,675.70","1,675.70","1,684.30","1,657.50","1,666.50","1,667.20","1,665.08","32,98,070","5,49,15,57,208.70","1,49,658","25,27,176","76.63"
"SUNPHARMA","EQ","02-Jul-2025","1,667.20","1,656.00","1,682.00","1,656.00","1,678.10","1,677.50","1,676.12","16,11,046","2,70,03,01,188.60","72,532","9,80,289","60.85"
"SUNPHARMA","EQ","03-Jul-2025","1,677.50","1,677.50","1,692.80","1,674.50","1,676.40","1,679.70","1,683.28","15,53,777","2,61,54,37,352.00","73,380","8,67,956","55.86"
"SUNPHARMA","EQ","04-Jul-2025","1,679.70","1,686.70","1,686.70","1,671.60","1,675.90","1,676.30","1,678.29","12,64,399","2,12,20,24,469.60","64,590","8,01,478","63.39"
"SUNPHARMA","EQ","07-Jul-2025","1,676.30","1,674.70","1,682.40","1,663.00","1,680.50","1,679.90","1,674.99","15,50,620","2,59,72,79,741.70","66,273","10,80,708","69.70"
