"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUZLON","EQ","07-Mar-2025","52.10","51.99","56.94","51.60","55.17","54.92","54.71","10,68,55,231","5,84,56,32,781.39","2,08,746","3,90,62,019","36.56"
"SUZLON","EQ","10-Mar-2025","54.92","55.11","56.79","52.76","53.05","53.24","54.80","8,14,50,055","4,46,32,43,893.74","1,94,253","2,84,10,921","34.88"
"SUZLON","EQ","11-Mar-2025","53.24","52.02","54.15","51.63","53.80","53.76","53.43","5,85,22,186","3,12,66,30,115.22","1,06,873","1,82,47,641","31.18"
"SUZLON","EQ","12-Mar-2025","53.76","54.06","54.45","52.77","53.91","53.85","53.72","4,83,14,005","2,59,55,03,174.30","86,316","1,50,66,258","31.18"
"SUZLON","EQ","13-Mar-2025","53.85","54.35","55.00","53.62","54.74","54.58","54.40","4,38,37,645","2,38,46,14,839.21","85,175","1,80,75,027","41.23"
"SUZLON","EQ","17-Mar-2025","54.58","54.74","56.50","54.25","54.50","54.50","55.44","5,41,33,951","3,00,13,40,422.27","1,36,012","2,04,60,396","37.80"
"SUZLON","EQ","18-Mar-2025","54.50","55.35","55.55","54.76","55.00","54.98","55.07","4,23,39,442","2,33,16,82,371.02","90,440","1,78,44,225","42.15"
"SUZLON","EQ","19-Mar-2025","54.98","55.39","58.00","55.34","57.79","57.76","56.92","7,94,65,967","4,52,29,94,724.35","1,50,367","3,83,90,227","48.31"
"SUZLON","EQ","20-Mar-2025","57.76","58.90","59.40","56.68","58.38","58.39","58.08","5,17,29,766","3,00,43,40,071.21","1,11,909","2,03,97,662","39.43"
"SUZLON","EQ","21-Mar-2025","58.39","58.38","58.65","55.94","56.79","56.50","57.05","10,47,24,888","5,97,49,54,158.72","1,96,314","5,67,15,406","54.16"
"SUZLON","EQ","24-Mar-2025","56.50","57.69","58.36","57.05","57.90","57.91","57.68","5,83,67,956","3,36,67,33,073.42","1,22,645","2,92,09,103","50.04"
"SUZLON","EQ","25-Mar-2025","57.91","58.46","59.48","57.05","57.57","57.65","58.27","6,66,15,843","3,88,14,97,291.71","1,45,639","2,81,31,051","42.23"
"SUZLON","EQ","26-Mar-2025","57.65","57.90","58.63","56.30","57.42","57.43","57.40","5,22,50,161","2,99,92,16,736.14","97,746","2,18,47,599","41.81"
"SUZLON","EQ","27-Mar-2025","57.43","57.11","57.94","56.44","56.90","57.01","57.17","4,96,78,644","2,83,98,92,137.55","98,229","2,36,61,316","47.63"
"SUZLON","EQ","28-Mar-2025","57.01","57.36","58.40","56.40","56.75","56.66","57.42","4,33,76,048","2,49,07,12,153.82","86,045","2,10,33,982","48.49"
"SUZLON","EQ","01-Apr-2025","56.66","55.50","56.98","55.11","55.84","55.75","56.02","4,08,10,312","2,28,61,94,041.78","92,873","1,54,78,428","37.93"
"SUZLON","EQ","02-Apr-2025","55.75","55.84","57.74","54.36","57.29","57.43","56.21","4,95,30,064","2,78,42,93,808.55","89,687","1,87,74,180","37.90"
"SUZLON","EQ","03-Apr-2025","57.43","56.21","57.82","56.20","57.53","57.49","57.31","4,29,14,792","2,45,94,93,820.05","86,561","1,43,62,210","33.47"
"SUZLON","EQ","04-Apr-2025","57.49","57.49","57.50","54.66","55.40","55.36","55.55","5,18,63,551","2,88,11,34,438.68","1,12,511","2,46,78,521","47.58"
"SUZLON","EQ","07-Apr-2025","55.36","46.90","53.10","46.15","52.52","52.12","51.17","8,19,05,901","4,19,14,21,618.64","2,48,576","2,84,69,247","34.76"
"SUZLON","EQ","08-Apr-2025","52.12","54.34","54.34","52.73","53.15","53.08","53.24","4,09,49,448","2,18,03,49,619.42","1,04,145","1,58,40,144","38.68"
"SUZLON","EQ","09-Apr-2025","53.08","53.07","53.76","51.01","51.23","51.21","51.63","5,08,50,121","2,62,56,09,539.80","1,36,700","2,82,87,988","55.63"
"SUZLON","EQ","11-Apr-2025","51.21","53.96","53.96","52.16","53.10","53.00","52.85","4,95,91,603","2,62,08,14,088.62","1,12,694","2,11,76,302","42.70"
"SUZLON","EQ","15-Apr-2025","53.00","54.88","55.66","53.91","54.50","54.37","54.52","5,89,41,572","3,21,35,63,054.58","1,37,395","2,61,22,212","44.32"
"SUZLON","EQ","16-Apr-2025","54.37","54.51","54.89","53.85","54.33","54.34","54.35","3,46,90,956","1,88,56,22,132.97","88,292","1,41,61,728","40.82"
"SUZLON","EQ","17-Apr-2025","54.34","54.33","55.72","54.01","55.10","55.07","54.98","5,42,79,879","2,98,43,86,034.48","1,09,111","1,86,07,297","34.28"
"SUZLON","EQ","21-Apr-2025","55.07","55.55","61.10","55.50","60.33","60.29","58.98","16,96,58,526","10,00,71,53,172.27","3,15,241","6,06,41,655","35.74"
"SUZLON","EQ","22-Apr-2025","60.29","60.95","61.58","59.02","59.19","59.27","59.86","8,91,55,646","5,33,68,50,545.09","1,79,860","3,29,09,909","36.91"
"SUZLON","EQ","23-Apr-2025","59.27","59.68","60.17","58.13","60.04","59.99","59.44","9,79,68,387","5,82,33,18,692.75","1,71,550","2,99,37,030","30.56"
"SUZLON","EQ","24-Apr-2025","59.99","60.00","61.49","59.72","59.98","60.11","60.63","9,78,50,644","5,93,25,61,316.51","1,59,484","3,61,38,598","36.93"
"SUZLON","EQ","25-Apr-2025","60.11","60.31","60.45","56.72","57.81","58.30","58.28","10,43,62,729","6,08,18,22,314.05","1,96,575","3,38,09,022","32.40"
"SUZLON","EQ","28-Apr-2025","58.30","57.50","58.49","57.00","57.85","57.78","57.86","5,06,41,247","2,93,02,71,367.82","1,06,830","1,58,29,701","31.26"
"SUZLON","EQ","29-Apr-2025","57.78","58.00","59.50","57.35","57.54","57.70","58.18","5,16,29,064","3,00,36,81,512.27","93,538","1,78,00,778","34.48"
"SUZLON","EQ","30-Apr-2025","57.70","57.70","57.90","56.00","56.00","56.40","56.83","5,55,07,075","3,15,44,49,784.85","1,14,196","2,32,51,076","41.89"
"SUZLON","EQ","02-May-2025","56.40","56.16","56.99","55.86","56.15","56.25","56.43","4,21,39,460","2,37,78,59,412.47","97,710","1,36,09,682","32.30"
"SUZLON","EQ","05-May-2025","56.25","56.50","57.25","56.35","56.98","56.92","56.88","3,01,73,749","1,71,61,75,665.67","68,241","1,09,31,589","36.23"
"SUZLON","EQ","06-May-2025","56.92","57.00","57.49","53.42","53.80","53.74","55.01","5,96,98,908","3,28,41,48,967.74","1,19,610","2,87,39,091","48.14"
"SUZLON","EQ","07-May-2025","53.74","52.40","55.18","52.40","54.90","54.70","53.96","10,08,31,859","5,44,13,52,974.45","1,73,595","3,30,90,554","32.82"
"SUZLON","EQ","08-May-2025","54.70","55.50","55.98","52.80","52.90","53.15","54.31","6,50,62,799","3,53,32,90,976.65","1,18,297","2,85,03,861","43.81"
"SUZLON","EQ","09-May-2025","53.15","51.25","53.00","51.10","52.93","52.67","52.08","6,85,98,385","3,57,23,10,337.71","1,34,144","2,39,81,657","34.96"
"SUZLON","EQ","12-May-2025","52.67","56.24","57.40","55.24","57.15","56.95","56.52","8,95,97,903","5,06,41,88,736.08","1,61,591","3,33,77,566","37.25"
"SUZLON","EQ","13-May-2025","56.95","57.20","58.17","56.71","57.65","57.60","57.52","5,56,23,455","3,19,96,34,793.96","1,09,448","2,09,26,346","37.62"
"SUZLON","EQ","14-May-2025","57.60","57.90","60.40","57.40","60.00","59.92","59.47","9,77,34,016","5,81,25,31,443.68","1,92,667","4,12,09,480","42.16"
"SUZLON","EQ","15-May-2025","59.92","60.40","61.77","60.10","61.23","61.22","61.09","7,99,89,466","4,88,66,37,323.54","1,49,415","3,02,86,334","37.86"
"SUZLON","EQ","16-May-2025","61.22","61.60","62.13","60.35","61.05","61.08","61.23","7,78,00,547","4,76,35,86,614.56","1,42,499","2,99,28,879","38.47"
"SUZLON","EQ","19-May-2025","61.08","61.21","62.60","61.12","61.69","61.53","61.78","5,33,53,255","3,29,62,32,248.31","1,22,948","2,22,55,508","41.71"
"SUZLON","EQ","20-May-2025","61.53","61.95","62.19","60.10","60.45","60.35","60.78","6,44,16,562","3,91,49,21,323.64","1,16,554","2,85,99,786","44.40"
"SUZLON","EQ","21-May-2025","60.35","60.20","61.65","59.35","61.20","61.28","60.88","5,79,16,922","3,52,58,83,327.03","97,442","2,29,70,492","39.66"
"SUZLON","EQ","22-May-2025","61.28","61.00","61.72","60.35","61.03","61.01","61.00","4,32,20,436","2,63,62,38,911.82","74,706","1,64,90,475","38.15"
"SUZLON","EQ","23-May-2025","61.01","61.45","62.90","60.66","62.16","62.21","61.87","9,06,98,519","5,61,16,61,028.50","1,30,272","3,51,61,835","38.77"
"SUZLON","EQ","26-May-2025","62.21","62.83","65.95","62.74","64.70","64.37","64.32","12,70,04,476","8,16,92,68,049.40","2,11,354","4,42,65,652","34.85"
